graph_id,stratum,D,M,B,C_cap,n_dyads,dyad_share,expected_cells,expected_events,relative_budget_error,target_unreachable,saturated,within_tolerance,draws,share_capped,share_at_cap,share_J_lt_K,share_J_lt_K_reservoir,share_K2_seen_below_2,mean_lost_windows,truth_outside_population_bounds,truth_2,truth_3,truth_4,truth_5,rhoJ_2,rhoJ_3,rhoJ_4,rhoJ_5,rhoU_2,rhoU_3,rhoU_4,rhoU_5,mid_2,mid_3,mid_4,mid_5,history_2,history_3,history_4,history_5,history_reservoir_2,history_reservoir_3,history_reservoir_4,history_reservoir_5,mid_bias_2,mid_bias_3,mid_bias_4,mid_bias_5,width_2,width_3,width_4,width_5,sd_selection_2,sd_selection_3,sd_selection_4,sd_selection_5,sd_plugin_2,sd_plugin_3,sd_plugin_4,sd_plugin_5,sd_mid_2,sd_mid_3,sd_mid_4,sd_mid_5,weak_history_rho2,history_profile,weak_history_profile
sp_hospital,real,1139,32424,3242,4504,156,0.1369622475856014,189.69271290605795,616.8779631255487,-0.002142488658296022,False,False,True,20,0.5856014047410009,0.6338893766461808,0.2923617208077261,0.1629499561018437,0.5680473372781065,0.45302897278314314,False,0.44512730465320455,0.16417910447761194,0.0456540825285338,0.014047410008779631,0.1922739244951712,0.021071115013169446,0.0026338893766461808,0.0,0.6637401229148375,0.5013169446883231,0.3617208077260755,0.20983318700614575,0.4280070237050044,0.26119402985074625,0.18217734855136083,0.10491659350307288,-0.2528533801580334,-0.1431079894644425,-0.04302019315188762,-0.014047410008779631,-0.0668129938542581,-0.08314310798946443,-0.038849868305531166,-0.014047410008779631,-0.017120280948200173,0.0970149253731343,0.13652326602282705,0.09086918349429325,0.4714661984196663,0.48024582967515367,0.35908691834942935,0.20983318700614575,0.03698129571132322,0.027565056189158596,0.015532309953821639,0.008757284804948988,0.02932483490162029,0.010687168559033301,0.0038139008427696577,0.0,0.026513097636766556,0.02009266881961544,0.01810784003506619,0.015149901673080291,False,-0.11325724319578577,False
sp_highschool2013,real,5818,188508,18851,18667,818,0.14059814369199036,1124.222756961155,2624.5455482983843,-0.00015763343902976072,False,False,True,20,0.40580955654864215,0.4444826400825026,0.2751804743898247,0.2231436919903747,0.3773451327433628,0.5582674458576831,False,0.4855620488140254,0.2671020969405294,0.12822275696115504,0.05173599174974218,0.30233757304915776,0.06703334479202475,0.004984530766586456,0.0,0.5474389824682021,0.3991062220694397,0.28789962186318324,0.17497421794431076,0.42488827775867993,0.2330697834307322,0.14644207631488484,0.08748710897215538,-0.18322447576486767,-0.20006875214850464,-0.12323822619456858,-0.05173599174974218,-0.06474733585424558,-0.1284462014437951,-0.10963389480921279,-0.05110862839463733,-0.06067377105534549,-0.034032313509797185,0.018219319353729807,0.0357511172224132,0.24510140941904435,0.33207287727741497,0.2829150910965968,0.17497421794431076,0.016201218753318883,0.01434231335180744,0.01083787499950788,0.007179923901944399,0.014887697878299964,0.008106573497182893,0.00228289467591295,0.0,0.013870198691886678,0.01002958443782126,0.007551458046383449,0.006158140787771782,False,-0.13956686146442077,False
copenhagen_bluetooth,real,79530,2426279,242628,272900,11562,0.14537910222557526,14447.193662768766,39673.956997359484,-2.8124894877621176e-05,False,False,True,20,0.46903055450773296,0.5068401860932982,0.2801081352948573,0.1958707406010311,0.5193000225073149,0.5670816044260027,False,0.44692568841946434,0.22074688796680497,0.1074311580535647,0.041518923676600025,0.21483716836413932,0.03216396328429524,0.0024519049415314977,8.801710046523324e-05,0.5763862693323274,0.4484848484848485,0.33584810763234,0.23040362127499056,0.3956117188482334,0.24032440588457185,0.16915000628693574,0.1152458191877279,-0.23208852005532501,-0.18858292468250973,-0.1049792531120332,-0.04143090657613479,-0.0516081981642148,-0.09421098956368662,-0.08682635483465359,-0.04070350811014711,-0.051313969571230966,0.01957751791776688,0.06171884823337105,0.07372689551112788,0.36154910096818804,0.41632088520055327,0.3333962026908085,0.23031560417452532,0.00427447129186923,0.003565821256488253,0.00266231225802226,0.0017150935618684422,0.0035310801713412583,0.0015169060212169977,0.00042519851421399084,8.065613690955098e-05,0.0033155194095039735,0.0024086607841337115,0.002056033233991132,0.0018113095473160973,False,-0.1417704011065007,False
snap_email_eu,real,16064,332334,33233,52437,2226,0.1385707171314741,3213.870642430279,7266.2326942231075,5.30984318009782e-05,False,False,True,20,0.39604083665338646,0.4399277888446215,0.2923929282868526,0.2154351344621514,0.26132447070408665,0.5567729083665338,False,0.5057270916334662,0.2975597609561753,0.1593625498007968,0.03791085657370518,0.37356822709163345,0.06716882470119521,0.0030502988047808764,0.0,0.5383466135458167,0.3829058764940239,0.23786105577689243,0.04880478087649402,0.4559574203187251,0.22503735059760957,0.12045567729083666,0.02440239043824701,-0.13215886454183273,-0.23039093625498008,-0.15631225099601592,-0.03791085657370518,-0.02819970119521903,-0.11059200697211152,-0.1337649402390438,-0.03763383964143426,-0.04976967131474108,-0.07252241035856574,-0.03890687250996015,-0.01350846613545817,0.16477838645418325,0.3157370517928287,0.23481075697211154,0.04880478087649402,0.009835631893999811,0.00899399299618295,0.007200427058748895,0.0037570779787331698,0.009516617359524759,0.004924318716242306,0.0010848471927517218,0.0,0.008947566798334883,0.006078191469248443,0.004275938085952059,0.002119321142917366,False,-0.13919322709163348,False
snap_collegemsg,real,13838,59835,5984,35923,1429,0.10326636797225032,1549.2020523196993,3709.6377366671486,-0.00012775763540776144,False,False,True,20,0.1896950426362191,0.24237606590547767,0.02984535337476514,0.019840294840294835,0.22580645161290322,0.0355542708483885,False,0.10304957363780894,0.013007660066483595,0.003251915016620899,0.00036132389073565546,0.07978031507443273,0.004191357132533603,0.00014452955629426219,0.0,0.16714843185431422,0.04863419569301922,0.02457002457002457,0.010261598496892614,0.12346437346437346,0.026412776412776413,0.012357277063159417,0.005130799248446307,-0.023269258563376208,-0.008816302933949992,-0.003107385460326637,-0.00036132389073565546,-0.013173869056221976,-0.006109986992339934,-0.002713542419424772,-0.0003577106518282989,0.020414799826564523,0.013405116346292817,0.009105362046538518,0.0047694753577106515,0.08736811677988149,0.04444283856048562,0.024425495013730307,0.010261598496892614,0.00761620503913758,0.0028384927407957587,0.0014262432634661489,0.0004761032781726834,0.006787735967860608,0.001618439937258826,0.00030114680204855926,0.0,0.007362666410370101,0.003027426743825808,0.001956285226880177,0.0012623187448722996,False,-0.008888567712097123,True
snap_mathoverflow,real,187986,390441,39044,334392,19197,0.10211930675688616,20867.671858542657,34147.87922504867,-1.348565359082983e-06,False,False,True,20,0.05136552722011214,0.0740906237698552,0.016357601097954103,0.011322385709574119,0.09594654226817122,0.023038949709020883,False,0.08438394348515314,0.01923015543710702,0.005303586437287883,0.0011490217356611662,0.07628759588479993,0.010016703371527666,0.0007128190397157235,1.06390901450108e-05,0.1075824795463492,0.051088910876341855,0.03173640590256721,0.016628897896651878,0.09193503771557457,0.03055280712393476,0.01622461247114147,0.008319768493398445,-0.008096347600353215,-0.009213452065579353,-0.004590767397572159,-0.0011383826455161554,-0.003521538837998564,-0.005559456555275394,-0.00387209685827668,-0.0011139127381826306,0.007551094230421426,0.01132265168682774,0.010921026033853587,0.00717074675773728,0.03129488366154927,0.04107220750481419,0.031023586862851487,0.01661825880650687,0.0019009924757546256,0.0009392230423030416,0.0004967340043193269,0.00023169051826056803,0.0018154702706984945,0.0006810360936785529,0.00018252762087422777,2.2307131290722622e-05,0.0018811561646498508,0.0009513682453326024,0.0006195062956625141,0.0004376964064276783,True,-0.00575973742725522,True
dar_a0_r1,synthetic,3410,10116,1012,9523,350,0.10263929618768329,506.93548387096774,977.4340175953079,0.0008597904658790598,False,False,True,20,0.09618768328445748,0.17272727272727273,0.032551319648093845,0.015117302052785922,0.016516516516516516,0.03695014662756598,False,0.3906158357771261,0.08533724340175954,0.008797653958944282,0.0005865102639296188,0.3841642228739003,0.06158357771260997,0.0026392961876832845,0.0,0.39882697947214074,0.1466275659824047,0.07243401759530792,0.024926686217008796,0.3914956011730205,0.10410557184750734,0.0375366568914956,0.012463343108504398,-0.006451612903225823,-0.023753665689149564,-0.0061583577712609975,-0.0005865102639296188,-0.0011876832844574525,-0.009413489736070396,-0.004633431085043989,-0.0005131964809384164,0.0008797653958944052,0.0187683284457478,0.02873900293255132,0.011876832844574779,0.014662756598240456,0.08504398826979473,0.06979472140762463,0.024926686217008796,0.024707778281612375,0.014148584514248136,0.004729092283906725,0.0012260935346268252,0.024632251301828976,0.012174284540724901,0.002598264634820504,0.0,0.024526817020579857,0.013589371053051146,0.006921332635051927,0.003947608754924465,True,-0.0092375366568915,True
dar_a08_r1,synthetic,1635,10237,1024,6616,227,0.13883792048929663,510.78470948012233,918.5516819571866,-0.0006168861668512856,False,False,True,20,0.5400611620795107,0.617737003058104,0.46422018348623856,0.3703975535168196,0.019762845849802372,0.8758409785932721,False,0.7737003058103975,0.5932721712538226,0.44220183486238535,0.3168195718654434,0.7584097859327217,0.3908256880733945,0.09418960244648318,0.00672782874617737,0.7761467889908257,0.6311926605504588,0.5321100917431193,0.45137614678899085,0.7672782874617737,0.5110091743119266,0.3131498470948012,0.2290519877675841,-0.015290519877675823,-0.20244648318042807,-0.3480122324159022,-0.310091743119266,-0.00076452599388388,-0.0354740061162081,-0.18773700305810403,-0.2832721712538226,-0.00642201834862377,-0.08226299694189598,-0.12905198776758414,-0.08776758409785931,0.017737003058103995,0.24036697247706423,0.43792048929663613,0.44464831804281346,0.025780464648677084,0.030265043711531804,0.030599278298860545,0.02866395294007974,0.026372664267835383,0.03006247371559206,0.01799627021054515,0.005036559521298295,0.025709685335646708,0.02684081298071988,0.02002204881615257,0.015759214043122395,True,-0.21896024464831804,False
dar_a0_r2,synthetic,3351,9861,986,9214,346,0.10325276037003879,497.26529394210684,951.3709340495375,0.0007351457880998242,False,False,True,20,0.0969859743360191,0.174276335422262,0.03968964488212474,0.014831393613846614,0.02450229709035222,0.045658012533572066,False,0.3897344076395106,0.08325872873769025,0.009549388242315727,0.0002984183825723665,0.38018501939719485,0.05550581915846016,0.0014920919128618322,0.0,0.39450910176066845,0.14562817069531483,0.07221724858251269,0.028051327961802448,0.38734706057893165,0.10056699492688749,0.03685467024768726,0.014025663980901224,-0.00954938824231577,-0.027752909579230087,-0.008057296329453895,-0.0002984183825723665,-0.0017905102954342555,-0.00834079379289765,-0.005207400775887794,-0.0002834974634437481,-0.0023873470605789704,0.017308266189197244,0.02730528200537153,0.013727245598328858,0.0143240823634736,0.09012235153685468,0.07072515666965086,0.028051327961802448,0.02483165135984851,0.014066953917427271,0.004951832806805377,0.000879447180579708,0.024716690515279353,0.011658178127597328,0.0019653292956831065,0.0,0.024615997006392828,0.013269947753355528,0.006796042600417359,0.004203685027055896,True,-0.011414503133393029,True
dar_a08_r2,synthetic,1673,10338,1034,6780,230,0.13747758517632994,518.8404064554692,932.098027495517,-0.0008850251194509717,False,False,True,20,0.5331739390316796,0.6216377764494919,0.4482964734010759,0.35765092647937835,0.015588464536243182,0.8481769276748357,False,0.7668858338314405,0.5959354453078303,0.4375373580394501,0.30364614465032874,0.7549312612074118,0.40227136879856545,0.09324566646742379,0.005379557680812911,0.7680812910938434,0.6288105200239091,0.5349671249252839,0.44949193066347876,0.7615062761506276,0.5155409444112373,0.31410639569635385,0.22743574417214585,-0.011954572624028659,-0.19366407650926482,-0.3442916915720263,-0.29826658696951586,-0.0003885236102810774,-0.036222355050806954,-0.17686790197250457,-0.27121936640765093,-0.005379557680812885,-0.08039450089659295,-0.12343096234309625,-0.0762104004781829,0.013150029886431547,0.22653915122534368,0.4417214584578601,0.44411237298266587,0.025900061881973104,0.03005910857718109,0.030388238219476383,0.028167609341694776,0.026348067881607005,0.030037425187169158,0.01781190046571613,0.004480774475390589,0.0258678071242537,0.02691961769181736,0.019850573758155958,0.015578952114219249,True,-0.21204423191870891,False
