graph,visible_windows,alpha,beta,fit_status,fallback_used,objective,AE2,ProfileAE,signed_rho2
dev:pool-v3-panel888-20260921_ad_dev_0026,3,4.378192428966674,6.3338989538316115,flatness_unavailable,False,750.4277600854973,0.01632950745826578,0.011016964038031759,0.01632950745826578
dev:pool-v3-panel888-20260921_ad_dev_0027,3,2.0954796845656243,2.9123412778679167,flatness_unavailable,False,1616.3738206327787,0.004224398076243752,0.0070193569212813,0.004224398076243752
dev:pool-v3-panel888-20260921_ad_dev_0028,3,2.222447995668773,4.06606047201645,flatness_unavailable,False,1157.064238285368,0.010061886687246613,0.008294541166510504,0.010061886687246613
dev:pool-v3-panel888-20260921_ad_dev_0029,3,3.551111764575979,1.9822983895827224,flatness_unavailable,False,1642.9056668610838,0.06645692098010203,0.06902540956931022,0.06645692098010203
dev:pool-v3-panel888-20260921_ad_dev_0030,3,2.5717387622424246,1.9757136368560027,flatness_unavailable,False,2301.9377633676972,0.050964555725840244,0.03495532724679023,0.050964555725840244
dev:pool-v3-panel888-20260921_ad_dev_0031,3,1.866270292914942,4.213241324362656,flatness_unavailable,False,2409.2701407562936,0.021581512618322418,0.011336312185777377,-0.021581512618322418
dev:pool-v3-panel888-20260921_ad_dev_0032,3,5.259662170786843,4.6754267880372105,flatness_unavailable,False,2125.5494241845217,0.06279286401460193,0.031151745254708284,0.06279286401460193
dev:pool-v3-panel888-20260921_ad_dev_0033,3,5.201585335789847,4.44383526056237,flatness_unavailable,False,1606.0207425945928,0.055993457394584056,0.029983721541540307,0.055993457394584056
dev:pool-v3-panel888-20260921_ad_dev_0034,3,2.270561356690827,6.368381644196158,flatness_unavailable,False,964.4837141253399,0.003218176604171896,0.0031826886300512416,0.003218176604171896
dev:pool-v3-panel888-20260921_ad_dev_0035,3,2.7590463814147346,4.354178306814309,flatness_unavailable,False,6445.0358947335135,0.013662918151173375,0.003982590748911434,0.013662918151173375
dev:pool-v3-panel888-20260921_ad_dev_0036,3,3.083150536798508,1.4110543603172068,flatness_unavailable,False,2238.147303970987,0.07561272867815416,0.08234623619296756,0.07561272867815416
dev:pool-v3-panel888-20260921_ad_dev_0037,3,2.9731286526353875,2.1832610498247833,flatness_unavailable,False,2333.0105202192594,0.05467303599116635,0.045018547461301024,0.05467303599116635
dev:pool-v3-panel888-20260921_ad_dev_0038,3,2.728723555790616,2.410721807729805,flatness_unavailable,False,1663.8696777133216,0.042593151409399566,0.03046534412121315,0.042593151409399566
dev:pool-v3-panel888-20260921_ad_dev_0039,3,2.5592694602541015,1.933563811575633,flatness_unavailable,False,2239.530587990611,0.05006299124724556,0.052948103862466726,0.05006299124724556
dev:pool-v3-panel888-20260921_ad_dev_0040,3,2.6765253218949954,2.1630441221730305,flatness_unavailable,False,18125.367101996893,0.04871410060887105,0.044147347602246714,0.04871410060887105
dev:pool-v3-panel888-20260921_ad_dev_0041,3,2.253169289069055,0.8390081201077572,flatness_unavailable,False,5345.885854492599,0.06547257474486301,0.09651889363474797,0.06547257474486301
dev:pool-v3-panel888-20260921_ad_dev_0042,3,1.903286019290459,1.170417635685348,flatness_unavailable,False,639.3374918145112,0.05121414919328793,0.06590480009445207,0.05121414919328793
dev:pool-v3-panel888-20260921_ad_dev_0043,3,2.1122323571514365,4.009356458868917,flatness_unavailable,False,4030.6693429290744,0.014885927784557107,0.005899644500642046,-0.014885927784557107
dev:pool-v3-panel888-20260921_ad_dev_0044,3,1.5747139303132722,0.5682348820256062,flatness_unavailable,False,2378.6492963322735,0.06413312297165485,0.10962205568331695,0.06413312297165485
dev:pool-v3-panel888-20260921_ad_dev_0045,3,2.1629340849586836,1.7445560282182795,flatness_unavailable,False,1652.089020167997,0.03514899235071145,0.042942310300736315,0.03514899235071145
dev:pool-v3-panel888-20260921_ad_dev_0046,3,3.462478857575617,4.174576522253178,flatness_unavailable,False,1253.1298177015412,0.03830997301303474,0.011779129971376374,0.03830997301303474
dev:pool-v3-panel888-20260921_ad_dev_0047,3,2.4580528009843894,1.0014006193719058,flatness_unavailable,False,16422.972211638273,0.06839472156928705,0.09029046996326173,0.06839472156928705
dev:pool-v3-panel888-20260921_ad_dev_0048,3,2.0950150748769203,0.7279229908078476,flatness_unavailable,False,4119.190393711708,0.0662049790671726,0.09518630920931571,0.0662049790671726
dev:pool-v3-panel888-20260921_ad_dev_0049,3,3.038695076608061,1.4151175011763533,flatness_unavailable,False,3243.168469041547,0.06955668999029574,0.07847266496317004,0.06955668999029574
dev:pool-v3-panel888-20260921_ad_dev_0050,3,2.2792196496800057,2.0018075047289483,flatness_unavailable,False,12075.75770912637,0.04708136351549819,0.041019096715766756,0.04708136351549819
