graph,alpha,beta,fit_status,fallback_used,objective,AE2,ProfileAE,signed_rho2
train:sp_hospital,0.8284117062905786,4.490547841253133,flatness_unavailable,False,1262.0679979753581,0.0034582954089361073,0.0045450062226092955,-0.0034582954089361073
train:sp_primaryschool,1.0873082900337584e-05,1.7696463395259818,boundary_other,False,10023.05137256029,0.028022208253185632,0.03219434553369785,0.028022208253185632
train:sp_highschool2013,8.6555759770574e-06,1.408736462757318,boundary_other,False,7558.571308255582,0.009310848082337564,0.004482454855580416,0.009310848082337564
train:sp_workplace,2.1665398833087958e-05,3.526147468088761,boundary_other,False,3826.056798210177,0.026103975294667958,0.01486906416118455,0.026103975294667958
train:sp_hypertext2009,0.25565038518073113,5.9022227458004854,flatness_unavailable,False,1745.5597963089383,0.0025943020941964767,0.0034502007382514605,0.0025943020941964767
train:snap_collegemsg,9.655240107125259e-05,15.714365897355725,boundary_other,False,5273.893164019795,0.004161744250147245,0.001981824635493669,0.004161744250147245
train:snap_email_eu,0.06747889201337623,1.4180174608384983,flatness_unavailable,False,21481.43487450557,0.010551930115544672,0.01433824569481627,0.010551930115544672
train:snap_mathoverflow,0.00010465999938813543,17.03391637032906,boundary_other,False,67664.85560781266,0.01572548770248161,0.0075714645185233735,0.01572548770248161
train:snap_bitcoin_otc,nan,nan,boundary_homogeneous,True,nan,0.0003037653175480756,0.0001518826583565902,-0.0003037653175480756
train:nr_radoslaw_email,4.076617713809877e-06,0.6634890657061432,boundary_other,False,4722.667518417748,0.0880708843430823,0.04990177521578738,0.0880708843430823
train:nr_digg_reply,0.0038410164433397864,625.1438300727312,boundary_other,False,1841.7860333899687,0.00013120332669971837,6.547352571762913e-05,0.00013120332669971837
train:jodie_wikipedia,2.2431343432312983e-05,3.6508086215741424,boundary_other,False,15670.638185217787,0.08223459547637366,0.033711764903072865,0.08223459547637366
train:jodie_reddit,7.72364653745724e-06,1.2570604811979647,boundary_other,False,100218.39445104629,0.09853935412282094,0.04792377472373267,0.09853935412282094
train:jodie_lastfm,0.31716396046103185,3.107264086423768,flatness_unavailable,False,171441.95724951505,5.4458445776783826e-05,0.0005921528427258373,-5.4458445776783826e-05
train:jodie_mooc,0.11385366941991945,12.880158953532028,flatness_unavailable,False,83486.93433441073,0.00043497881603551947,0.0006563051798709248,-0.00043497881603551947
train:copenhagen_bluetooth,1.0257970780183872e-05,1.669533894711063,boundary_other,False,97320.97448124275,0.014217998960696088,0.008586089769688816,0.014217998960696088
dev:pool-v3-panel888-20260921_dar_dev_0001,2.3375287610780884,17.125127502987475,flatness_unavailable,False,769.7655758449088,0.0008802938032331231,0.0008571507791143312,0.0008802938032331231
dev:pool-v3-panel888-20260921_dar_dev_0002,111819.57426154458,888180.4257384549,boundary_homogeneous,False,83.13065461222011,0.005822628666769247,0.002911329888180608,-0.005822628666769247
dev:pool-v3-panel888-20260921_dar_dev_0003,1.8697308155908565,13.460536315510643,flatness_unavailable,False,170.78207363588416,0.0012381640512422187,0.0023362441188599817,-0.0012381640512422187
