graph_id,fit_status,fallback_used,lam,AE2,ProfileAE,signed_rho2
pool-v3-panel888-20260921_ad_dev_0001,boundary_homogeneous,False,1.0000000000000004e-06,0.01921648092443002,0.0048041202601992695,-0.01921648092443002
pool-v3-panel888-20260921_ad_dev_0001,boundary_other,False,1.0000000000000004e-06,0.041465476760394186,0.010842447317493072,0.041465476760394186
pool-v3-panel888-20260921_ad_dev_0001,boundary_homogeneous,False,1.0000000000000004e-06,0.01921648092443002,0.0048041202601992695,-0.01921648092443002
pool-v3-panel888-20260921_ad_dev_0001,boundary_homogeneous,False,1.0000000000000004e-06,0.01921648092443002,0.0048041202601992695,-0.01921648092443002
pool-v3-panel888-20260921_ad_dev_0001,boundary_homogeneous,False,1.0000000000000004e-06,0.01921648092443002,0.0048041202601992695,-0.01921648092443002
pool-v3-panel888-20260921_ad_dev_0002,starts_disagree,True,nan,0.026252138138578573,0.006651242805699314,0.026252138138578573
pool-v3-panel888-20260921_ad_dev_0002,starts_disagree,True,nan,0.009891051297711548,0.002801238866890354,0.009891051297711548
pool-v3-panel888-20260921_ad_dev_0002,boundary_other,True,nan,0.013664476688607263,0.003659308673994111,0.013664476688607263
pool-v3-panel888-20260921_ad_dev_0002,starts_disagree,True,nan,0.008571497063496289,0.0025002186228089665,0.008571497063496289
pool-v3-panel888-20260921_ad_dev_0002,starts_disagree,True,nan,0.0055331275577469585,0.0020185607673272573,-0.0055331275577469585
pool-v3-panel888-20260921_ad_dev_0003,starts_disagree,True,nan,0.06022445711422256,0.016940825116086206,0.06022445711422256
pool-v3-panel888-20260921_ad_dev_0003,boundary_homogeneous,True,nan,0.047135772850841945,0.012779660865369533,0.047135772850841945
pool-v3-panel888-20260921_ad_dev_0003,weakly_identified,False,0.16236048492188757,0.04390956568173762,0.011760629589349099,0.04390956568173762
pool-v3-panel888-20260921_ad_dev_0003,starts_disagree,True,nan,0.06324505966998087,0.017907040179353,0.06324505966998087
pool-v3-panel888-20260921_ad_dev_0003,boundary_homogeneous,False,0.13162590742368988,0.01599418948395867,0.00593307518382376,0.01599418948395867
pool-v3-panel888-20260921_ad_dev_0004,boundary_homogeneous,False,0.025189637663973457,0.02162096521104863,0.0054384241778384305,-0.02162096521104863
pool-v3-panel888-20260921_ad_dev_0004,boundary_homogeneous,False,1.0000000530053122e-06,0.0046497415343691555,0.001216776639537139,0.0046497415343691555
pool-v3-panel888-20260921_ad_dev_0004,boundary_other,False,1.0000001675782965e-06,0.0028575339427301984,0.0007571271446403919,0.0028575339427301984
