budget,graph_id,evidence_block,arm,T,active_dyad_windows,expected_cells,expected_coverage,matched,reasons,h_saturated,draws
0.025,snap_collegemsg__pwt,surrogate,S,631.6500000000001,25266,636.416015625,0.025188633563880312,True,,,3
0.025,snap_collegemsg__pwt,surrogate,H,631.6500000000001,25266,632.0182936945905,0.02501457665220417,True,,False,3
0.025,snap_collegemsg__pwt,surrogate,B,631.6500000000001,25266,631.6499999979268,0.024999999999917945,True,,,3
0.025,snap_mathoverflow__pwt,surrogate,R,7370.5,294820,7369.887714824319,0.024997923189825383,True,,,3
0.025,snap_mathoverflow__pwt,surrogate,S,7370.5,294820,7399.3935546875,0.025098004052260703,True,,,3
0.025,snap_mathoverflow__pwt,surrogate,H,7370.5,294820,7371.139802560566,0.02500217014639633,True,,False,3
0.025,snap_mathoverflow__pwt,surrogate,B,7370.5,294820,7370.4999999969305,0.02499999999998959,True,,,3
0.025,nr_digg_reply__pwt,surrogate,R,2148.0750000000003,85923,2148.291182707279,0.025002516005112472,True,,,3
0.025,nr_digg_reply__pwt,surrogate,S,2148.0750000000003,85923,2146.4306640625,0.024980862680103116,True,,,3
0.025,nr_digg_reply__pwt,surrogate,H,2148.0750000000003,85923,2148.33361251334,0.02500300981708437,True,,False,3
0.025,nr_digg_reply__pwt,surrogate,B,2148.0750000000003,85923,2148.0750000004564,0.025000000000005313,True,,,3
0.025,dar_a0_r1,dar_a0,R,124.075,4963,122.57317034068136,0.024697394789579157,True,,,3
0.025,dar_a0_r1,dar_a0,S,124.075,4963,124.470703125,0.02507973063167439,True,,,3
0.025,dar_a0_r1,dar_a0,H,124.075,4963,123.87174348697395,0.02495904563509449,True,,False,3
0.025,dar_a0_r1,dar_a0,B,124.075,4963,124.07499999969494,0.024999999999938533,True,,,3
0.025,dar_a08_r1,dar_a08,R,124.575,4983,123.06711823647295,0.02469739478957916,True,,,3
0.025,dar_a08_r1,dar_a08,S,124.575,4983,123.7822265625,0.024840904387417217,True,,,3
0.025,dar_a08_r1,dar_a08,H,124.575,4983,123.87174348697395,0.024858868851489857,True,,False,3
0.025,dar_a08_r1,dar_a08,B,124.575,4983,124.57499999985478,0.024999999999970858,True,,,3
0.025,dar_a0_r2,dar_a0,R,123.625,4945,122.12861723446893,0.024697394789579157,True,,,3
0.025,dar_a0_r2,dar_a0,S,123.625,4945,123.4599609375,0.024966625063195146,True,,,3
0.025,dar_a0_r2,dar_a0,H,123.625,4945,124.49110220440882,0.025175147058525544,True,,False,3
0.025,dar_a0_r2,dar_a0,B,123.625,4945,123.62500000046298,0.025000000000093624,True,,,3
0.025,dar_a08_r2,dar_a08,R,122.45,4898,121.4536542965449,0.0247965811140353,True,,,3
0.025,dar_a08_r2,dar_a08,S,122.45,4898,123.734375,0.025262224377296857,True,,,3
0.025,dar_a08_r2,dar_a08,H,122.45,4898,121.56481637974744,0.02481927651689413,True,,False,3
0.025,dar_a08_r2,dar_a08,B,122.45,4898,122.45000000021903,0.02500000000004472,True,,,3
0.025,ad_memoryless_r1,ad_memoryless,R,275.85,11034,272.51105410821646,0.02469739478957916,True,,,3
0.025,ad_memoryless_r1,ad_memoryless,S,275.85,11034,275.2158203125,0.024942524951286932,True,,,3
0.025,ad_memoryless_r1,ad_memoryless,H,275.85,11034,277.3668216432866,0.025137467975646782,True,,False,3
0.025,ad_memoryless_r1,ad_memoryless,B,275.85,11034,275.8500000002943,0.02500000000002667,True,,,3
0.025,ad_memory_r1,ad_memory,R,143.625,5745,141.88653306613227,0.02469739478957916,True,,,3
0.025,ad_memory_r1,ad_memory,S,143.625,5745,143.185546875,0.0249235068537859,True,,,3
0.025,ad_memory_r1,ad_memory,H,143.625,5745,143.65486172344688,0.0250051978630891,True,,False,3
0.025,ad_memory_r1,ad_memory,B,143.625,5745,143.6249999995979,0.024999999999930005,True,,,3
0.025,ad_memoryless_r2,ad_memoryless,R,265.55,10622,262.33572745490983,0.02469739478957916,True,,,3
0.025,ad_memoryless_r2,ad_memoryless,S,265.55,10622,266.0224609375,0.025044479470674074,True,,,3
0.025,ad_memoryless_r2,ad_memoryless,H,265.55,10622,267.09241683366736,0.025145209643538634,True,,False,3
0.025,ad_memoryless_r2,ad_memoryless,B,265.55,10622,265.5499999994676,0.02499999999994988,True,,,3
0.025,ad_memory_r2,ad_memory,R,138.625,5545,136.94705410821643,0.02469739478957916,True,,,3
0.025,ad_memory_r2,ad_memory,S,138.625,5545,139.12890625,0.025090875788999097,True,,,3
0.025,ad_memory_r2,ad_memory,H,138.625,5545,138.31772344689378,0.02494458493181132,True,,False,3
0.025,ad_memory_r2,ad_memory,B,138.625,5545,138.6250000000789,0.02500000000001423,True,,,3
0.05,sp_hospital,real,R,95.05000000000001,1901,93.16612612612613,0.04900900900900901,True,,,3
0.05,sp_hospital,real,S,95.05000000000001,1901,95.990234375,0.05049459988164124,True,,,3
0.05,sp_hospital,real,H,95.05000000000001,1901,91.7945945945946,0.04828753003397927,True,,False,3
0.05,sp_hospital,real,B,95.05000000000001,1901,95.05000000008991,0.0500000000000473,True,,,3
0.05,sp_highschool2013,real,R,562.2,11244,569.7837564023189,0.05067447139828521,True,,,3
0.05,sp_highschool2013,real,S,562.2,11244,562.236328125,0.0500032308898079,True,,,3
0.05,sp_highschool2013,real,H,562.2,11244,558.8842235605335,0.049705107040246665,True,,False,3
0.05,sp_highschool2013,real,B,562.2,11244,562.200000000412,0.05000000000003665,True,,,3
0.05,copenhagen_bluetooth,real,R,7223.8,144476,7212.137306241269,0.0499192759090871,True,,,3
0.05,copenhagen_bluetooth,real,S,7223.8,144476,7220.2001953125,0.04997508371848958,True,,,3
0.05,copenhagen_bluetooth,real,H,7223.8,144476,7219.944756280167,0.04997331568066784,True,,False,3
0.05,copenhagen_bluetooth,real,B,7223.8,144476,7223.800000004899,0.050000000000033906,True,,,3
0.05,sp_workplace,real,R,311.0,6220,312.1146953405018,0.05017921146953405,True,,,3
0.05,sp_workplace,real,S,311.0,6220,310.19921875,0.04987125703376206,True,,,3
0.05,sp_workplace,real,H,311.0,6220,311.7357910906298,0.05011829438756106,True,,False,3
0.05,sp_workplace,real,B,311.0,6220,310.99999999978354,0.0499999999999652,True,,,3
0.05,snap_email_eu,real,R,1606.8500000000001,32137,1608.8188342377034,0.050061263784351474,True,,,3
0.05,snap_email_eu,real,S,1606.8500000000001,32137,1603.7998046875,0.049905087739599216,True,,,3
0.05,snap_email_eu,real,H,1606.8500000000001,32137,1605.5664706911996,0.0499600606992314,True,,False,3
0.05,snap_email_eu,real,B,1606.8500000000001,32137,1606.849999999855,0.04999999999999549,True,,,3
0.05,snap_collegemsg,real,R,774.7,15494,774.6350888466061,0.04999581056193404,True,,,3
0.05,snap_collegemsg,real,S,774.7,15494,777.046875,0.05015146992384149,True,,,3
0.05,snap_collegemsg,real,H,774.7,15494,774.0465194093059,0.04995782363555608,True,,False,3
0.05,snap_collegemsg,real,B,774.7,15494,774.7000000003842,0.050000000000024795,True,,,3
0.05,snap_mathoverflow,real,R,10433.85,208677,10435.097976881008,0.05000598042372187,True,,,3
0.05,snap_mathoverflow,real,S,10433.85,208677,10484.9873046875,0.050245054820068816,True,,,3
0.05,snap_mathoverflow,real,H,10433.85,208677,10433.38871333925,0.04999778947051784,True,,False,3
0.05,snap_mathoverflow,real,B,10433.85,208677,10433.850000013357,0.05000000000006401,True,,,3
0.05,nr_digg_reply,real,R,4271.400000000001,85428,4271.285997041725,0.04999866550828446,True,,,3
0.05,nr_digg_reply,real,S,4271.400000000001,85428,4260.8330078125,0.049876305284128154,True,,,3
0.05,nr_digg_reply,real,H,4271.400000000001,85428,4271.703746842625,0.050003555588830656,True,,False,3
0.05,nr_digg_reply,real,B,4271.400000000001,85428,4271.4000000003025,0.05000000000000354,True,,,3
0.05,sp_hospital__pwt,surrogate,R,199.20000000000002,3984,195.2518918918919,0.04900900900900901,True,,,3
0.05,sp_hospital__pwt,surrogate,S,199.20000000000002,3984,197.123046875,0.04947867642444779,True,,,3
0.05,sp_hospital__pwt,surrogate,H,199.20000000000002,3984,189.94594594594594,0.04767719526755671,True,,False,3
0.05,sp_hospital__pwt,surrogate,B,199.20000000000002,3984,199.19999999989514,0.04999999999997368,True,,,3
0.05,sp_highschool2013__pwt,surrogate,R,838.5,16770,849.810885349243,0.05067447139828521,True,,,3
0.05,sp_highschool2013__pwt,surrogate,S,838.5,16770,840.3271484375,0.05010895339519976,True,,,3
0.05,sp_highschool2013__pwt,surrogate,H,838.5,16770,840.6272865424663,0.050126850718095785,True,,False,3
0.05,sp_highschool2013__pwt,surrogate,B,838.5,16770,838.4999999998482,0.04999999999999095,True,,,3
0.05,copenhagen_bluetooth__pwt,surrogate,R,12379.6,247592,12359.613360882695,0.0499192759090871,True,,,3
0.05,copenhagen_bluetooth__pwt,surrogate,S,12379.6,247592,12376.4365234375,0.04998722302593581,True,,,3
0.05,copenhagen_bluetooth__pwt,surrogate,H,12379.6,247592,12407.083095622496,0.05011100154941394,True,,False,3
0.05,copenhagen_bluetooth__pwt,surrogate,B,12379.6,247592,12379.600000004415,0.05000000000001783,True,,,3
0.05,sp_workplace__pwt,surrogate,R,513.25,10265,515.089605734767,0.05017921146953405,True,,,3
0.05,sp_workplace__pwt,surrogate,S,513.25,10265,512.2431640625,0.04990191564174379,True,,,3
0.05,sp_workplace__pwt,surrogate,H,513.25,10265,517.2311827956989,0.05038784050615674,True,,False,3
0.05,sp_workplace__pwt,surrogate,B,513.25,10265,513.2500000002588,0.050000000000025205,True,,,3
0.05,snap_email_eu__pwt,surrogate,R,2069.15,41383,2071.6852791878173,0.05006126378435148,True,,,3
0.05,snap_email_eu__pwt,surrogate,S,2069.15,41383,2067.3974609375,0.049957650748797815,True,,,3
0.05,snap_email_eu__pwt,surrogate,H,2069.15,41383,2069.5330361095953,0.05000925588066586,True,,False,3
0.05,snap_email_eu__pwt,surrogate,B,2069.15,41383,2069.1499999994785,0.049999999999987395,True,,,3
0.05,snap_collegemsg__pwt,surrogate,R,1263.3000000000002,25266,1263.1941496578256,0.04999581056193405,True,,,3
0.05,snap_collegemsg__pwt,surrogate,S,1263.3000000000002,25266,1269.392578125,0.050241137422821186,True,,,3
0.05,snap_collegemsg__pwt,surrogate,H,1263.3000000000002,25266,1262.6486903705627,0.04997422189387171,True,,False,3
0.05,snap_collegemsg__pwt,surrogate,B,1263.3000000000002,25266,1263.2999999994263,0.04999999999997729,True,,,3
0.05,snap_mathoverflow__pwt,surrogate,R,14741.0,294820,14742.763148521683,0.050005980423721876,True,,,3
0.05,snap_mathoverflow__pwt,surrogate,S,14741.0,294820,14795.724609375,0.05018562041033512,True,,,3
0.05,snap_mathoverflow__pwt,surrogate,H,14741.0,294820,14740.399789360012,0.04999796414544472,True,,False,3
0.05,snap_mathoverflow__pwt,surrogate,B,14741.0,294820,14740.99999999488,0.049999999999982635,True,,,3
0.05,nr_digg_reply__pwt,surrogate,R,4296.150000000001,85923,4296.035336468326,0.04999866550828446,True,,,3
0.05,nr_digg_reply__pwt,surrogate,S,4296.150000000001,85923,4289.7724609375,0.04992577611276957,True,,,3
0.05,nr_digg_reply__pwt,surrogate,H,4296.150000000001,85923,4296.585780480843,0.050005071755884256,True,,False,3
0.05,nr_digg_reply__pwt,surrogate,B,4296.150000000001,85923,4296.150000002778,0.05000000000003233,True,,,3
0.05,dar_a0_r1,dar_a0,R,248.15,4963,247.2946533066132,0.04982765531062124,True,,,3
0.05,dar_a0_r1,dar_a0,S,248.15,4963,248.4482421875,0.05006009312663712,True,,,3
0.05,dar_a0_r1,dar_a0,H,248.15,4963,247.59919839679358,0.04988901841563441,True,,False,3
0.05,dar_a0_r1,dar_a0,B,248.15,4963,248.1499999995829,0.04999999999991596,True,,,3
0.05,dar_a08_r1,dar_a08,R,249.15,4983,248.29120641282566,0.04982765531062124,True,,,3
0.05,dar_a08_r1,dar_a08,S,249.15,4983,248.2607421875,0.04982154167920931,True,,,3
0.05,dar_a08_r1,dar_a08,H,249.15,4983,247.59919839679358,0.0496887815365831,True,,False,3
0.05,dar_a08_r1,dar_a08,B,249.15,4983,249.15000000020376,0.050000000000040894,True,,,3
0.05,dar_a0_r2,dar_a0,R,247.25,4945,246.39775551102204,0.04982765531062124,True,,,3
0.05,dar_a0_r2,dar_a0,S,247.25,4945,247.384765625,0.050027252906976745,True,,,3
0.05,dar_a0_r2,dar_a0,H,247.25,4945,248.83719438877756,0.05032096954272549,True,,False,3
0.05,dar_a0_r2,dar_a0,B,247.25,4945,247.2499999995884,0.049999999999916764,True,,,3
0.05,dar_a08_r2,dar_a08,R,244.9,4898,245.0359997102639,0.05002776637612574,True,,,3
0.05,dar_a08_r2,dar_a08,S,244.9,4898,243.1826171875,0.049649370597692935,True,,,3
0.05,dar_a08_r2,dar_a08,H,244.9,4898,244.40546152546057,0.04989903256951012,True,,False,3
0.05,dar_a08_r2,dar_a08,B,244.9,4898,244.90000000028795,0.05000000000005879,True,,,3
0.05,ad_memoryless_r1,ad_memoryless,R,551.7,11034,549.7983486973948,0.04982765531062124,True,,,3
0.05,ad_memoryless_r1,ad_memoryless,S,551.7,11034,551.2978515625,0.049963553703326086,True,,,3
0.05,ad_memoryless_r1,ad_memoryless,H,551.7,11034,551.2487374749498,0.049959102544403645,True,,False,3
0.05,ad_memoryless_r1,ad_memoryless,B,551.7,11034,551.7000000000944,0.05000000000000856,True,,,3
0.05,ad_memory_r1,ad_memory,R,287.25,5745,286.25987975951904,0.04982765531062124,True,,,3
0.05,ad_memory_r1,ad_memory,S,287.25,5745,284.494140625,0.049520302980852915,True,,,3
0.05,ad_memory_r1,ad_memory,H,287.25,5745,287.4331382765531,0.05003187785492656,True,,False,3
0.05,ad_memory_r1,ad_memory,B,287.25,5745,287.25000000031514,0.050000000000054855,True,,,3
