budget,evidence_block,arm,method,sources,planned,valid,missing,empty_observations,expected_coverage,all_arm_budgets_matched,MAE2,MAE2_MCSE,ProfileMAE,ProfileMAE_MCSE,valid_fraction,valid_fraction_MCSE
0.025,real,R,plugin,8,24,24,0,0,0.024884366078790847,True,0.028614808058708953,0.007577237765149722,0.020532440193270083,0.0032446992742627264,1.0,0.0
0.025,real,R,primary_corrector,8,24,24,0,0,0.024884366078790847,True,0.028614808058708953,0.007577237765149722,0.020532440193270083,0.0032446992742627264,1.0,0.0
0.025,real,R,median,8,24,24,0,0,0.024884366078790847,True,0.23969876967603918,0.0,0.11015221734076833,1.635512977795599e-18,1.0,0.0
0.025,real,R,extratrees_pooled,8,24,24,0,0,0.024884366078790847,True,0.05414947114194896,0.007609105800429275,0.027404099321793295,0.004516976429563062,1.0,0.0
0.025,real,R,extratrees_real_only,8,24,24,0,0,0.024884366078790847,True,0.07902028109401556,0.008226048605081021,0.038232366823830105,0.00311648727870088,1.0,0.0
0.025,real,R,qwen_thinking,8,72,72,0,0,0.02488436607879085,True,0.028828066860691233,0.00744577099422245,0.02055698946825931,0.003343393014815301,1.0,0.0
0.025,real,R,qwen_nonthinking,8,72,72,0,0,0.02488436607879085,True,0.4993396062965218,0.02604657712513252,0.364118806014475,0.02215006921773073,1.0,0.0
0.025,real,S1,plugin,8,24,24,0,0,0.024922569741035815,True,0.08470403377477284,0.005297797921729147,0.040818611936450935,0.0022984063149395404,1.0,0.0
0.025,real,S1,primary_corrector,8,24,24,0,0,0.024922569741035815,True,0.08470403377477284,0.005297797921729147,0.040818611936450935,0.0022984063149395404,1.0,0.0
0.025,real,S1,median,8,24,24,0,0,0.024922569741035815,True,0.23969876967603918,0.0,0.11015221734076833,1.635512977795599e-18,1.0,0.0
0.025,real,S1,extratrees_pooled,8,24,24,0,0,0.024922569741035815,True,0.08799427272153416,0.0032869119268643747,0.039128908673284224,0.0015038393109808154,1.0,0.0
0.025,real,S1,extratrees_real_only,8,24,24,0,0,0.024922569741035815,True,0.08207016558983125,0.002183062046845295,0.04699533724036424,0.0012274945235620069,1.0,0.0
0.025,real,S1,qwen_thinking,8,72,72,0,0,0.024922569741035815,True,0.08438340699730353,0.005356203444099885,0.040627865933293775,0.0022443447852372772,1.0,0.0
