graph_id,stratum,D,M,B,C_cap,n_dyads,dyad_share,expected_volume,relative_budget_error,target_unreachable,saturated,within_tolerance,draws,share_capped,share_at_cap,share_J_lt_K,share_J_lt_K_reservoir,share_K2_seen_below_2,mean_lost_windows,truth_outside_population_bounds,truth_2,truth_3,truth_4,truth_5,rhoJ_2,rhoJ_3,rhoJ_4,rhoJ_5,rhoU_2,rhoU_3,rhoU_4,rhoU_5,mid_2,mid_3,mid_4,mid_5,history_2,history_3,history_4,history_5,history_reservoir_2,history_reservoir_3,history_reservoir_4,history_reservoir_5,mid_bias_2,mid_bias_3,mid_bias_4,mid_bias_5,width_2,width_3,width_4,width_5,sd_selection_2,sd_selection_3,sd_selection_4,sd_selection_5,sd_plugin_2,sd_plugin_3,sd_plugin_4,sd_plugin_5,sd_mid_2,sd_mid_3,sd_mid_4,sd_mid_5,weak_history_rho2,history_profile,weak_history_profile
sp_hospital,real,1139,32424,3242,4504,820,0.7199297629499561,3242.563652326602,0.00017385944682359527,False,False,True,20,0.5856014047410009,0.6338893766461808,0.2923617208077261,0.15803336259877085,0.5680473372781065,0.45302897278314314,False,0.44512730465320455,0.16417910447761194,0.0456540825285338,0.014047410008779631,0.1922739244951712,0.021071115013169446,0.0026338893766461808,0.0,0.6637401229148375,0.5013169446883231,0.3617208077260755,0.20983318700614575,0.4280070237050044,0.26119402985074625,0.18217734855136083,0.10491659350307288,-0.2528533801580334,-0.1431079894644425,-0.04302019315188762,-0.014047410008779631,-0.06470588235294117,-0.08296751536435469,-0.03797190517998244,-0.013784021071115014,-0.017120280948200173,0.0970149253731343,0.13652326602282705,0.09086918349429325,0.4714661984196663,0.48024582967515367,0.35908691834942935,0.20983318700614575,0.00918874245252883,0.006849089442101684,0.0038593130152229137,0.0021759225334952764,0.007286341654368065,0.002655440745026479,0.0009476399328258988,0.0,0.006587709303230405,0.004992425371155192,0.004499254968042339,0.003764296030667375,False,-0.11325724319578577,False
sp_highschool2013,real,5818,188508,18851,18667,5818,1.0,18667.0,-0.00976075539759164,True,True,True,1,0.40580955654864215,0.4444826400825026,0.2751804743898247,0.22271399106222073,0.3773451327433628,0.5582674458576831,False,0.4855620488140254,0.2671020969405294,0.12822275696115504,0.05173599174974218,0.30233757304915776,0.06703334479202475,0.004984530766586456,0.0,0.5474389824682021,0.3991062220694397,0.28789962186318324,0.17497421794431076,0.42488827775867993,0.2330697834307322,0.14644207631488484,0.08748710897215538,-0.18322447576486767,-0.20006875214850464,-0.12323822619456858,-0.05173599174974218,-0.06368167755242354,-0.12737194912341013,-0.10943623238226194,-0.05131488484015125,-0.06067377105534549,-0.034032313509797185,0.018219319353729807,0.0357511172224132,0.24510140941904435,0.33207287727741497,0.2829150910965968,0.17497421794431076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-0.13956686146442077,False
copenhagen_bluetooth,real,79530,2426279,242628,272900,70708,0.889073305670816,242628.1051175657,4.332458153647021e-07,False,False,True,20,0.46903055450773296,0.5068401860932982,0.2801081352948573,0.1959260656356092,0.5193000225073149,0.5670816044260027,False,0.44692568841946434,0.22074688796680497,0.1074311580535647,0.041518923676600025,0.21483716836413932,0.03216396328429524,0.0024519049415314977,8.801710046523324e-05,0.5763862693323274,0.4484848484848485,0.33584810763234,0.23040362127499056,0.3956117188482334,0.24032440588457185,0.16915000628693574,0.1152458191877279,-0.23208852005532501,-0.18858292468250973,-0.1049792531120332,-0.04143090657613479,-0.05184961649691944,-0.09418521312712186,-0.08691248585439457,-0.04070476549729662,-0.051313969571230966,0.01957751791776688,0.06171884823337105,0.07372689551112788,0.36154910096818804,0.41632088520055327,0.3333962026908085,0.23031560417452532,0.0006227244129168049,0.0005194850536806094,0.00038785775471967887,0.00024986262826083143,0.0005144238144360256,0.00022098976622188062,6.194485283844682e-05,1.1750352751386348e-05,0.00048301994254235775,0.00035090465470396804,0.00029953226987627576,0.00026387981049459056,False,-0.1417704011065007,False
snap_email_eu,real,16064,332334,33233,52437,10181,0.633777390438247,33233.38502241036,1.1585544800618139e-05,False,False,True,20,0.39604083665338646,0.4399277888446215,0.2923929282868526,0.21564678784860555,0.26132447070408665,0.5567729083665338,False,0.5057270916334662,0.2975597609561753,0.1593625498007968,0.03791085657370518,0.37356822709163345,0.06716882470119521,0.0030502988047808764,0.0,0.5383466135458167,0.3829058764940239,0.23786105577689243,0.04880478087649402,0.4559574203187251,0.22503735059760957,0.12045567729083666,0.02440239043824701,-0.13215886454183273,-0.23039093625498008,-0.15631225099601592,-0.03791085657370518,-0.028131225099601698,-0.11115849103585657,-0.1334069970119522,-0.03764628984063745,-0.04976967131474108,-0.07252241035856574,-0.03890687250996015,-0.01350846613545817,0.16477838645418325,0.3157370517928287,0.23481075697211154,0.04880478087649402,0.0029986956448183203,0.002742096076575759,0.002195272199549715,0.0011454610637617452,0.002901434227811888,0.0015013303921125201,0.000330749115792197,0.0,0.002727941618703317,0.0018531240782126328,0.0013036515654555332,0.0006461403954243809,False,-0.13919322709163348,False
snap_collegemsg,real,13838,59835,5984,35923,2305,0.16657031362913716,5983.705376499494,-4.923521064599304e-05,False,False,True,20,0.1896950426362191,0.24237606590547767,0.02984535337476514,0.019807775690128628,0.22580645161290322,0.0355542708483885,False,0.10304957363780894,0.013007660066483595,0.003251915016620899,0.00036132389073565546,0.07978031507443273,0.004191357132533603,0.00014452955629426219,0.0,0.16714843185431422,0.04863419569301922,0.02457002457002457,0.010261598496892614,0.12346437346437346,0.026412776412776413,0.012357277063159417,0.005130799248446307,-0.023269258563376208,-0.008816302933949992,-0.003107385460326637,-0.00036132389073565546,-0.013181095534036708,-0.006175025292672351,-0.002731608613961555,-0.0003577106518282989,0.020414799826564523,0.013405116346292817,0.009105362046538518,0.0047694753577106515,0.08736811677988149,0.04444283856048562,0.024425495013730307,0.010261598496892614,0.005781253734567067,0.0021546225021438206,0.0010826224019631263,0.0003613970265809867,0.005152385434976795,0.001228513660460692,0.000228592332408281,0.0,0.005588799469367166,0.0022980371561599974,0.0014849628149008005,0.0009581917661756331,False,-0.008888567712097123,True
snap_mathoverflow,real,187986,390441,39044,334392,21949,0.11675869479642101,39043.17347036481,-2.116918438656945e-05,False,False,True,20,0.05136552722011214,0.0740906237698552,0.016357601097954103,0.011339142276552508,0.09594654226817122,0.023038949709020883,False,0.08438394348515314,0.01923015543710702,0.005303586437287883,0.0011490217356611662,0.07628759588479993,0.010016703371527666,0.0007128190397157235,1.06390901450108e-05,0.1075824795463492,0.051088910876341855,0.03173640590256721,0.016628897896651878,0.09193503771557457,0.03055280712393476,0.01622461247114147,0.008319768493398445,-0.008096347600353215,-0.009213452065579353,-0.004590767397572159,-0.0011383826455161554,-0.003531114019129075,-0.005578606917536411,-0.0038657134041896733,-0.0011155086017043821,0.007551094230421426,0.01132265168682774,0.010921026033853587,0.00717074675773728,0.03129488366154927,0.04107220750481419,0.031023586862851487,0.01661825880650687,0.0017632751212420675,0.0008711810514309498,0.00046074812123784266,0.00021490570419768087,0.0016839485702890573,0.0006316984501343587,0.00016930441173854132,2.0691091697034533e-05,0.0017448758512216102,0.0008824463955170473,0.000574626176866332,0.0004059875007157054,True,-0.00575973742725522,True
dar_a0_r1,synthetic,3410,10116,1012,9523,362,0.106158357771261,1010.9460410557185,-0.0010414614073927628,False,False,True,20,0.09618768328445748,0.17272727272727273,0.032551319648093845,0.014633431085043985,0.016516516516516516,0.03695014662756598,False,0.3906158357771261,0.08533724340175954,0.008797653958944282,0.0005865102639296188,0.3841642228739003,0.06158357771260997,0.0026392961876832845,0.0,0.39882697947214074,0.1466275659824047,0.07243401759530792,0.024926686217008796,0.3914956011730205,0.10410557184750734,0.0375366568914956,0.012463343108504398,-0.006451612903225823,-0.023753665689149564,-0.0061583577712609975,-0.0005865102639296188,-0.00107038123167158,-0.009105571847507335,-0.004589442815249267,-0.000498533724340176,0.0008797653958944052,0.0187683284457478,0.02873900293255132,0.011876832844574779,0.014662756598240456,0.08504398826979473,0.06979472140762463,0.024926686217008796,0.02424712215949072,0.013884795840027494,0.0046409222636066335,0.0012032340331944377,0.024173003317874416,0.011947305059113249,0.002549822136378101,0.0,0.024069534771730468,0.01333600845201026,0.006792290103779503,0.0038740088496650627,True,-0.0092375366568915,True
dar_a08_r1,synthetic,1635,10237,1024,6616,253,0.1547400611620795,1023.760244648318,-0.00023413608562694588,False,False,True,20,0.5400611620795107,0.617737003058104,0.46422018348623856,0.3697553516819572,0.019762845849802372,0.8758409785932721,False,0.7737003058103975,0.5932721712538226,0.44220183486238535,0.3168195718654434,0.7584097859327217,0.3908256880733945,0.09418960244648318,0.00672782874617737,0.7761467889908257,0.6311926605504588,0.5321100917431193,0.45137614678899085,0.7672782874617737,0.5110091743119266,0.3131498470948012,0.2290519877675841,-0.015290519877675823,-0.20244648318042807,-0.3480122324159022,-0.310091743119266,-0.0004892966360857676,-0.03623853211009176,-0.18544342507645267,-0.28342507645259934,-0.00642201834862377,-0.08226299694189598,-0.12905198776758414,-0.08776758409785931,0.017737003058103995,0.24036697247706423,0.43792048929663613,0.44464831804281346,0.02419335525308381,0.028401852497285086,0.02871551077378659,0.02689932884792326,0.024749097593739135,0.02821175321311111,0.016888375146355248,0.004726496415506776,0.024126933290250764,0.025188425909827873,0.018789441792649075,0.014789037709380929,True,-0.21896024464831804,False
dar_a0_r2,synthetic,3351,9861,986,9214,359,0.10713219934347956,987.1160847508206,0.0011319317959641165,False,False,True,20,0.0969859743360191,0.174276335422262,0.03968964488212474,0.01556251865114891,0.02450229709035222,0.045658012533572066,False,0.3897344076395106,0.08325872873769025,0.009549388242315727,0.0002984183825723665,0.38018501939719485,0.05550581915846016,0.0014920919128618322,0.0,0.39450910176066845,0.14562817069531483,0.07221724858251269,0.028051327961802448,0.38734706057893165,0.10056699492688749,0.03685467024768726,0.014025663980901224,-0.00954938824231577,-0.027752909579230087,-0.008057296329453895,-0.0002984183825723665,-0.0015219337511190867,-0.008982393315428244,-0.005505819158460161,-0.0002984183825723665,-0.0023873470605789704,0.017308266189197244,0.02730528200537153,0.013727245598328858,0.0143240823634736,0.09012235153685468,0.07072515666965086,0.028051327961802448,0.024325119563090317,0.013780007256512468,0.004850822175956515,0.0008615076583917771,0.024212503762848364,0.011420367205225594,0.0019252392603915534,0.0,0.0241138642641136,0.012999258930409863,0.006657412606811664,0.004117935589819391,True,-0.011414503133393029,True
dar_a08_r2,synthetic,1673,10338,1034,6780,255,0.15242080095636582,1033.4130304841601,-0.0005676687774080103,False,False,True,20,0.5331739390316796,0.6216377764494919,0.4482964734010759,0.35630603705917513,0.015588464536243182,0.8481769276748357,False,0.7668858338314405,0.5959354453078303,0.4375373580394501,0.30364614465032874,0.7549312612074118,0.40227136879856545,0.09324566646742379,0.005379557680812911,0.7680812910938434,0.6288105200239091,0.5349671249252839,0.44949193066347876,0.7615062761506276,0.5155409444112373,0.31410639569635385,0.22743574417214585,-0.011954572624028659,-0.19366407650926482,-0.3442916915720263,-0.29826658696951586,-0.00047818290496126625,-0.038882247459653296,-0.17698744769874475,-0.26781231320980275,-0.005379557680812885,-0.08039450089659295,-0.12343096234309625,-0.0762104004781829,0.013150029886431547,0.22653915122534368,0.4417214584578601,0.44411237298266587,0.024383698481640435,0.02829924667797891,0.028609106862702422,0.026518488498846787,0.024805475204137083,0.02827883277910407,0.016769072302615123,0.004218439873620537,0.02435333213385284,0.025343562653615655,0.018688387981935,0.014666855729693637,True,-0.21204423191870891,False
