case_id,instance_id,group_id,coverage,p_arm_b,actual_arm,stated_arm,p_stated,mismatch_detectability
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0,real::snap_mathoverflow,0.0039630610790165,0.09584365916249574,time_agnostic_t,event_sample_then_full_history,0.09584365916249574,0.9041563408375043
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0,real::snap_mathoverflow,0.0039630610790165,0.09618671061204287,time_agnostic_t,event_sample_then_full_history,0.09618671061204287,0.9038132893879571
controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0,real::sp_highschool2013,0.1263320728772774,0.11256602942805159,time_agnostic_t,event_sample_then_full_history,0.11256602942805159,0.8874339705719484
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0,real::sp_highschool2013,0.125644551392231,0.1045926133250534,time_agnostic_t,event_sample_then_full_history,0.1045926133250534,0.8954073866749466
controlled__sp_hospital__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,controlled__sp_hospital__bursty__contiguous__rho0.55__r0,real::sp_hospital,0.4978050921861282,0.13289840872648212,time_agnostic_t,event_sample_then_full_history,0.13289840872648212,0.8671015912735178
controlled__sp_hospital__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__sp_hospital__bursty__contiguous__rho0.15__r0,real::sp_hospital,0.4978050921861282,0.08075213316986003,time_agnostic_t,event_sample_then_full_history,0.08075213316986003,0.9192478668301399
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0,real::sp_hypertext2009,0.2996357012750455,0.11691363714349075,time_agnostic_t,event_sample_then_full_history,0.11691363714349075,0.8830863628565092
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0,real::sp_hypertext2009,0.296903460837887,0.10575248021938748,time_agnostic_t,event_sample_then_full_history,0.10575248021938748,0.8942475197806126
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0,real::sp_primaryschool,0.0911386317181676,0.11194130228356411,time_agnostic_t,event_sample_then_full_history,0.11194130228356411,0.8880586977164359
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0,real::sp_primaryschool,0.0900565107610917,0.1088085201781851,time_agnostic_t,event_sample_then_full_history,0.1088085201781851,0.8911914798218149
