arm,estimator,n,profile_mae,rho2_bias,pooled_profile_mae,pooled_rho2_bias
time_agnostic_t,mean floor (panel LOGO),32,0.1413112035062518,-0.0116012372519387,0.1304250740299866,0.0009667697709948
time_agnostic_t,naive read-off,32,0.1561748750237434,-0.3084631594841752,0.1436883515585858,-0.3030558428345998
time_agnostic_t,"occupancy MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.0596590134372211,-0.0657403637527615,0.0578378808427081,-0.0720834436025118
time_agnostic_t,"mask MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.0578592915438454,-0.0490166114070687,0.0557790794853384,-0.0553880597140976
time_agnostic_t,supervised ExtraTrees (label-informed performance reference; panel backbones held out),32,0.0412269308956125,-0.0139456000544262,0.0431439745534786,-0.0164862818893475
time_respecting,mean floor (panel LOGO),32,0.1413112035062518,-0.0116012372519387,0.1304250740299866,0.0009667697709948
time_respecting,naive read-off,32,0.1573022052903851,-0.3098470448568926,0.1434589867143566,-0.3000976478039611
time_respecting,"occupancy MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.1169221989317104,-0.1474885158900743,0.108910673887897,-0.1449402796684074
time_respecting,"mask MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.1139409622354971,-0.1149879154539852,0.1032410618787663,-0.1071208978953482
time_respecting,supervised ExtraTrees (label-informed performance reference; panel backbones held out),32,0.0556165602101702,0.0140879936227356,0.0558082321704808,0.0126556921746998
recent_history_k20,mean floor (panel LOGO),32,0.1413112035062518,-0.0116012372519387,0.1304250740299866,0.0009667697709948
recent_history_k20,naive read-off,32,0.1492711728517058,-0.2867914675128002,0.1366926188590715,-0.2807488580387152
recent_history_k20,"occupancy MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.0892505739470821,-0.0625073615310692,0.0864027365645252,-0.0742635589230307
recent_history_k20,"mask MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.0851281757709988,-0.0424156916273034,0.0786895244423992,-0.0587601763958421
recent_history_k20,supervised ExtraTrees (label-informed performance reference; panel backbones held out),32,0.0518678694459293,0.0018785530911958,0.0508675340400039,-3.948339325681718e-05
node_panel_full_history,mean floor (panel LOGO),32,0.1413112035062518,-0.011601237251938736,0.13042507402998665,0.0009667697709948714
node_panel_full_history,naive read-off,32,0.016947069481669585,-0.00648245307175686,0.018163103167619453,-0.006882797539779108
node_panel_full_history,"occupancy MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.2620391104255449,0.30858993815808416,0.23915908943830325,0.2917143056987236
node_panel_full_history,"mask MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.19078075191380228,0.2904632332705748,0.1674058520039261,0.2719965836774395
node_panel_full_history,supervised ExtraTrees (label-informed performance reference; panel backbones held out),32,0.018613672710149673,-0.0045812405538776845,0.020524573207285533,-0.005536288143394853
event_sample_then_full_history,mean floor (panel LOGO),32,0.1413112035062518,-0.011601237251938736,0.13042507402998665,0.0009667697709948714
event_sample_then_full_history,naive read-off,32,0.09432979540466006,0.1494030035567562,0.09783496341896755,0.15886058588064625
event_sample_then_full_history,"occupancy MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.27071726089061526,0.32785687658696355,0.24636406396163235,0.31036318545068114
event_sample_then_full_history,"mask MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.22769992686894192,0.3254865854888404,0.20526230521679337,0.3080294904528773
event_sample_then_full_history,supervised ExtraTrees (label-informed performance reference; panel backbones held out),32,0.026370776441006705,0.012302406123648796,0.028244832547894224,0.013558083901128054
