stratum,arm,config_id,mock,complete,planned,started,terminal,valid_answers,invalid_terminal,not_started,in_progress,empty_skips,technical_failures,limit_hits,fenced_valid,accuracy_condition,valid_fraction,valid_fraction_MCSE,AE2,AE2_MCSE,sources_with_valid_answers,ProfileAE,ProfileAE_MCSE,signed_rho2,signed_rho2_MCSE,budget_matched,budget_matched_MCSE,baseline_AE2_all,baseline_AE2_all_MCSE,baseline_AE2_matched,baseline_AE2_matched_MCSE,delta_AE2_vs_baseline,delta_AE2_vs_baseline_MCSE,baseline_ProfileAE_all,baseline_ProfileAE_all_MCSE,baseline_ProfileAE_matched,baseline_ProfileAE_matched_MCSE,delta_ProfileAE_vs_baseline,delta_ProfileAE_vs_baseline_MCSE,plugin_AE2_all,plugin_AE2_all_MCSE,plugin_AE2_matched,plugin_AE2_matched_MCSE,delta_AE2_vs_plugin,delta_AE2_vs_plugin_MCSE,plugin_ProfileAE_all,plugin_ProfileAE_all_MCSE,plugin_ProfileAE_matched,plugin_ProfileAE_matched_MCSE,delta_ProfileAE_vs_plugin,delta_ProfileAE_vs_plugin_MCSE,extratrees_AE2_all,extratrees_AE2_all_MCSE,extratrees_AE2_matched,extratrees_AE2_matched_MCSE,delta_AE2_vs_extratrees,delta_AE2_vs_extratrees_MCSE,extratrees_ProfileAE_all,extratrees_ProfileAE_all_MCSE,extratrees_ProfileAE_matched,extratrees_ProfileAE_matched_MCSE,delta_ProfileAE_vs_extratrees,delta_ProfileAE_vs_extratrees_MCSE,median_AE2_all,median_AE2_all_MCSE,median_AE2_matched,median_AE2_matched_MCSE,delta_AE2_vs_median,delta_AE2_vs_median_MCSE,median_ProfileAE_all,median_ProfileAE_all_MCSE,median_ProfileAE_matched,median_ProfileAE_matched_MCSE,delta_ProfileAE_vs_median,delta_ProfileAE_vs_median_MCSE,numeric_model_estimate
real,R,sol,False,False,90,0,0,0,0,90,0,0,0,0,0,valid answers only; no imputation; equal source weights,,,,,0,,,,,,,0.017520519757333736,0.0020182232367739494,,,,,0.012095031892409536,0.0009851988185987654,,,,,0.017520519757333736,0.0020182232367739494,,,,,0.012095031892409536,0.0009851988185987654,,,,,0.03608987276423762,0.002719845563372424,,,,,0.023576594829904193,0.001673187615883166,,,,,0.22884872807441203,1.090341985197066e-17,,,,,0.11163162364697654,1.7239820508661617e-18,,,,,False
real,R,deepseek,False,False,90,0,0,0,0,90,0,0,0,0,0,valid answers only; no imputation; equal source weights,,,,,0,,,,,,,0.017520519757333736,0.0020182232367739494,,,,,0.012095031892409536,0.0009851988185987654,,,,,0.017520519757333736,0.0020182232367739494,,,,,0.012095031892409536,0.0009851988185987654,,,,,0.03608987276423762,0.002719845563372424,,,,,0.023576594829904193,0.001673187615883166,,,,,0.22884872807441203,1.090341985197066e-17,,,,,0.11163162364697654,1.7239820508661617e-18,,,,,False
real,R,qwen_thinking,False,True,90,90,90,90,0,0,0,0,0,0,0,valid answers only; no imputation; equal source weights,1.0,0.0,0.01792522008974991,0.0022578565480591466,6,0.012359465578521911,0.001119747315842203,-0.003268156035653643,0.004783755023639343,1.0,0.0,0.017520519757333736,0.0020182232367739494,0.017520519757333736,0.0020182232367739494,0.00040470033241617474,0.0005962112265229402,0.012095031892409536,0.0009851988185987654,0.012095031892409536,0.0009851988185987654,0.0002644336861123775,0.00036583708723915794,0.017520519757333736,0.0020182232367739494,0.017520519757333736,0.0020182232367739494,0.00040470033241617474,0.0005962112265229402,0.012095031892409536,0.0009851988185987654,0.012095031892409536,0.0009851988185987654,0.0002644336861123775,0.00036583708723915794,0.03608987276423762,0.002719845563372424,0.03608987276423762,0.002719845563372424,-0.018164652674487716,0.002754946827082524,0.023576594829904193,0.001673187615883166,0.023576594829904193,0.001673187615883166,-0.011217129251382282,0.0015715302524401357,0.22884872807441203,1.090341985197066e-17,0.22884872807441203,1.090341985197066e-17,-0.2109235079846621,0.0022578565480591466,0.11163162364697654,1.7239820508661617e-18,0.11163162364697654,1.7239820508661617e-18,-0.09927215806845459,0.0011197473158422032,True
real,R,qwen_nonthinking,False,True,90,90,90,90,0,0,0,0,0,0,0,valid answers only; no imputation; equal source weights,1.0,0.0,0.48611183600392405,0.015074035992762887,6,0.3357674174208983,0.013307944709123087,0.48611183600392405,0.015074035992762887,1.0,0.0,0.017520519757333736,0.0020182232367739494,0.017520519757333736,0.0020182232367739494,0.4685913162465904,0.015572169201739768,0.012095031892409536,0.0009851988185987654,0.012095031892409536,0.0009851988185987654,0.32367238552848876,0.013269534317200014,0.017520519757333736,0.0020182232367739494,0.017520519757333736,0.0020182232367739494,0.4685913162465904,0.015572169201739768,0.012095031892409536,0.0009851988185987654,0.012095031892409536,0.0009851988185987654,0.32367238552848876,0.013269534317200014,0.03608987276423762,0.002719845563372424,0.03608987276423762,0.002719845563372424,0.4500219632396864,0.01627720598168329,0.023576594829904193,0.001673187615883166,0.023576594829904193,0.001673187615883166,0.312190822590994,0.013948156974272749,0.22884872807441203,1.090341985197066e-17,0.22884872807441203,1.090341985197066e-17,0.25726310792951196,0.015074035992762887,0.11163162364697654,1.7239820508661617e-18,0.11163162364697654,1.7239820508661617e-18,0.22413579377392176,0.013307944709123087,True
real,S,sol,False,False,90,0,0,0,0,90,0,0,0,0,0,valid answers only; no imputation; equal source weights,,,,,0,,,,,,,0.01637692573574112,0.002982654700113763,,,,,0.009812330010985748,0.0008944927053632796,,,,,0.014638960315195751,0.0031001423190928907,,,,,0.009204129332850194,0.0007975073282704922,,,,,0.03720866277609547,0.0021580461623646008,,,,,0.02227391826245208,0.0011403502349525165,,,,,0.22884872807441203,1.090341985197066e-17,,,,,0.11163162364697654,1.7239820508661617e-18,,,,,False
real,S,deepseek,False,False,90,0,0,0,0,90,0,0,0,0,0,valid answers only; no imputation; equal source weights,,,,,0,,,,,,,0.01637692573574112,0.002982654700113763,,,,,0.009812330010985748,0.0008944927053632796,,,,,0.014638960315195751,0.0031001423190928907,,,,,0.009204129332850194,0.0007975073282704922,,,,,0.03720866277609547,0.0021580461623646008,,,,,0.02227391826245208,0.0011403502349525165,,,,,0.22884872807441203,1.090341985197066e-17,,,,,0.11163162364697654,1.7239820508661617e-18,,,,,False
real,S,qwen_thinking,False,True,90,90,90,90,0,0,0,0,0,0,0,valid answers only; no imputation; equal source weights,1.0,0.0,0.019050595684388553,0.006005871802231958,6,0.01267216167286824,0.0021502816684263824,0.015647473732109618,0.006433546213112908,1.0,0.0,0.01637692573574112,0.002982654700113763,0.01637692573574112,0.002982654700113763,0.0026736699486474337,0.004538987327281309,0.009812330010985748,0.0008944927053632796,0.009812330010985748,0.0008944927053632796,0.002859831661882492,0.00180898136922642,0.014638960315195751,0.0031001423190928907,0.014638960315195751,0.0031001423190928907,0.004411635369192803,0.0045214043318217035,0.009204129332850194,0.0007975073282704922,0.009204129332850194,0.0007975073282704922,0.0034680323400180448,0.0018950558208020178,0.03720866277609547,0.0021580461623646008,0.03720866277609547,0.0021580461623646008,-0.01815806709170692,0.004910654170596401,0.02227391826245208,0.0011403502349525165,0.02227391826245208,0.0011403502349525165,-0.009601756589583843,0.0022209254738593262,0.22884872807441203,1.090341985197066e-17,0.22884872807441203,1.090341985197066e-17,-0.20979813239002346,0.006005871802231958,0.11163162364697654,1.7239820508661617e-18,0.11163162364697654,1.7239820508661617e-18,-0.09895946197410826,0.002150281668426383,True
real,S,qwen_nonthinking,False,True,90,90,90,90,0,0,0,0,0,0,0,valid answers only; no imputation; equal source weights,1.0,0.0,0.3707729281656045,0.020081141330516,6,0.2471635938081763,0.014696849937733023,0.369770724892813,0.020691228609196328,1.0,0.0,0.01637692573574112,0.002982654700113763,0.01637692573574112,0.002982654700113763,0.3543960024298633,0.019548193477935395,0.009812330010985748,0.0008944927053632796,0.009812330010985748,0.0008944927053632796,0.2373512637971906,0.014598014378835872,0.014638960315195751,0.0031001423190928907,0.014638960315195751,0.0031001423190928907,0.3561339678504086,0.019461062407162395,0.009204129332850194,0.0007975073282704922,0.009204129332850194,0.0007975073282704922,0.2379594644753261,0.014565577468373283,0.03720866277609547,0.0021580461623646008,0.03720866277609547,0.0021580461623646008,0.333564265389509,0.01986319479511929,0.02227391826245208,0.0011403502349525165,0.02227391826245208,0.0011403502349525165,0.22488967554572423,0.01484573937954384,0.22884872807441203,1.090341985197066e-17,0.22884872807441203,1.090341985197066e-17,0.14192420009119236,0.020081141330516,0.11163162364697654,1.7239820508661617e-18,0.11163162364697654,1.7239820508661617e-18,0.1355319701611998,0.014696849937733023,True
real,H,sol,False,False,90,0,0,0,0,90,0,0,0,0,0,valid answers only; no imputation; equal source weights,,,,,0,,,,,,,0.14951065057392213,0.007558488956402335,,,,,0.06101469118556991,0.0025402362910076615,,,,,0.08489977185721592,0.0038829226318079645,,,,,0.07004890326259253,0.0017614813957544375,,,,,0.04941391983551763,0.003842404471903803,,,,,0.032604691462567184,0.0017982057710430141,,,,,0.22884872807441203,1.090341985197066e-17,,,,,0.11163162364697654,1.7239820508661617e-18,,,,,False
real,H,deepseek,False,False,90,0,0,0,0,90,0,0,0,0,0,valid answers only; no imputation; equal source weights,,,,,0,,,,,,,0.14951065057392213,0.007558488956402335,,,,,0.06101469118556991,0.0025402362910076615,,,,,0.08489977185721592,0.0038829226318079645,,,,,0.07004890326259253,0.0017614813957544375,,,,,0.04941391983551763,0.003842404471903803,,,,,0.032604691462567184,0.0017982057710430141,,,,,0.22884872807441203,1.090341985197066e-17,,,,,0.11163162364697654,1.7239820508661617e-18,,,,,False
real,H,qwen_thinking,False,True,90,90,90,90,0,0,0,0,0,0,0,valid answers only; no imputation; equal source weights,1.0,0.0,0.26842256854872887,0.02405693241201924,6,0.13169135914658833,0.010212526450097703,0.2008162700221688,0.033016827204677426,1.0,0.0,0.14951065057392213,0.007558488956402335,0.14951065057392213,0.007558488956402335,0.11891191797480681,0.026158167655684978,0.06101469118556991,0.0025402362910076615,0.06101469118556991,0.0025402362910076615,0.07067666796101839,0.010859123094850027,0.08489977185721592,0.0038829226318079645,0.08489977185721592,0.0038829226318079645,0.18352279669151295,0.023497748818339357,0.07004890326259253,0.0017614813957544375,0.07004890326259253,0.0017614813957544375,0.06164245588399578,0.01001876946198058,0.04941391983551763,0.003842404471903803,0.04941391983551763,0.003842404471903803,0.21900864871321127,0.024369812865563296,0.032604691462567184,0.0017982057710430141,0.032604691462567184,0.0017982057710430141,0.09908666768402109,0.010362426398840633,0.22884872807441203,1.090341985197066e-17,0.22884872807441203,1.090341985197066e-17,0.03957384047431683,0.02405693241201924,0.11163162364697654,1.7239820508661617e-18,0.11163162364697654,1.7239820508661617e-18,0.02005973549961178,0.010212526450097705,True
