stratum,budget,h,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
synthetic,0.2,0.6,qwen_thinking,8,72,0.18161484309704637,0.02651668740500753,0.14395865220230297,0.05642303132976497,,,,72,1.0
synthetic,0.2,0.6,qwen_nonthinking,8,72,0.2571129722433394,0.03049357643790473,0.19647834313980736,-0.10981931480077052,,,,72,1.0
synthetic,0.2,0.6,mechanism_aware_reference,8,24,0.0935005628249722,0.029713266259410533,0.0738207421210405,0.08707208083616447,,,,,
synthetic,0.3,0.4,plugin,8,24,0.18168207412878606,0.05084451364359967,0.1952126500877711,-0.18168207412878606,,,,,
synthetic,0.3,0.4,shared_mle,8,24,0.07856088645985913,0.0261054284023078,0.07829936840105985,0.05892503596270269,0,0.0,,,
synthetic,0.3,0.4,extratrees,8,24,0.038790032792956175,0.01849672526298195,0.018283838870464447,-0.026372262220078414,,,1.0,,
synthetic,0.3,0.4,mechanism_aware_reference,8,24,0.0965420328871471,0.03237443982115122,0.09400550541554659,0.09412406510391619,,,,,
synthetic,0.3,0.6,plugin,8,24,0.0902218008675115,0.023403762544460197,0.12045369033763068,-0.0902218008675115,,,,,
synthetic,0.3,0.6,shared_mle,8,24,0.022875624788375452,0.006194822210302086,0.03566359153350423,0.020750733853487177,3,0.125,,,
synthetic,0.3,0.6,extratrees,8,24,0.010966578195758943,0.002287130358286697,0.011016449891251098,-0.0009701442024342844,,,1.0,,
synthetic,0.3,0.6,qwen_thinking,8,72,0.16821733300671576,0.033843432454269066,0.12717084541444162,0.05815504211866252,,,,72,1.0
synthetic,0.3,0.6,qwen_nonthinking,8,72,0.219501702144983,0.024878313350260254,0.16205575143916617,-0.09440125924521497,,,,72,1.0
synthetic,0.3,0.6,mechanism_aware_reference,8,24,0.08990480322846392,0.03128409474788478,0.07301566870702372,0.08936466882937813,,,,,
synthetic,0.4,0.4,plugin,8,16,0.1832937761371507,0.05139979270484706,0.19561557558986226,-0.1832937761371507,,,,,
synthetic,0.4,0.4,shared_mle,8,16,0.0605026463850092,0.025595160605989816,0.06673818388937415,0.04947520613457701,0,0.0,,,
synthetic,0.4,0.4,extratrees,8,16,0.03646005854579938,0.017439648136068055,0.01633244551197504,-0.025598908297321945,,,1.0,,
synthetic,0.4,0.4,mechanism_aware_reference,8,16,0.09697916793074032,0.03175760211017552,0.09336893485809586,0.0930836024685905,,,,,
synthetic,0.4,0.6,plugin,8,24,0.09127734030148084,0.023830875073303552,0.12147281378351452,-0.09127734030148084,,,,,
synthetic,0.4,0.6,shared_mle,8,24,0.023168377345982552,0.006570528236886043,0.03369523200790087,0.021559855642098974,3,0.125,,,
synthetic,0.4,0.6,extratrees,8,24,0.012061525804298225,0.003967909063107934,0.009178286689642096,-0.0016017871998183586,,,1.0,,
synthetic,0.4,0.6,qwen_thinking,8,72,0.14529489554053238,0.019797057225052074,0.12039720522954292,0.02353152167265885,,,,72,1.0
synthetic,0.4,0.6,qwen_nonthinking,8,72,0.25587682387983085,0.04114050020142284,0.1837443412792774,-0.16636792591188165,,,,72,1.0
