source_family,h,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
sp_highschool2013,0.4,plugin,1,3,0.22210493594787842,nan,0.1672914453998263,-0.22210493594787842,,,,,
sp_highschool2013,0.4,shared_mle,1,3,0.1918530373105812,nan,0.07746162621662932,0.1918530373105812,0,0.0,,,
sp_highschool2013,0.4,extratrees,1,3,0.09340331066672171,nan,0.06094604207394471,-0.09340331066672171,,,1.0,,
sp_highschool2013,0.4,mechanism_aware_reference,1,3,0.2559661357518827,nan,0.10483618792949534,0.2559661357518827,,,,,
sp_highschool2013,0.6,plugin,1,3,0.11652998943290237,nan,0.11090523826813468,-0.11652998943290237,,,,,
sp_highschool2013,0.6,shared_mle,1,3,0.008281942133743392,nan,0.008419758201349568,0.004340599683705981,0,0.0,,,
sp_highschool2013,0.6,extratrees,1,3,0.030505228725514144,nan,0.03617256047450499,-0.030505228725514144,,,1.0,,
sp_highschool2013,0.6,qwen_thinking,1,9,0.23033856097933614,nan,0.15313984330239486,0.11420628451930787,,,,0,
sp_highschool2013,0.6,qwen_nonthinking,1,9,0.1907429051602307,nan,0.0966005882128261,-0.15000649325846988,,,,0,
sp_highschool2013,0.6,mechanism_aware_reference,1,3,0.1985186281654001,nan,0.08276474029847804,0.1985186281654001,,,,,
sp_hospital,0.4,plugin,1,3,0.20913421292026121,nan,0.10825370248379666,-0.20913421292026121,,,,,
sp_hospital,0.4,shared_mle,1,3,0.1428767105712979,nan,0.07972021456504898,0.1428767105712979,0,0.0,,,
sp_hospital,0.4,extratrees,1,3,0.045706993026423705,nan,0.03471356055778871,-0.004428114708628213,,,1.0,,
sp_hospital,0.4,mechanism_aware_reference,1,3,0.24611424972327992,nan,0.10976473961570658,0.24611424972327992,,,,,
sp_hospital,0.6,plugin,1,3,0.06868371570075622,nan,0.04619076728848146,-0.06868371570075622,,,,,
sp_hospital,0.6,shared_mle,1,3,0.09574989128139542,nan,0.07211247555654222,0.09574989128139542,0,0.0,,,
sp_hospital,0.6,extratrees,1,3,0.04950359271321838,nan,0.05363160297917672,0.04950359271321838,,,1.0,,
sp_hospital,0.6,qwen_thinking,1,9,0.19386735442884595,nan,0.10146853374227637,0.057314442469017686,,,,0,
sp_hospital,0.6,qwen_nonthinking,1,9,0.1430120963808409,nan,0.11826504731245732,0.12187269534679546,,,,0,
sp_hospital,0.6,mechanism_aware_reference,1,3,0.23487920794805914,nan,0.1016057060536637,0.23487920794805914,,,,,
sp_workplace,0.4,plugin,1,3,0.08769899695389581,nan,0.06322095887815575,-0.08769899695389581,,,,,
sp_workplace,0.4,shared_mle,1,3,0.31845957420756005,nan,0.11521180708033645,0.31845957420756005,0,0.0,,,
sp_workplace,0.4,extratrees,1,3,0.10249791544210347,nan,0.05982063013564165,0.10249791544210347,,,1.0,,
sp_workplace,0.4,mechanism_aware_reference,1,3,0.335217725754237,nan,0.11945202051285853,0.335217725754237,,,,,
sp_workplace,0.6,plugin,1,3,0.08769899695389581,nan,0.06322095887815575,-0.08769899695389581,,,,,
sp_workplace,0.6,shared_mle,1,3,0.0611922705334901,nan,0.03767503633837952,0.0611922705334901,0,0.0,,,
sp_workplace,0.6,extratrees,1,3,0.03012574575020573,nan,0.015685766111147987,0.03012574575020573,,,1.0,,
sp_workplace,0.6,qwen_thinking,1,9,0.17844391278797708,nan,0.10473387244126194,0.05665548928138289,,,,0,
sp_workplace,0.6,qwen_nonthinking,1,9,0.3111813029688556,nan,0.13545988665314823,-0.1401263453439401,,,,0,
sp_workplace,0.6,mechanism_aware_reference,1,3,0.06119273004409368,nan,0.037675217662726856,0.06119273004409368,,,,,
