graph_id,stratum,cap,budget_fraction,C_cap_share,n_dyads,dyad_coverage,saturated,target_unreachable,relative_budget_error,truth_2,expected_plugin_bias_2,expected_plugin_profile_bias,expected_midpoint_bias_2,sd_plugin_2,sd_midpoint_2,sd_selection_2,share_J_lt_K,MAE2_plugin_mc,MAE2_midpoint_mc,coverage_truth_2_mc,width_2_mc,draws
sp_hospital,real,1,0.01,0.035128300024673084,324,0.2844600526777875,False,False,-0.0007401924500370377,0.44512730465320455,-0.44512730465320455,-0.16725197541703246,0.012730465320456574,0.0,0.006530692257843901,0.0233654399585106,0.44512730465320455,0.4451273046532046,0.010033573960264056,1.0,0.9095679012345679,20
sp_hospital,real,1,0.02,0.035128300024673084,648,0.568920105355575,False,False,-0.0007401924500370377,0.44512730465320455,-0.44512730465320455,-0.16725197541703246,0.012730465320456574,0.0,0.003584314945202151,0.01282392315208598,0.44512730465320455,0.4451273046532046,0.01247300398877076,1.0,0.9152006172839506,20
sp_hospital,real,1,0.05,0.035128300024673084,1139,1.0,True,True,-0.29743399950653837,0.44512730465320455,-0.44512730465320455,-0.16725197541703246,0.012730465320456574,0.0,0.0,0.0,0.44512730465320455,0.44512730465320455,0.012730465320456574,1.0,0.9157155399473222,1
sp_hospital,real,1,0.1,0.035128300024673084,1139,1.0,True,True,-0.6487169997532692,0.44512730465320455,-0.44512730465320455,-0.16725197541703246,0.012730465320456574,0.0,0.0,0.0,0.44512730465320455,0.44512730465320455,0.012730465320456574,1.0,0.9157155399473222,1
sp_hospital,real,1,0.2,0.035128300024673084,1139,1.0,True,True,-0.8243584998766346,0.44512730465320455,-0.44512730465320455,-0.16725197541703246,0.012730465320456574,0.0,0.0,0.0,0.44512730465320455,0.44512730465320455,0.012730465320456574,1.0,0.9157155399473222,1
sp_hospital,real,1,0.3,0.035128300024673084,1139,1.0,True,True,-0.882905666584423,0.44512730465320455,-0.44512730465320455,-0.16725197541703246,0.012730465320456574,0.0,0.0,0.0,0.44512730465320455,0.44512730465320455,0.012730465320456574,1.0,0.9157155399473222,1
sp_hospital,real,1,0.5,0.035128300024673084,1139,1.0,True,True,-0.9297433999506538,0.44512730465320455,-0.44512730465320455,-0.16725197541703246,0.012730465320456574,0.0,0.0,0.0,0.44512730465320455,0.44512730465320455,0.012730465320456574,1.0,0.9157155399473222,1
sp_hospital,real,2,0.01,0.06522945965951148,175,0.15364354697102722,False,False,0.0022085549090874864,0.44512730465320455,-0.36435469710272167,-0.14705882352941174,-0.006145741878841093,0.018957972633469666,0.018031978580143347,0.03457698776882373,0.3906935908691835,0.3634130189389188,0.014765207575567532,1.0,0.7145714285714286,20
sp_hospital,real,2,0.02,0.06522945965951148,349,0.3064091308165057,False,False,-0.0006548981049383727,0.44512730465320455,-0.36435469710272167,-0.14705882352941174,-0.006145741878841093,0.012152712717319393,0.011559118669812778,0.022165038799714522,0.3906935908691835,0.3656144106703966,0.010429145356983818,1.0,0.7174785100286533,20
sp_hospital,real,2,0.05,0.06522945965951148,873,0.7664618086040387,False,False,-8.220750213320084e-05,0.44512730465320455,-0.36435469710272167,-0.14705882352941174,-0.006145741878841093,0.004458677862162794,0.004240895651697348,0.008132074715254638,0.3906935908691835,0.36397037452720227,0.006152505111394702,1.0,0.7156357388316149,20
sp_hospital,real,2,0.1,0.06522945965951148,1139,1.0,True,True,-0.3477054034048853,0.44512730465320455,-0.36435469710272167,-0.14705882352941174,-0.006145741878841093,0.0,0.0,0.0,0.3906935908691835,0.36435469710272167,0.006145741878841093,1.0,0.7164179104477612,1
sp_hospital,real,2,0.2,0.06522945965951148,1139,1.0,True,True,-0.6738527017024426,0.44512730465320455,-0.36435469710272167,-0.14705882352941174,-0.006145741878841093,0.0,0.0,0.0,0.3906935908691835,0.36435469710272167,0.006145741878841093,1.0,0.7164179104477612,1
sp_hospital,real,2,0.3,0.06522945965951148,1139,1.0,True,True,-0.7825684678016284,0.44512730465320455,-0.36435469710272167,-0.14705882352941174,-0.006145741878841093,0.0,0.0,0.0,0.3906935908691835,0.36435469710272167,0.006145741878841093,1.0,0.7164179104477612,1
sp_hospital,real,2,0.5,0.06522945965951148,1139,1.0,True,True,-0.869541080680977,0.44512730465320455,-0.36435469710272167,-0.14705882352941174,-0.006145741878841093,0.0,0.0,0.0,0.3906935908691835,0.36435469710272167,0.006145741878841093,1.0,0.7164179104477612,1
sp_hospital,real,3,0.01,0.09221564273377744,124,0.10886742756804214,False,False,0.003927980595996737,0.44512730465320455,-0.3204565408252853,-0.13476733977172956,-0.015803336259877065,0.02801683515162603,0.025819038685507265,0.0421492491275534,0.35733099209833186,0.311256336911269,0.022651094621767814,1.0,0.592741935483871,20
sp_hospital,real,3,0.02,0.09221564273377744,247,0.21685689201053557,False,False,-0.00012011609995481026,0.44512730465320455,-0.3204565408252853,-0.13476733977172956,-0.015803336259877065,0.018609334691277,0.017149514915061614,0.027996362892370917,0.35733099209833186,0.3204309483779009,0.01970796173929115,1.0,0.6080971659919028,20
sp_hospital,real,3,0.05,0.09221564273377744,618,0.5425812115891132,False,False,0.0006895032392355693,0.44512730465320455,-0.3204565408252853,-0.13476733977172956,-0.015803336259877065,0.00899127995819167,0.008285953920791215,0.013526713380808244,0.35733099209833186,0.318428275526991,0.016203356433139828,1.0,0.6044498381877023,20
sp_hospital,real,3,0.1,0.09221564273377744,1139,1.0,True,True,-0.07784357266222554,0.44512730465320455,-0.3204565408252853,-0.13476733977172956,-0.015803336259877065,0.0,0.0,0.0,0.35733099209833186,0.3204565408252853,0.015803336259877065,1.0,0.6093064091308166,1
sp_hospital,real,3,0.2,0.09221564273377744,1139,1.0,True,True,-0.5389217863311128,0.44512730465320455,-0.3204565408252853,-0.13476733977172956,-0.015803336259877065,0.0,0.0,0.0,0.35733099209833186,0.3204565408252853,0.015803336259877065,1.0,0.6093064091308166,1
sp_hospital,real,3,0.3,0.09221564273377744,1139,1.0,True,True,-0.6926145242207418,0.44512730465320455,-0.3204565408252853,-0.13476733977172956,-0.015803336259877065,0.0,0.0,0.0,0.35733099209833186,0.3204565408252853,0.015803336259877065,1.0,0.6093064091308166,1
sp_hospital,real,3,0.5,0.09221564273377744,1139,1.0,True,True,-0.8155687145324451,0.44512730465320455,-0.3204565408252853,-0.13476733977172956,-0.015803336259877065,0.0,0.0,0.0,0.35733099209833186,0.3204565408252853,0.015803336259877065,1.0,0.6093064091308166,1
sp_hospital,real,5,0.01,0.1389094497902788,82,0.07199297629499561,False,False,5.0472590242519723e-05,0.44512730465320455,-0.2528533801580334,-0.11325724319578577,-0.017120280948200173,0.04194224602895656,0.037920720365575436,0.05289300377640703,0.2923617208077261,0.2530541339214973,0.03201540718216663,1.0,0.46768292682926826,20
