stratum_group,cap,budget_fraction,graphs,dyad_coverage,dyad_coverage_between_graph_se,saturated,saturated_between_graph_se,target_unreachable,target_unreachable_between_graph_se,expected_plugin_bias_2,expected_plugin_bias_2_between_graph_se,expected_midpoint_bias_2,expected_midpoint_bias_2_between_graph_se,sd_plugin_2,sd_plugin_2_between_graph_se,share_J_lt_K,share_J_lt_K_between_graph_se,MAE2_plugin_mc,MAE2_plugin_mc_between_graph_se,MAE2_midpoint_mc,MAE2_midpoint_mc_between_graph_se,coverage_truth_2_mc,coverage_truth_2_mc_between_graph_se,width_2_mc,width_2_mc_between_graph_se
real,full,0.01,6,0.009936429705323395,5.6339091181795604e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05056168185147402,0.02139366679468791,0.0,0.0,0.044120258224511294,0.02073460576165596,0.044120258224511294,0.02073460576165596,0.0,0.0,0.0,0.0
real,full,0.02,6,0.02002295120717595,3.587384714464473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03518352803985759,0.014693756067301802,0.0,0.0,0.02996711378697033,0.014530887957441244,0.02996711378697033,0.014530887957441244,0.0,0.0,0.0,0.0
real,full,0.05,6,0.05001009225737348,7.875397502628647e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021947694624979603,0.009192030185541867,0.0,0.0,0.019553123763038346,0.007776501484530643,0.019553123763038346,0.007776501484530643,0.0,0.0,0.0,0.0
real,full,0.1,6,0.1000189754603432,1.5877598248897585e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015105275514281624,0.006326196104441759,0.0,0.0,0.011220866061278636,0.004446885753276829,0.011220866061278636,0.004446885753276829,0.0,0.0,0.0,0.0
real,full,0.2,6,0.20004743949584367,2.7717794759463765e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010069593736529943,0.004217206262837432,0.0,0.0,0.007874066407462974,0.003382947617054322,0.007874066407462974,0.003382947617054322,0.0,0.0,0.0,0.0
real,full,0.3,6,0.3000257240979521,4.869014485625956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007691289422717358,0.0032207342295255243,0.0,0.0,0.005683675592573788,0.0022556583392630224,0.005683675592573788,0.0022556583392630224,0.0,0.0,0.0,0.0
real,full,0.5,6,0.49992683640620433,7.316359379573127e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050385987780163415,0.002111845194939703,0.0,0.0,0.004531188605252884,0.001926608254348311,0.004531188605252884,0.001926608254348311,0.0,0.0,0.0,0.0
real,1,0.01,6,0.19739604960765036,0.054852018755498166,0.0,0.0,0.0,0.0,-0.3451292751071871,0.0800969928912279,0.05656612347392697,0.05635305695560062,0.0,0.0,0.3451292751071871,0.0800969928912279,0.34512927510718705,0.08009699289122788,0.09421485589212995,0.045079390720851494,1.0,0.0,0.802490393434255,0.06950908318800125
real,1,0.02,6,0.39481540510184,0.10969705433091413,0.0,0.0,0.0,0.0,-0.3451292751071871,0.0800969928912279,0.05656612347392697,0.05635305695560062,0.0,0.0,0.3451292751071871,0.0800969928912279,0.34512927510718705,0.08009699289122788,0.09464934428731007,0.04481095969170944,1.0,0.0,0.8027175533506282,0.06995072425864726
real,1,0.05,6,0.7200107291869444,0.17767397027486576,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.3451292751071871,0.0800969928912279,0.05656612347392697,0.05635305695560062,0.0,0.0,0.3451292751071871,0.0800969928912279,0.3451292751071871,0.0800969928912279,0.09462093054483102,0.044860984082958064,1.0,0.0,0.8030284117121665,0.07007233392889076
real,1,0.1,6,0.773342747577531,0.14625537524271934,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.3451292751071871,0.0800969928912279,0.05656612347392697,0.05635305695560062,0.0,0.0,0.3451292751071871,0.0800969928912279,0.3451292751071871,0.0800969928912279,0.09473026635570321,0.04490558996445456,1.0,0.0,0.8032470833339108,0.06992450813727655
real,1,0.2,6,0.8800308726180864,0.09551461708867169,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.3451292751071871,0.0800969928912279,0.05656612347392697,0.05635305695560062,0.0,0.0,0.3451292751071871,0.0800969928912279,0.3451292751071871,0.0800969928912279,0.09483504955345078,0.04495852045710208,1.0,0.0,0.803456649729406,0.06980594350669124
real,1,0.3,6,0.9371814922387838,0.06281850776121625,0.8333333333333334,0.16666666666666669,0.8333333333333334,0.16666666666666669,-0.3451292751071871,0.0800969928912279,0.05656612347392697,0.05635305695560062,0.0,0.0,0.3451292751071871,0.0800969928912279,0.3451292751071871,0.0800969928912279,0.09479557133535692,0.04491758733105442,1.0,0.0,0.8033776932932183,0.06980269564580803
real,1,0.5,6,1.0,0.0,1.0,0.0,1.0,0.0,-0.3451292751071871,0.0800969928912279,0.05656612347392697,0.05635305695560062,0.0,0.0,0.3451292751071871,0.0800969928912279,0.3451292751071871,0.0800969928912279,0.09480212326986182,0.04492353256278787,1.0,0.0,0.803390797162228,0.0698012910913472
real,10,0.01,6,0.03836535901574046,0.00902845463056041,0.0,0.0,0.0,0.0,-0.08793548334718425,0.03200403267887904,-0.02215981111283392,0.009108557102140135,0.023037964023124705,0.00825860459359071,0.14448619685007766,0.042914162620851286,0.09108813469020799,0.030767835936455587,0.033326403221113986,0.008129067503771105,0.6166666666666667,0.11948965552623282,0.1308163557017921,0.05037410192958406
real,10,0.02,6,0.07667965200724347,0.01804584533811623,0.0,0.0,0.0,0.0,-0.08793548334718425,0.03200403267887904,-0.02215981111283392,0.009108557102140135,0.015935955202106045,0.005698395875805194,0.14448619685007766,0.042914162620851286,0.08781956237943361,0.030949994079957,0.025755218063471627,0.007269401164490484,0.7166666666666668,0.13763881881375054,0.13012106788624692,0.049492207002190605
real,10,0.05,6,0.19161526209193303,0.045119374816327114,0.0,0.0,0.0,0.0,-0.08793548334718425,0.03200403267887904,-0.02215981111283392,0.009108557102140135,0.009363212954082871,0.00333551737566056,0.14448619685007766,0.042914162620851286,0.09007281981269549,0.03246908941178599,0.026335030534595866,0.007977441794361127,0.875,0.07274384280931731,0.13214887483193805,0.05018204452100833
real,10,0.1,6,0.3831915022893198,0.09022094198584227,0.0,0.0,0.0,0.0,-0.08793548334718425,0.03200403267887904,-0.02215981111283392,0.009108557102140135,0.005635245932693322,0.0020063486613761394,0.14448619685007766,0.042914162620851286,0.08824740343468372,0.03207786179291802,0.024399391542296794,0.0078606418390005,0.9416666666666668,0.039616214413349046,0.1319159741886292,0.050912822259276055
real,10,0.2,6,0.6983266673102458,0.14779664077759205,0.3333333333333333,0.210818510677892,0.3333333333333333,0.210818510677892,-0.08793548334718425,0.03200403267887904,-0.02215981111283392,0.009108557102140135,0.0020113280292679424,0.0008580837424806807,0.14448619685007766,0.042914162620851286,0.08816199554978216,0.03195002860565614,0.0243831875722183,0.007912721486978396,0.9583333333333334,0.027131367660166186,0.13181725786575071,0.05022927945523193
real,10,0.3,6,0.7862276681816435,0.1355406210171406,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.08793548334718425,0.03200403267887904,-0.02215981111283392,0.009108557102140135,0.0006661669481019984,0.0005047403464733334,0.14448619685007766,0.042914162620851286,0.08775122697126692,0.03209502671166681,0.0245252168635432,0.007844278205268312,0.9916666666666667,0.008333333333333342,0.13159765697247236,0.05013450194528618
real,10,0.5,6,0.8659424408841919,0.08627763003036053,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.08793548334718425,0.03200403267887904,-0.02215981111283392,0.009108557102140135,0.0003963567254604438,0.0002944662484060252,0.14448619685007766,0.042914162620851286,0.08795009294211975,0.031996630937156906,0.0241613522995914,0.008018590147863212,1.0,0.0,0.1314502882821124,0.05019592748304362
real,2,0.01,6,0.11350169391696074,0.0309829434580565,0.0,0.0,0.0,0.0,-0.2407172372987305,0.060101429388335,-0.006281967437792152,0.03083763883226866,0.008898338811519179,0.002376930172568,0.2815158473233036,0.07085839277980434,0.24174429198784317,0.05982362205068592,0.06370676026038079,0.012745976623586832,1.0,0.0,0.4673569294430928,0.07115472266573483
real,2,0.02,6,0.22684088472903827,0.061914917212111904,0.0,0.0,0.0,0.0,-0.2407172372987305,0.060101429388335,-0.006281967437792152,0.03083763883226866,0.005815567386333369,0.0015177333402598215,0.2815158473233036,0.07085839277980434,0.24090572407416935,0.059976920457617905,0.06216854863553792,0.012971438175507739,1.0,0.0,0.4679936597976861,0.07165826261604702
real,2,0.05,6,0.5671822543206336,0.15481131609161666,0.0,0.0,0.0,0.0,-0.2407172372987305,0.060101429388335,-0.006281967437792152,0.03083763883226866,0.0023806683224931505,0.0006756973884388512,0.2815158473233036,0.07085839277980434,0.24071594283475603,0.06010887938199756,0.06207743702152122,0.013687197006299256,1.0,0.0,0.4686899502120887,0.07119689053058498
real,2,0.1,6,0.7358883143170271,0.16773022798586099,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.2407172372987305,0.060101429388335,-0.006281967437792152,0.03083763883226866,0.0006431639629123705,0.0004546430801265399,0.2815158473233036,0.07085839277980434,0.24069408433189712,0.06011545671726956,0.062140738524882784,0.013670409699581203,1.0,0.0,0.46884898719258605,0.07120639402796772
real,2,0.2,6,0.8051099619673875,0.12695903381648144,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.2407172372987305,0.060101429388335,-0.006281967437792152,0.03083763883226866,0.00037773805054728513,0.00026016698368612457,0.2815158473233036,0.07085839277980434,0.24064779552097185,0.06014570711600526,0.06217793135781311,0.01368090486101603,1.0,0.0,0.46883079523659615,0.07121701112125857
real,2,0.3,6,0.8743316096177479,0.0916512144312403,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.2407172372987305,0.060101429388335,-0.006281967437792152,0.03083763883226866,0.00022526881040820044,0.00014721451055737638,0.2815158473233036,0.07085839277980434,0.24071911246297883,0.06009826571414093,0.06216956123819433,0.013667712475325484,1.0,0.0,0.46895668888137254,0.07114721116014706
real,2,0.5,6,0.9572875994311634,0.04271240056883669,0.8333333333333334,0.16666666666666669,0.8333333333333334,0.16666666666666669,-0.2407172372987305,0.060101429388335,-0.006281967437792152,0.03083763883226866,4.6745363744290765e-05,4.674536374429077e-05,0.2815158473233036,0.07085839277980434,0.24073297307629796,0.060090891339266095,0.0621191842640195,0.013665471940449278,1.0,0.0,0.46888365615966116,0.07118696374065199
real,20,0.01,6,0.02654940807526047,0.005440052503113298,0.0,0.0,0.0,0.0,-0.04879223924570728,0.019411177126888942,-0.015140242533049318,0.006439259915230745,0.02893306370942038,0.011216092349967809,0.09830018790040108,0.030318852930025935,0.05790863883173125,0.019230604608626287,0.03133744387783829,0.009109076661213444,0.42500000000000004,0.14818344486930154,0.06510316753992958,0.026211985858540336
real,20,0.02,6,0.052964959774181315,0.010869729887496836,0.0,0.0,0.0,0.0,-0.04879223924570728,0.019411177126888942,-0.015140242533049318,0.006439259915230745,0.02022738907235539,0.00788024598082733,0.09830018790040108,0.030318852930025935,0.0526207584917679,0.018132451692100374,0.025613373089645074,0.007027871185342526,0.5083333333333334,0.15514330293133652,0.06982452521058084,0.029706053545083523
real,20,0.05,6,0.13249504363163012,0.0272044128510522,0.0,0.0,0.0,0.0,-0.04879223924570728,0.019411177126888942,-0.015140242533049318,0.006439259915230745,0.012181834916356188,0.004735291008184218,0.09830018790040108,0.030318852930025935,0.049717257091405426,0.018711076263993324,0.021494781299795124,0.006966673692312656,0.6,0.14548768561863465,0.06740452495523873,0.028214597699818766
real,20,0.1,6,0.26494985631431023,0.054388518882935506,0.0,0.0,0.0,0.0,-0.04879223924570728,0.019411177126888942,-0.015140242533049318,0.006439259915230745,0.007845324403294012,0.0030502875360160905,0.09830018790040108,0.030318852930025935,0.04925055760282634,0.018788142937277794,0.01820654195832665,0.005989073477730902,0.6749999999999999,0.1459166428707386,0.06671449834555954,0.027317253143534604
real,20,0.2,6,0.5297649696614354,0.10876790240034197,0.0,0.0,0.0,0.0,-0.04879223924570728,0.019411177126888942,-0.015140242533049318,0.006439259915230745,0.00417606169998877,0.0017023831116575823,0.09830018790040108,0.030318852930025935,0.050058209034616385,0.019514168550666202,0.016859069933774676,0.005985899545623822,0.7166666666666667,0.13703203194062977,0.06755679464067266,0.02810709048346828
real,20,0.3,6,0.7295445261320609,0.13034467810862332,0.3333333333333333,0.210818510677892,0.3333333333333333,0.210818510677892,-0.04879223924570728,0.019411177126888942,-0.015140242533049318,0.006439259915230745,0.001964524725752813,0.0009264126160844918,0.09830018790040108,0.030318852930025935,0.04909971730165211,0.019368134068688675,0.016081610037003705,0.006019026933428264,0.7666666666666666,0.14240006242195885,0.0674623428337222,0.02805644048629988
real,20,0.5,6,0.8473453635912542,0.09682154221746898,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.04879223924570728,0.019411177126888942,-0.015140242533049318,0.006439259915230745,0.0004740837064343317,0.0003640589134355447,0.09830018790040108,0.030318852930025935,0.049009197984221035,0.019306684062958934,0.015750978448306675,0.006146159985160211,0.8666666666666666,0.10619688214715997,0.06730211919045251,0.0279710031905149
real,3,0.01,6,0.083983462429852,0.022446959500902468,0.0,0.0,0.0,0.0,-0.19142093075023722,0.05175729914853117,-0.02164752217290339,0.02092100278571743,0.012464227513620882,0.0035815790692303247,0.24513980196142263,0.06488882658539435,0.1905150910233534,0.05096689240200911,0.049032872443630256,0.008808662151226181,1.0,0.0,0.33661332075813416,0.07298807888152734
real,3,0.02,6,0.16777990681387775,0.04485335490003856,0.0,0.0,0.0,0.0,-0.19142093075023722,0.05175729914853117,-0.02164752217290339,0.02092100278571743,0.00835700606431604,0.002373131993250959,0.24513980196142263,0.06488882658539435,0.19127248409676612,0.05182677832176086,0.0487323516084395,0.00857266882422246,1.0,0.0,0.33922951770701254,0.07452352895830684
real,3,0.05,6,0.41958187127059315,0.11216108880529609,0.0,0.0,0.0,0.0,-0.19142093075023722,0.05175729914853117,-0.02164752217290339,0.02092100278571743,0.004226013935342136,0.0011667082199814875,0.24513980196142263,0.06488882658539435,0.1913193256642501,0.051542461212594794,0.047427608717072994,0.009119729370639528,1.0,0.0,0.33836258575435,0.07458836692053662
real,3,0.1,6,0.7052712291306107,0.1701631904222289,0.5,0.22360679774997896,0.5,0.22360679774997896,-0.19142093075023722,0.05175729914853117,-0.02164752217290339,0.02092100278571743,0.0010929483889547135,0.0006173846276514623,0.24513980196142263,0.06488882658539435,0.19136762432563226,0.05179254700633967,0.04732444646328438,0.00899720344648804,1.0,0.0,0.3393255054303974,0.07515213626044295
real,3,0.2,6,0.780698038110824,0.14026729754064204,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.19142093075023722,0.05175729914853117,-0.02164752217290339,0.02092100278571743,0.0005469413757899162,0.00039015246618435447,0.24513980196142263,0.06488882658539435,0.1911507391363396,0.05191782063838572,0.04766381401253796,0.008977346722376711,1.0,0.0,0.33944386553542216,0.07508741102866824
real,3,0.3,6,0.83770814506348,0.10732980474370882,0.6666666666666666,0.210818510677892,0.6666666666666666,0.210818510677892,-0.19142093075023722,0.05175729914853117,-0.02164752217290339,0.02092100278571743,0.00036970400056823247,0.00025680201682237307,0.24513980196142263,0.06488882658539435,0.19134157405426314,0.05180396079684053,0.047506820270216216,0.008999269988855533,1.0,0.0,0.3395115478866258,0.07504799074589813
real,3,0.5,6,0.9421162568843778,0.05788374311562209,0.8333333333333334,0.16666666666666669,0.8333333333333334,0.16666666666666669,-0.19142093075023722,0.05175729914853117,-0.02164752217290339,0.02092100278571743,6.807123716538491e-05,6.807123716538493e-05,0.24513980196142263,0.06488882658539435,0.1914119525182132,0.05176319488719499,0.04745077483885767,0.00900980741476719,1.0,0.0,0.33954021395180883,0.07504090950020845
