evidence_block,arm,method,graphs,MAE2,MAE2_se,ProfileMAE,ProfileMAE_se,signed_rho2,signed_rho2_se,worst_graph_AE2,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
real,R,plugin,8,0.014845009275264354,0.0030121117359891147,0.009929455545036332,0.0027362079669188064,-0.011229278586593776,0.002572781579416453,0.024248173318841548,0.0,0.0,,
real,R,corrector,8,0.014845009275264354,0.0030121117359891147,0.009929455545036332,0.0027362079669188064,-0.011229278586593776,0.002572781579416453,0.024248173318841548,,,0.0,0.0
real,R,median,8,0.2396987696760392,0.03651749614287755,0.11015221734076834,0.014439463003087996,0.05898958163993918,0.0951017666307049,0.41577956759326407,0.22485376040077484,0.039222084468439444,0.22485376040077484,0.039222084468439444
real,R,extratrees_pooled,8,0.04526796577420936,0.012365841491579488,0.022684876204049173,0.005481708376345556,0.02034718285507314,0.019446455834141254,0.12113700126011501,0.030422956498945004,0.013495287872568314,0.030422956498945004,0.013495287872568314
real,R,extratrees_real_only,8,0.05161901771274943,0.006657015447024671,0.02489677050881902,0.0031084509108631267,0.0037531455026117216,0.020565740829623983,0.08691265160980331,0.03677400843748509,0.007217352081533863,0.03677400843748509,0.007217352081533863
real,S,plugin,8,0.059528162555929076,0.024972158469570405,0.028622942266922302,0.010112848834028954,0.05690874675565284,0.025770273595029522,0.22121561189415484,0.0,0.0,,
real,S,corrector,8,0.059528162555929076,0.024972158469570405,0.028622942266922302,0.010112848834028954,0.05690874675565284,0.025770273595029522,0.22121561189415484,,,0.0,0.0
real,S,median,8,0.2396987696760392,0.03651749614287755,0.11015221734076834,0.014439463003087996,0.05898958163993918,0.0951017666307049,0.41577956759326407,0.18017060712011013,0.03878369025274744,0.18017060712011013,0.03878369025274744
real,S,extratrees_pooled,8,0.06943442492660147,0.022727460883982357,0.032424226705694344,0.00920080321606362,0.06304259370119578,0.025248855962610162,0.21809030589214218,0.009906262370672396,0.010426450838595665,0.009906262370672396,0.010426450838595665
real,S,extratrees_real_only,8,0.07129225510194771,0.026064290863133433,0.04302280522817802,0.011264576372114919,0.056955655631794805,0.030692180801490644,0.2318075637841244,0.011764092546018637,0.017939990398774402,0.011764092546018637,0.017939990398774402
real,S,design_reference,8,0.014004043483862326,0.003592028780564888,0.009538771760974417,0.0023795720760036755,-0.011241643983062002,0.0035028690566714002,0.03369458432386981,-0.04552411907206675,0.024527009703776904,-0.04552411907206675,0.024527009703776904
real,H,plugin,8,0.06988919598543616,0.016941405627162565,0.059810482339117885,0.01815721911123775,-0.06422294490935102,0.0198889475230755,0.12959142625292158,-0.05584764716802373,0.017852173314211517,,
real,H,corrector,8,0.1257368431534599,0.02590041110394398,0.052008621923614384,0.011172083221118404,0.12555776356247464,0.026024063359588203,0.2126054367890958,,,0.05584764716802373,0.017852173314211517
