stratum,graphs,AE2_plugin,AE2_plugin_mcse,AE2_plugin_between_source_se,AE2_midpoint,AE2_midpoint_mcse,AE2_midpoint_between_source_se,AE2_median,AE2_median_mcse,AE2_median_between_source_se,AE2_extratrees_pooled,AE2_extratrees_pooled_mcse,AE2_extratrees_pooled_between_source_se,AE2_extratrees_real_only,AE2_extratrees_real_only_mcse,AE2_extratrees_real_only_between_source_se,AE2_plugin_reservoir,AE2_plugin_reservoir_mcse,AE2_plugin_reservoir_between_source_se,selection_2,selection_2_mcse,selection_2_between_source_se,history_2,history_2_mcse,history_2_between_source_se,total_2,total_2_mcse,total_2_between_source_se,mid_error_2,mid_error_2_mcse,mid_error_2_between_source_se,abs_selection_2,abs_selection_2_between_source_se,abs_history_2,abs_history_2_between_source_se,abs_total_2,abs_total_2_between_source_se,covers_truth_2,covers_truth_2_mcse,covers_truth_2_between_source_se,width_2,width_2_mcse,width_2_between_source_se,volume_ratio,volume_ratio_mcse,volume_ratio_between_source_se,lost_share,lost_share_mcse,lost_share_between_source_se,lost_share_reservoir,lost_share_reservoir_mcse,lost_share_reservoir_between_source_se,paired_midpoint_minus_plugin,paired_midpoint_minus_plugin_mcse,paired_midpoint_minus_plugin_between_source_se,paired_extratrees_pooled_minus_plugin,paired_extratrees_pooled_minus_plugin_mcse,paired_extratrees_pooled_minus_plugin_between_source_se,paired_plugin_reservoir_minus_plugin,paired_plugin_reservoir_minus_plugin_mcse,paired_plugin_reservoir_minus_plugin_between_source_se,expected_history_2,expected_history_reservoir_2,share_J_lt_K
real,6,0.1386660850573164,0.0003426192295436421,0.04249417106246189,0.03438592281656256,0.00035828036054405044,0.008965605708325062,0.22884872807441203,1.8381578995933006e-18,0.031963558135367505,0.035957363735730594,0.0006310932588621536,0.008831073739974977,0.03554467954792833,0.0003003945295430074,0.008670272720931222,0.037957630058883425,0.0004265152062869729,0.01092188796401683,2.289903190930419e-05,0.0004163305936065997,0.00015384911322128148,-0.1386889840892257,0.00031052014519610417,0.042524319293545866,-0.1386660850573164,0.0003426192295436421,0.04249417106246189,-0.02518711132207965,0.00035828036054405044,0.01378340697927417,0.002566181711836968,0.001033759308943275,0.1386889840892257,0.042524319293545866,0.1386660850573164,0.04249417106246189,1.0,0.0,0.0,0.22695794747047346,0.00037486411121856423,0.06826322889294469,0.9992844478030231,0.000502729143292666,0.001830834595371844,0.1977772753923723,0.0003375009769927991,0.05534726548581872,0.13773155100054155,0.0004508317019771511,0.03945182594815006,-0.10428016224075383,0.00045994928200826626,0.03867705513911997,-0.10270872132158577,0.0008972919497860464,0.05066005418695716,-0.10070845499843296,0.0003483844714199903,0.03245726498500388,-0.1386151411139647,-0.037513435175841936,0.1977077022086633
dar_a0,2,0.024033889251812733,0.0024628321993788987,0.002378190915391298,0.021576645064529984,0.0025677054127691097,0.0028440545352820703,0.03568966568008969,0.0,0.00044071406880774594,0.01864763680972764,0.002691438700566957,0.0020445398953104765,0.015619935011445768,0.0019856795295384025,0.0003437452710275419,0.022572410152452142,0.002588083231207464,0.001959596781978602,-0.0014776194383542204,0.0042939173929583815,0.0007404262835232696,-0.00867587989965989,0.0007341260562231568,0.0017698025515935916,-0.01015349933801411,0.004321370010277063,0.0010293762680703212,-0.002837866595127947,0.004336960763023336,0.0011723070610957591,0.02148522931943714,0.0026592271864522665,0.00867587989965989,0.0017698025515935916,0.024033889251812733,0.002378190915391298,0.225,0.06761929030278736,0.024999999999999994,0.014631265485772326,0.0009568454962461753,0.00028586158605088067,0.9979729553672363,0.004146521234175339,1.3529331591155547e-06,0.036294802936333276,0.0014988885617150628,0.006184305698764217,0.015335723849243602,0.0009307960526679738,0.002352298434878961,-0.0024572441872827517,0.0010717927033738175,0.0004658636198907704,-0.0053862524420850945,0.001461548385832175,0.00033365102008082315,-0.0014614790993605921,0.0011681079502095903,0.00041859413341269614,-0.008000500572770797,-0.0012961574913953333,0.03612048226510929
dar_a08,2,0.02601384111909843,0.002777617440286084,0.002897355158575797,0.023891493403289117,0.002643797034893927,0.0022526881186920467,0.41580761379269027,1.273513149771875e-17,0.003407235989478452,0.02312622304279139,0.0020962064641190047,0.0018652391701799215,0.2725118936828864,0.00043020069561437133,0.0029887735948050938,0.02354315173258558,0.0026848208986714793,0.0010104856219378174,-0.00048411066413376605,0.004699179102932139,0.003068389833973409,-0.013298070216228771,0.001046350306089887,0.00270983492211114,-0.013782180880362538,0.004554389304878446,0.0003585549118622685,-0.006000657203698196,0.00459403793255381,0.0018655687846050428,0.023838044393207143,0.0011077498240613518,0.013298070216228771,0.00270983492211114,0.02601384111909843,0.002897355158575797,0.2,0.06282808624375431,0.09999999999999999,0.015563047353328675,0.001094729907526487,0.0030140277454855477,1.0017163038714942,0.0033498325475714327,0.003215336753505715,0.45703131054793456,0.0048959359140560215,0.010952879175385538,0.3655824226923971,0.00428196353329237,0.007935363868867729,-0.002122347715809314,0.001290688193189529,0.0006446670398837505,-0.002887618076307041,0.004245100402749403,0.0010321159883958763,-0.0024706893865128476,0.0019849663441638015,0.0018868695366379806,-0.013622546250852241,-0.0004837397705235169,0.4562583284436572
ad_memoryless,2,0.004859446487811897,0.0007100021308771518,0.0005813716215017357,0.004859446487811897,0.0007100021308771518,0.0005813716215017357,0.3082312409654201,9.00509784133932e-18,0.002961858034481485,0.004301921924827715,0.0007295389573954274,0.0012906865498986083,0.027358764422057563,0.0021533932784388384,0.0005291297860169544,0.004859446487811897,0.0007100021308771518,0.0005813716215017357,0.0014331034216512194,0.001038721746408786,0.00023348184035265181,0.0,0.0,0.0,0.0014331034216512194,0.001038721746408786,0.00023348184035265181,0.0014331034216512194,0.001038721746408786,0.00023348184035265181,0.004859446487811897,0.0005813716215017357,0.0,0.0,0.004859446487811897,0.0005813716215017357,0.0,0.0,0.0,0.0,0.0,0.0,1.0007438069168195,0.0011755475056586424,0.0013517096523815162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005575245629841821,0.00034472364014726225,0.0007093149283968734,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0
ad_memory,2,0.02054429198609061,0.002395156206049743,0.0022395473646986113,0.01908605805845709,0.0021060051173572136,0.0018817569831882737,0.42763540717349174,0.0,0.006661350037289237,0.007966510667578725,0.0012167128051841821,0.0008171847810850234,0.29299843774686707,0.0005126849141496489,0.004665690343924472,0.018268160457536174,0.0022162680936064095,0.0014222823213354604,-0.0016575296067644991,0.00357699182590127,0.004093954360586379,-0.009470737514062216,0.0008293091370506155,0.0025364309447191476,-0.011128267120826714,0.0036950061635779886,0.0015575234158672318,-0.0058967965402862005,0.0036013267889767513,0.0029568772080865806,0.017996072970944327,0.0013294063042776723,0.009470737514062216,0.0025364309447191476,0.02054429198609061,0.0022395473646986113,0.05,0.03535533905932737,0.0,0.010462941161081023,0.0008863375737026046,0.002798707584438692,1.0000344985745862,0.0035220181430986827,0.005764721698318264,0.2529632027836643,0.00338111402882394,0.012269772126729984,0.20800401590665307,0.00338734747848105,0.01475584072417131,-0.0014582339276335177,0.0009263348288296049,0.0003577903815103367,-0.012577781318511885,0.0020807615442340693,0.003056732145783633,-0.0022761315285544344,0.0014807865040304094,0.0008172650433631492,-0.010286221922335526,-0.0014810502828131455,0.25281865449113355
