graph_id,stratum,draw,M_obs,volume_ratio,at_cap_share,lost_share,lost_share_reservoir,covers_truth_2,covers_truth_all,width_2,selection_2,history_2,total_2,mid_error_2,history_reservoir_2,total_reservoir_2,selection_3,history_3,total_3,mid_error_3,history_reservoir_3,total_reservoir_3,selection_4,history_4,total_4,mid_error_4,history_reservoir_4,total_reservoir_4,selection_5,history_5,total_5,mid_error_5,history_reservoir_5,total_reservoir_5,AE2_plugin,ProfileAE_plugin,AE2_midpoint,ProfileAE_midpoint,AE2_median,ProfileAE_median,AE2_extratrees_pooled,ProfileAE_extratrees_pooled,AE2_extratrees_real_only,ProfileAE_extratrees_real_only,AE2_plugin_reservoir,ProfileAE_plugin_reservoir
sp_hospital,real,1,3239,0.9990746452806909,0.6317073170731707,0.3024390243902439,0.17073170731707318,True,True,0.46951219512195125,0.010970256322405225,-0.2634146341463415,-0.25244437782393625,-0.0176882802629606,-0.05609756097560975,-0.045127304653204525,0.005333090644339289,-0.15000000000000002,-0.14466690935566073,0.09130870040043684,-0.09512195121951221,-0.08978886057517292,0.0019068930812222995,-0.0475609756097561,-0.0456540825285338,0.133614210154393,-0.04390243902439024,-0.04199554594316794,0.0005867363326837842,-0.014634146341463415,-0.014047410008779631,0.09083063877170817,-0.014634146341463415,-0.014047410008779631,0.25244437782393625,0.1142031949292276,0.0176882802629606,0.08336045739737466,0.15500095930926444,0.056060465676110977,0.015632653747673197,0.014583764113374413,0.01592591945292915,0.06360367053315534,0.045127304653204525,0.04773978029508126
sp_hospital,real,2,3239,0.9990746452806909,0.6353658536585366,0.2951219512195122,0.16951219512195123,True,True,0.4682926829268293,0.0012141587614296068,-0.2597560975609756,-0.258541938799546,-0.024395597336131336,-0.06951219512195123,-0.06829803636052162,0.006552602839461241,-0.15487804878048783,-0.1483254459410266,0.08886967601019294,-0.08170731707317075,-0.07515471423370951,0.006784941861710102,-0.049999999999999996,-0.043215058138289894,0.13300445405683203,-0.04390243902439024,-0.03711749716268014,0.0018062485278057348,-0.015853658536585366,-0.014047410008779631,0.0902208826741472,-0.014634146341463415,-0.01282789781365768,0.258541938799546,0.11603246322191053,0.024395597336131336,0.08412265251932588,0.15500095930926444,0.056060465676110977,0.009584817491006703,0.01294053356870281,0.015456898652643936,0.06259001747349752,0.06829803636052162,0.04834953639264224
sp_hospital,real,3,3248,1.0018507094386182,0.6390243902439025,0.2939024390243902,0.15121951219512195,True,True,0.4841463414634147,-0.01341998758003382,-0.25365853658536586,-0.2670785241653997,-0.025005353433692312,-0.06341463414634146,-0.07683462172637529,-0.005642519111758282,-0.13658536585365855,-0.14222788496541683,0.09984528576629051,-0.08048780487804878,-0.08613032398980706,-0.005410180089509407,-0.036585365853658534,-0.04199554594316794,0.14093128332512472,-0.03170731707317073,-0.03711749716268014,-0.005510824642925972,-0.00853658536585366,-0.014047410008779631,0.09083063877170817,-0.00853658536585366,-0.014047410008779631,0.2670785241653997,0.11633734127069102,0.025005353433692312,0.08915314032420393,0.15500095930926444,0.056060465676110977,0.0187501817581171,0.018248444050947055,0.021812649990604893,0.061537923846404254,0.07683462172637529,0.053532463221910534
sp_hospital,real,4,3217,0.9922887106724244,0.6182926829268293,0.2841463414634146,0.1548780487804878,True,True,0.4634146341463415,-0.015859011970277725,-0.2426829268292683,-0.258541938799546,-0.02683462172637524,-0.05609756097560975,-0.07195657294588748,-0.010520567892246091,-0.13902439024390242,-0.14954495813614851,0.08582089552238806,-0.09024390243902439,-0.10076447033127048,-0.004190667894387455,-0.04024390243902439,-0.044434570333411846,0.1311751857641491,-0.03780487804878049,-0.04199554594316794,0.0018062485278057348,-0.015853658536585366,-0.014047410008779631,0.08900137047902525,-0.015853658536585366,-0.014047410008779631,0.258541938799546,0.11664221931947151,0.02683462172637524,0.08320801837298442,0.15500095930926444,0.056060465676110977,0.005903040613057908,0.008738699353094029,0.02135426126606893,0.06141334846128171,0.07195657294588748,0.05719099980727638
sp_hospital,real,5,3278,1.0111042566317088,0.6475609756097561,0.2951219512195122,0.18048780487804877,True,True,0.4829268292682927,0.0012141587614296068,-0.25609756097560976,-0.25488340221418015,-0.013419987580033765,-0.07682926829268294,-0.07561510953125333,-0.006862031306880234,-0.13902439024390245,-0.14588642155078269,0.09984528576629051,-0.1,-0.10686203130688024,-0.0029711556992655028,-0.041463414634146344,-0.044434570333411846,0.1366629906421979,-0.03658536585365854,-0.039556521552924044,0.0005867363326837842,-0.014634146341463415,-0.014047410008779631,0.08961112657658622,-0.014634146341463415,-0.014047410008779631,0.25488340221418015,0.11481295102678858,0.013419987580033765,0.0848848476412771,0.15500095930926444,0.056060465676110977,0.02430626703865013,0.019110975052009687,0.014304355207537256,0.06465511704721756,0.07561510953125333,0.05902026809995931
sp_hospital,real,6,3251,1.0027760641579273,0.6378048780487805,0.2951219512195122,0.1573170731707317,True,True,0.4695121951219513,0.010970256322405225,-0.25121951219512195,-0.24024925587271675,-0.005493158311741131,-0.06463414634146342,-0.05366389001905819,0.005333090644339289,-0.14390243902439026,-0.13856934838005097,0.10472333454677832,-0.08536585365853659,-0.0800327630141973,-0.0005321313090216051,-0.04146341463414634,-0.04199554594316794,0.13788250283731984,-0.036585365853658534,-0.03711749716268014,-0.0042913124478040215,-0.00975609756097561,-0.014047410008779631,0.09448917535707403,-0.00853658536585366,-0.01282789781365768,0.24024925587271675,0.10871539005117882,0.005493158311741131,0.08564704276322833,0.15500095930926444,0.056060465676110977,0.044510725503686455,0.030809594998593672,0.0014916721527004628,0.0700403317952227,0.05366389001905819,0.04591051200239833
sp_hospital,real,7,3249,1.002159161011721,0.6317073170731707,0.29634146341463413,0.174390243902439,True,True,0.4682926829268293,0.007311719737039368,-0.25121951219512195,-0.24390779245808258,-0.009761450994667908,-0.07073170731707318,-0.06341998758003381,0.0004550418638514797,-0.1451219512195122,-0.14466690935566073,0.09435748088824172,-0.0951219512195122,-0.09466690935566072,-0.0005321313090216051,-0.04268292682926829,-0.043215058138289894,0.13300445405683203,-0.036585365853658534,-0.03711749716268014,-0.0006327758624381681,-0.013414634146341463,-0.014047410008779631,0.08961112657658622,-0.013414634146341463,-0.014047410008779631,0.24390779245808258,0.11145929249020321,0.009761450994667908,0.08168362812908198,0.15500095930926444,0.056060465676110977,0.020552609769951824,0.01599922633290159,0.011141400268823098,0.06483984353967202,0.06341998758003381,0.052312951026788575
sp_hospital,real,8,3285,1.01326341764343,0.6451219512195122,0.2890243902439024,0.16097560975609757,True,True,0.47439024390243906,0.0012141587614296068,-0.25,-0.2487858412385704,-0.011590719287350837,-0.0548780487804878,-0.05366389001905819,0.007772115034583166,-0.14878048780487804,-0.14100837277029488,0.09862577357116856,-0.09512195121951218,-0.08734983618492902,0.010443478447075959,-0.0524390243902439,-0.04199554594316794,0.14215079552024668,-0.045121951219512194,-0.03467847277243624,0.0005867363326837842,-0.014634146341463415,-0.014047410008779631,0.09997698023512282,-0.014634146341463415,-0.014047410008779631,0.2487858412385704,0.11145929249020321,0.011590719287350837,0.08808606715347223,0.15500095930926444,0.056060465676110977,0.03753540312144077,0.02916655370730909,0.008737164659247065,0.06715373530101809,0.05366389001905819,0.04743490224630077
sp_hospital,real,9,3264,1.0067859346082666,0.6378048780487805,0.2926829268292683,0.15,True,True,0.47439024390243906,0.00853123193216132,-0.2524390243902439,-0.24390779245808258,-0.006712670506863028,-0.05975609756097561,-0.05122486562881429,0.001674554058973432,-0.14634146341463417,-0.14466690935566073,0.10106479796141246,-0.07439024390243903,-0.0727156898434656,-0.0029711556992655028,-0.04024390243902439,-0.043215058138289894,0.14519957600805156,-0.03536585365853659,-0.03833700935780209,0.0005867363326837842,-0.014634146341463415,-0.014047410008779631,0.09692819974731794,-0.014634146341463415,-0.014047410008779631,0.24390779245808258,0.11145929249020321,0.006712670506863028,0.08747631105591125,0.15500095930926444,0.056060465676110977,0.03854785508798736,0.028459580986962364,0.0074300260895321935,0.06730383098874927,0.05122486562881429,0.044081243709715404
sp_hospital,real,10,3266,1.0074028377544726,0.6426829268292683,0.2914634146341463,0.18048780487804877,True,True,0.46463414634146344,-5.353433692345533e-06,-0.24634146341463414,-0.2463468168483265,-0.014029743677594742,-0.07926829268292684,-0.07927364611661919,0.0028940662540953843,-0.14634146341463417,-0.14344739716053878,0.09923552966872953,-0.08658536585365854,-0.08369129959956316,0.004345917471466204,-0.04878048780487805,-0.044434570333411846,0.1391020150324418,-0.04024390243902439,-0.03589798496755819,0.004245272918049636,-0.018292682926829267,-0.014047410008779631,0.09631844364975696,-0.018292682926829267,-0.014047410008779631,0.2463468168483265,0.11206904858776419,0.014029743677594742,0.08717143300713076,0.15500095930926444,0.056060465676110977,0.028732152057132587,0.022257396888630994,0.009750809102713809,0.06588593298763167,0.07927364611661919,0.053227585173130046
