stratum,arm,method,sources,sources_with_valid,MAE_2,ProfileMAE,signed_rho_2,validity,fallback_rate,old_rule_MAE_2,old_rule_ProfileMAE,old_rule_signed_rho_2,old_rule_fallback_rate,ET_profile_validity,draw_clustered_MCSE_2,skill_vs_plugin,not_correctable_at_this_budget_sources,ET_in_distribution
synthetic,R,et,8,8,0.022606738860664166,0.016717373671433777,-0.0033845824915283602,1.0,,,,,,0.875,0.00254203814238336,0.03742207655658614,,True
synthetic,R,qwen_thinking,8,8,0.02347762434472183,0.017345093808630106,-0.00330430335178429,1.0,,,,,,,0.002708693596416432,0.0003404282052674734,,False
synthetic,R,qwen_nonthinking,8,8,0.21936482124024875,0.1734179391724536,0.18265151853256278,1.0,,,,,,,0.022261629462504554,-8.340388961336936,,False
synthetic,S,plugin,8,8,0.12709606217280484,0.10829960612555295,0.12709606217280484,1.0,,,,,,,0.003983412238144417,0.0,,False
synthetic,S,median,8,8,0.29873223477483635,0.21192999081079672,-0.1506171921058752,1.0,,,,,,,6.938893903907228e-18,-1.3504444564825948,,False
synthetic,S,design,8,8,0.028373860860955558,0.020691261344427135,0.007557787050424437,1.0,,,,,,,0.004457391661712916,0.7767526359520303,,False
synthetic,S,mle,8,8,0.0250044367543604,0.02007594717098379,0.008520933939639735,1.0,0.0,0.025019354778804202,0.020075948253454295,0.008535851964083541,0.041666666666666664,,0.004423800290563965,0.8032634817563161,,False
synthetic,S,et,8,8,0.018445007297479887,0.01686894434836487,0.0034705307418008324,1.0,,,,,,0.8333333333333334,0.003522583182947499,0.8548734950387264,,True
synthetic,S,qwen_thinking,8,8,0.0786440573156772,0.0627250101899279,0.06140536698610512,1.0,,,,,,,0.008421531907555619,0.3812234937007756,,False
synthetic,S,qwen_nonthinking,8,8,0.28065350832003244,0.25444417394670277,0.27504318519922943,1.0,,,,,,,0.02220633584023403,-1.2081998727737515,,False
synthetic,S_obs,plugin,8,8,0.12709606217280484,0.10829960612555295,0.12709606217280484,1.0,,,,,,,0.003983412238144417,0.0,,False
synthetic,S_obs,median,8,8,0.29873223477483635,0.21192999081079672,-0.1506171921058752,1.0,,,,,,,6.938893903907228e-18,-1.3504444564825948,,False
synthetic,S_obs,design,8,8,0.03580721708438349,0.024280509191725197,-0.013302093107248664,1.0,,,,,,,0.0050400420590218315,0.7182665106044074,,False
synthetic,S_obs,mle,8,8,0.029089498025260174,0.02248149182481975,-0.01135690799147977,1.0,0.0,0.029089498025260174,0.02248149182481975,-0.01135690799147977,0.0,,0.005035888428910123,0.7711219566684219,,False
synthetic,S_obs,et,8,8,0.01943625041433259,0.01595692270473797,0.004273719291097175,1.0,,,,,,1.0,0.003852599060853007,0.8470743303761348,,True
synthetic,S_obs,qwen_thinking,8,8,0.0688976143318776,0.05255605684416216,0.0337297169753667,1.0,,,,,,,0.0049168333417721494,0.457909134602442,,False
synthetic,S_obs,qwen_nonthinking,8,8,0.27800661897604617,0.2404455219074894,0.26280270900875724,1.0,,,,,,,0.03159298883521807,-1.18737397700062,,False
synthetic,H,plugin,8,8,0.09476001628557325,0.12143025378551378,-0.09018390838576593,1.0,,,,,,,0.005104996047515969,0.0,,False
synthetic,H,median,8,8,0.29873223477483635,0.21192999081079672,-0.1506171921058752,1.0,,,,,,,6.938893903907228e-18,-2.152513544051774,,False
synthetic,H,mle,8,8,0.037488315038612705,0.044175865843575926,0.021725851507338828,1.0,0.0,0.037436999177682326,0.04416893235202968,0.021777167368269214,0.041666666666666664,,0.006141222097835992,0.6043867813864008,,False
synthetic,H,et,8,8,0.029274926738680797,0.0190666388031277,-0.013419780128557865,1.0,,,,,,1.0,0.004148635858548217,0.6910624555988203,,True
synthetic,H,qwen_thinking,8,8,0.16305284128218406,0.1348149344821762,0.042624795926742697,1.0,,,,,,,0.006465451131409581,-0.7206924151511365,,False
synthetic,H,qwen_nonthinking,8,8,0.2435246493034728,0.1821875859097162,-0.08264431480077053,1.0,,,,,,,0.022306952099657076,-1.569909323037424,,False
synthetic,B,plugin,8,8,0.4254548529788339,0.2543272105582569,-0.4254548529788339,1.0,,,,,,,0.002824613942411471,0.0,,False
synthetic,B,median,8,8,0.29873223477483635,0.21192999081079672,-0.1506171921058752,1.0,,,,,,,6.938893903907228e-18,0.29785209245292577,,False
synthetic,B,mle,8,8,0.07539139125174263,0.0629796773697444,-0.020634874196259517,1.0,0.0,0.07539139125174263,0.0629796773697444,-0.020634874196259517,0.0,,0.013358138249143154,0.8227981400990312,,False
synthetic,B,et,8,8,0.0364539361411566,0.044284385022434425,-0.01896864128325483,1.0,,,,,,1.0,0.007467717086515906,0.9143177333953924,,True
synthetic,B,qwen_thinking,8,8,0.33030821404692307,0.2517852546623235,-0.12909831162692958,1.0,,,,,,,0.019552925454493213,0.22363510080032933,,False
synthetic,B,qwen_nonthinking,8,8,0.3381753572799968,0.3082919318973413,0.16362096297700723,1.0,,,,,,,0.03207183411321648,0.2051439655412256,,False
