h,evidence_block,sources,budget_matched_sources,undefined_sources,node_share,expected_coverage,realized_coverage,node_selection_abs_rho2,node_selection_profile_abs,dyad_disappearance_abs_rho2,dyad_disappearance_profile_abs,within_dyad_history_abs_rho2,within_dyad_history_profile_abs,net_history_abs_rho2,net_history_profile_abs,total_abs_rho2,total_profile_abs,median_AE2,median_ProfileAE,plugin_AE2,plugin_ProfileAE,homogeneous_AE2,homogeneous_ProfileAE,extratrees_pooled_AE2,extratrees_pooled_ProfileAE,extratrees_real_only_AE2,extratrees_real_only_ProfileAE,history_share_abs_rho2,history_minus_selection_abs_rho2,history_minus_selection_abs_rho2_MCSE,history_share_profile_abs,history_minus_selection_profile_abs,history_minus_selection_profile_abs_MCSE
0.4,real,8,7,0,0.5877770846090583,0.09814986334789358,0.09631800970372648,0.011419270896633782,0.007239501469231732,0.14957331838099214,0.08587897395668369,0.29588983024232224,0.17565756117774034,0.14631651186133013,0.08977858722105667,0.14534460392570628,0.09080805724193777,0.2396987696760392,0.11015221734076833,0.14534460392570628,0.09080805724193777,0.18387489876309984,0.07880752748668637,0.09100740885749664,0.04976491695907637,0.09340564827374401,0.052684217480063036,0.927605070346302,0.13489724096469632,0.005236946035205492,0.9253798794950244,0.08253908575182493,0.0034175392197267293
0.4,surrogate,8,8,0,0.5576572124162907,0.09979939430888568,0.09672045912131486,0.007629019185997746,0.00677296182604463,0.16922779701943266,0.138785654557476,0.3693219554226445,0.39070330909613077,0.20009415840321185,0.2519176545386548,0.20045025643898176,0.2524039157358809,0.31534505550048775,0.24773810042408972,0.20045025643898176,0.2524039157358809,0.16908198761953086,0.1436682199993305,0.08878593850082281,0.08445499195079904,0.1723321679166201,0.14210019728523443,0.9632731442175182,0.19246513921721414,0.004069302256455409,0.9738182933682596,0.24514469271261013,0.0023332595239478593
0.4,dar_a0,2,2,0,0.498,0.09991659897487085,0.09985107863576376,0.011896403121267902,0.0052524996573534094,0.14842310024857008,0.05437528662801504,0.42920474329883096,0.14844861982684765,0.2807816430502609,0.09407333319883263,0.2775879754740596,0.09345747182477271,0.03677670046381365,0.03508417697610491,0.2775879754740596,0.09345747182477271,0.02342213410210426,0.009268499117802743,0.058795678014967934,0.028722575997226225,0.09886299889048922,0.041385434539862584,0.9593532781946488,0.268885239928993,0.002895585176809982,0.9471184936857412,0.08882083354147921,0.0011073180187876994
0.4,dar_a08,2,2,0,0.4984949899799599,0.10031530681645108,0.10373195911150314,0.017378109694595762,0.014624359703406652,0.06935869954089803,0.11584259445000088,0.11443308207432284,0.4667649201298417,0.04507438253342481,0.35092232567984083,0.04718143810747842,0.34653687949080725,0.4269605880843146,0.39153118716860696,0.04718143810747842,0.34653687949080725,0.21613485903906382,0.2782964558492599,0.015413516546824529,0.01674120571583752,0.25740982053308226,0.21116822658857298,0.7217387317203215,0.027696272838829045,0.00852039657794365,0.959993182025234,0.3362979659764342,0.0035236505918929913
0.4,ad_memoryless,2,2,0,0.504,0.10010786430405422,0.10342800405554521,0.010699567028087002,0.003186303090920089,0.045036124190812474,0.012654176965124955,0.08945120310515495,0.02487960424943936,0.044415078914342467,0.012225427284314402,0.03872928559141996,0.010712242318571057,0.29623008533792233,0.12297808023017381,0.03872928559141996,0.010712242318571057,0.02038251755420964,0.0056099461605408,0.04478723223750706,0.015803011769010757,0.02303338140104896,0.009074691519189658,0.8058670822404749,0.03371551188625546,0.004055370265018947,0.7932546824177354,0.009039124193394314,0.0012394528344867402
0.4,ad_memory,2,2,0,0.468,0.09977769059108359,0.0999535409706641,0.015967055583873402,0.019893383457934538,0.021605584897597542,0.030073345279453143,0.38210530597356995,0.3589291916787972,0.3604997210759724,0.32885584639934407,0.36724707496258835,0.3311483761220339,0.434961565213295,0.2981265188683012,0.36724707496258835,0.3311483761220339,0.12667739434452435,0.08663525347893494,0.12782808126501213,0.08786305712613621,0.2762651152942056,0.1474090983809651,0.9575870791958347,0.34453266549209893,0.008524658973790851,0.9429579142982604,0.30896246294140955,0.009238583743729442
0.6,real,8,8,0,0.468770493791287,0.09992156262998508,0.09822725249383703,0.01066101973147342,0.007631329789249854,0.10923693563967335,0.05142891883932615,0.17587640094901827,0.10875679298737562,0.07284190540159396,0.059104781488113406,0.06988919598543616,0.059810482339117885,0.2396987696760392,0.11015221734076833,0.06988919598543616,0.059810482339117885,0.1257368431534599,0.052008621923614384,0.048246290930893304,0.028475615826628914,0.05961816648536499,0.03785192161107771,0.8723275895486968,0.06218088567012055,0.006727971960369757,0.8856491688954855,0.05147345169886355,0.0028033249403863003
0.6,surrogate,8,8,0,0.444000756839096,0.09989802162025353,0.09883722814468174,0.008085900526501672,0.007441385317684333,0.12289468460712247,0.08171001845709981,0.22893845813566557,0.25860217008596553,0.10604377352854312,0.1768921516288657,0.1053023847491722,0.17605748946158187,0.31534505550048775,0.24773810042408972,0.1053023847491722,0.17605748946158187,0.12478423643617123,0.10393192473308369,0.07767034040501637,0.08077308292491056,0.16159433866727305,0.12635149663805795,0.9291516374382894,0.09795787300204145,0.0034719850343637873,0.9596308656528297,0.1694507663111814,0.0018260744383324812
0.6,dar_a0,2,2,0,0.407,0.10026868948371344,0.10015514877501669,0.006799098113795097,0.006222847347855818,0.09556651516759862,0.032652165218223235,0.2674124479040938,0.09505675749912174,0.17184593273649512,0.06240459228089849,0.16930231448324645,0.06214182376276732,0.03677670046381365,0.03508417697610491,0.16930231448324645,0.06214182376276732,0.01744243917007718,0.007065141008937842,0.03936110756443203,0.01594648550540735,0.0882097829961922,0.035146154905238286,0.9619407375540553,0.16504683462270003,0.006077659943274206,0.9093242093611706,0.05618174493304268,0.0022698000048192927
0.6,dar_a08,2,2,0,0.40640480961923847,0.0998506109163081,0.10451030987322324,0.0208166901703787,0.021492119175415537,0.07834119767481279,0.08800467889330016,0.10578546754563706,0.2999499068251116,0.030034097024678706,0.212592684720275,0.048384212736781715,0.21054664963517417,0.4269605880843146,0.39153118716860696,0.048384212736781715,0.21054664963517417,0.20371930058004697,0.19476852892732865,0.016805437744669527,0.02405076776045652,0.23195242817567335,0.1797938586186968,0.5906318993543124,0.009217406854300003,0.018767036136623023,0.9081866109301459,0.1911005655448595,0.007811730198089742
