evidence_block,W,metric,sources,mean_absolute_change,max_absolute_change,spearman
real,4,rho_2,8,0.016729685199910874,0.036292330677290874,0.9523809523809524
real,4,rho_3,8,0.014664476918290864,0.05216633466135459,1.0
real,4,rho_4,8,0.022855445382360798,0.11423057768924302,0.8095238095238096
real,4,mean_occupancy,8,0.05774115363916252,0.07357330992098338,0.9523809523809524
real,4,C_one_step,8,0.03489783357125203,0.09173887473946973,0.7380952380952381
real,8,rho_2,8,0.020201219300831023,0.03266367972250324,0.9761904761904763
real,8,rho_3,8,0.025292463551642774,0.0489915338645418,1.0
real,8,rho_4,8,0.031893755126868345,0.08024153386454183,0.9761904761904763
real,8,rho_5,8,0.0363106940703945,0.12400398406374502,0.8263621207201486
real,8,mean_occupancy,8,0.0939038292372478,0.12172138191818493,1.0
real,8,C_one_step,8,0.051018308464896876,0.13094605630318495,0.9047619047619048
surrogate,4,rho_2,8,0.01702367186371908,0.0830322300910536,1.0
surrogate,4,rho_3,8,0.02205284857697836,0.0671339788986848,0.9761904761904763
surrogate,4,rho_4,8,0.055002345039292674,0.2414716135458167,0.9761904761904763
surrogate,4,mean_occupancy,8,0.057673904428134574,0.11909218530650445,0.9761904761904763
surrogate,4,C_one_step,8,0.04634477751672296,0.2182935782579079,0.9761904761904763
surrogate,8,rho_2,8,0.014524000738495493,0.03750541985836109,1.0
surrogate,8,rho_3,8,0.030775052423111845,0.07175892470010115,1.0
surrogate,8,rho_4,8,0.04686557188848265,0.08671563745019922,1.0
surrogate,8,rho_5,8,0.11233241849828222,0.3079082826392138,0.8571428571428572
surrogate,8,mean_occupancy,8,0.09713764948490791,0.12667583361980062,0.9761904761904763
surrogate,8,C_one_step,8,0.048973651593045425,0.12254798734029393,1.0
dar_a0,4,rho_2,2,0.09669878045152233,0.09939577039274922,0.9999999999999999
dar_a0,4,rho_3,2,0.06067048570071071,0.0637462235649547,0.9999999999999999
dar_a0,4,rho_4,2,0.012167265757347088,0.013293051359516616,-0.9999999999999999
dar_a0,4,mean_occupancy,2,0.11668426974497395,0.11873111782477336,0.9999999999999999
dar_a0,4,C_one_step,2,0.2053911566451831,0.20847508016508368,0.9999999999999999
dar_a0,8,rho_2,2,0.23119233921244597,0.2318710832587288,0.9999999999999999
dar_a0,8,rho_3,2,0.19128645369872005,0.19516616314199398,0.9999999999999999
dar_a0,8,rho_4,2,0.09700643988672723,0.10090634441087613,-0.9999999999999999
dar_a0,8,rho_5,2,0.02838535820573919,0.030211480362537766,0.9999999999999999
dar_a0,8,mean_occupancy,2,0.04227166823989953,0.042964786630856455,0.9999999999999999
dar_a0,8,C_one_step,2,0.19362985428079854,0.1958447941266304,0.9999999999999999
dar_a08,4,rho_2,2,0.00816967651599465,0.01055900621118011,0.9999999999999999
dar_a08,4,rho_3,2,0.046628729400782665,0.052795031055900554,0.9999999999999999
dar_a08,4,rho_4,2,0.09478512188992211,0.09826589595375723,0.9999999999999999
dar_a08,4,mean_occupancy,2,0.041545405043143135,0.04200385356454717,0.9999999999999999
dar_a08,4,C_one_step,2,0.03132406138222493,0.035633410352871264,0.9999999999999999
dar_a08,8,rho_2,2,0.07612385659633714,0.07771355170199101,0.9999999999999999
dar_a08,8,rho_3,2,0.09812727134918642,0.10248447204968947,-0.9999999999999999
dar_a08,8,rho_4,2,0.11466748046290648,0.11753371868978812,0.9999999999999999
dar_a08,8,rho_5,2,0.12166892056311507,0.12780989081567112,0.9999999999999999
dar_a08,8,mean_occupancy,2,0.12815636755665658,0.12964285714285712,0.9999999999999999
dar_a08,8,C_one_step,2,0.1853677914899171,0.19018237353233025,0.9999999999999999
ad_memoryless,4,rho_2,2,0.004428960280208685,0.0050261359067149125,0.9999999999999999
ad_memoryless,4,rho_3,2,0.0009360534151088868,0.0011057498994772813,0.9999999999999999
ad_memoryless,4,rho_4,2,0.00015078407720144752,0.00030156815440289503,0.9999999999999999
ad_memoryless,4,mean_occupancy,2,0.05181519531412951,0.05193003618817854,0.9999999999999999
ad_memoryless,4,C_one_step,2,0.006838910471726217,0.008534094923226675,0.9999999999999999
ad_memoryless,8,rho_2,2,0.004615821411102075,0.004825090470446318,0.9999999999999999
ad_memoryless,8,rho_3,2,0.0011418269531692212,0.0017088862082830728,0.9999999999999999
ad_memoryless,8,rho_4,2,0.00034946546257417577,0.00060313630880579,0.9999999999999999
ad_memoryless,8,rho_5,2,0.00015078407720144752,0.00030156815440289503,
ad_memoryless,8,mean_occupancy,2,0.07888960917009855,0.07913902291917974,0.9999999999999999
ad_memoryless,8,C_one_step,2,0.010057203490098355,0.011192099628918064,0.9999999999999999
ad_memory,4,rho_2,2,0.026704664950065127,0.03121998078770416,0.9999999999999999
ad_memory,4,rho_3,2,0.05648940765877147,0.05966469428007892,-0.9999999999999999
ad_memory,4,rho_4,2,0.09569130160462459,0.10108481262327418,0.9999999999999999
ad_memory,4,mean_occupancy,2,0.06410380750188993,0.06472142170989426,0.9999999999999999
ad_memory,4,C_one_step,2,0.058107859753450175,0.058334466773728555,0.9999999999999999
ad_memory,8,rho_2,2,0.02994816090581992,0.03155818540433919,0.9999999999999999
ad_memory,8,rho_3,2,0.07679021082368453,0.08405379442843419,-0.9999999999999999
ad_memory,8,rho_4,2,0.13728194328393842,0.14151873767258383,-0.9999999999999999
ad_memory,8,rho_5,2,0.1508456536443679,0.15129682997118155,0.9999999999999999
ad_memory,8,mean_occupancy,2,0.1307859811344349,0.13134861932938852,0.9999999999999999
ad_memory,8,C_one_step,2,0.13423237398104926,0.13508290259882616,0.9999999999999999
