dataset,n_edges_full,empirical_rho_2,p_m_ge_2,rho_2_upper_bound,rho_3_upper_bound,rho_4_upper_bound,rho_5_upper_bound,target_0_15_count_feasible,target_0_15_margin,target_0_55_count_feasible,target_0_55_margin,p_distinct_timestamps_ge_2
sp_hospital,1139,0.44512730465320455,0.8568920105355575,0.8568920105355575,0.7682177348551361,0.6953467954345918,0.6338893766461808,True,0.7068920105355575,True,0.3068920105355575,0.8568920105355575
sp_primaryschool,8317,0.42154623061199953,0.6568474209450523,0.6568474209450523,0.5332451605146087,0.46867861007574846,0.42106528796441023,True,0.5068474209450523,True,0.10684742094505228,0.6568474209450523
sp_highschool2013,5818,0.4855620488140254,0.6928497765555174,0.6928497765555174,0.5735647988999656,0.49759367480233757,0.4444826400825026,True,0.5428497765555174,True,0.14284977655551734,0.6928497765555174
sp_workplace,4274,0.2901263453439401,0.6689284043051006,0.6689284043051006,0.5287786616752457,0.44829199812821713,0.39962564342536266,True,0.5189284043051006,True,0.11892840430510054,0.6689284043051006
sp_hypertext2009,2196,0.2750455373406193,0.6010928961748634,0.6010928961748634,0.4262295081967213,0.33970856102003644,0.2827868852459016,True,0.45109289617486337,True,0.051092896174863345,0.6010928961748634
snap_collegemsg,13838,0.10304957363780894,0.6219829455123573,0.6219829455123573,0.42195403960109845,0.30965457436045674,0.24237606590547767,True,0.4719829455123573,True,0.07198294551235729,0.6214770920653273
snap_email_eu,16064,0.5057270916334662,0.7359935258964143,0.7359935258964143,0.5897036852589641,0.4986304780876494,0.4399277888446215,True,0.5859935258964143,True,0.18599352589641427,0.732445219123506
snap_mathoverflow,187986,0.08438394348515314,0.3963273860819423,0.3963273860819423,0.19474322555935017,0.11365208047407786,0.0740906237698552,True,0.2463273860819423,False,-0.15367261391805775,0.3962582319959997
snap_bitcoin_otc,21492,0.024799925553694396,0.6560580681183696,0.6560580681183696,0.0,0.0,0.0,True,0.5060580681183696,True,0.1060580681183696,0.6560580681183696
nr_radoslaw_email,3250,0.5510769230769231,0.8513846153846154,0.8513846153846154,0.6061538461538462,0.5627692307692308,0.48307692307692307,True,0.7013846153846154,True,0.30138461538461536,0.8510769230769231
nr_enron_employees,1526,0.41284403669724773,0.8722149410222805,0.8722149410222805,0.7398427260812582,0.6939711664482306,0.6290956749672346,True,0.7222149410222805,True,0.32221494102228043,0.6959370904325033
nr_digg_reply,85155,0.0030649991192531266,0.01007574423110798,0.01007574423110798,0.0011038694145969114,0.0004110152075626798,0.00017614937466971993,False,-0.139924255768892,False,-0.539924255768892,0.01007574423110798
jodie_wikipedia,18257,0.2276387139179493,0.4829928246699896,0.4829928246699896,0.32431396176808897,0.2504244947143561,0.20835843785945116,True,0.3329928246699896,False,-0.06700717533001044,0.4829928246699896
jodie_reddit,78516,0.4188445667125172,0.5407942330225687,0.5407942330225687,0.3849279127821081,0.309987773192725,0.2638825207600998,True,0.39079423302256866,False,-0.009205766977431362,0.5407942330225687
jodie_lastfm,154993,0.42136096468872786,0.6818695037840419,0.6818695037840419,0.5321337092642894,0.4388456252863033,0.37162968650197103,True,0.5318695037840419,True,0.13186950378404183,0.6818695037840419
jodie_mooc,178443,0.14028569347074415,0.5397465857444674,0.5397465857444674,0.29283300549755387,0.1670897709632768,0.0981601968135483,True,0.3897465857444674,False,-0.010253414255532611,0.5397297736532114
copenhagen_bluetooth,79530,0.44692568841946434,0.7412297246322143,0.7412297246322143,0.6266063120834905,0.5567333081855903,0.5068401860932982,True,0.5912297246322142,True,0.19122972463221422,0.7412297246322143
