graph_id,stratum,draws,deterministic,selection_2,selection_2_mcse,history_2,history_2_mcse,total_2,total_2_mcse,mid_error_2,mid_error_2_mcse,history_reservoir_2,history_reservoir_2_mcse,total_reservoir_2,total_reservoir_2_mcse,volume_ratio,volume_ratio_mcse,at_cap_share,at_cap_share_mcse,lost_share,lost_share_mcse,lost_share_reservoir,lost_share_reservoir_mcse,width_2,width_2_mcse,covers_truth_2,covers_truth_2_mcse,covers_truth_all,covers_truth_all_mcse,AE2_plugin,AE2_plugin_mcse,AE2_midpoint,AE2_midpoint_mcse,AE2_median,AE2_median_mcse,AE2_extratrees_pooled,AE2_extratrees_pooled_mcse,AE2_extratrees_real_only,AE2_extratrees_real_only_mcse,AE2_plugin_reservoir,AE2_plugin_reservoir_mcse,ProfileAE_plugin,ProfileAE_plugin_mcse,ProfileAE_midpoint,ProfileAE_midpoint_mcse,ProfileAE_extratrees_pooled,ProfileAE_extratrees_pooled_mcse,abs_selection_2,abs_history_2,abs_total_2,abs_mid_error_2,selection_2_z,selection_sd_empirical,selection_sd_analytic,selection_sd_ratio,expected_history_2,expected_midpoint_bias_2,paired_midpoint_minus_plugin,paired_midpoint_minus_plugin_mcse,paired_extratrees_pooled_minus_plugin,paired_extratrees_pooled_minus_plugin_mcse,paired_plugin_reservoir_minus_plugin,paired_plugin_reservoir_minus_plugin_mcse,paired_midpoint_minus_extratrees_pooled,paired_midpoint_minus_extratrees_pooled_mcse,weak_history_rho2
sp_hospital,real,20,False,0.0013470543211544228,0.007208632642934534,-0.2596153846153846,0.00605457206018162,-0.2582683302942302,0.00546852793207336,-0.022050381576281475,0.006355195374878788,-0.06762820512820514,0.003876259814809679,-0.06628115080705069,0.007395593223535045,0.9918463966333508,0.004849463883557527,0.6304487179487179,0.009556443279407419,0.2964743589743589,0.007292153258964035,0.1637820512820513,0.005854354022384744,0.4724358974358974,0.00741311835053374,1.0,0.0,1.0,0.0,0.2582683302942302,0.00546852793207336,0.029294421557371515,0.004562073917138972,0.1550009593092644,6.367565748859375e-18,0.030962655715969088,0.005331444804038091,0.05093012919145571,0.0036973404306518253,0.06728124085455074,0.0069039529668874266,0.11508851387857096,0.0014773767376030204,0.08713069972535513,0.0019683218411786973,0.026097702855660977,0.0038712726836786135,0.027525550978140974,0.2596153846153846,0.2582683302942302,0.029294421557371515,0.18686682868695273,0.03223798522885118,0.03698129571132322,0.8717375800053513,-0.2528533801580334,-0.017120280948200173,-0.22897390873685866,0.0034808578762462144,-0.22730567457826112,0.009649028431695723,-0.1909870894396794,0.005450052507427777,-0.0016682341585975758,0.007971383157349956,False
sp_highschool2013,real,20,False,-0.0015767187406757921,0.00381146193204826,-0.18612469437652815,0.0032184159534067434,-0.18770141311720392,0.0031196294731529184,-0.06474909037881761,0.002897185288599213,-0.06479217603911983,0.002428849065522695,-0.0663688947797956,0.0041408374412847,0.9975097829953752,0.0029940890775043815,0.44486552567237164,0.0040709133403031015,0.2759779951100244,0.004008582191146218,0.22383863080684593,0.003320690607110623,0.24590464547677265,0.003995216773681735,1.0,0.0,1.0,0.0,0.18770141311720392,0.0031196294731529184,0.06474909037881761,0.002897185288599213,0.19543570347008538,1.273513149771875e-17,0.02747114186912399,0.0025521131307450684,0.012147157089715787,0.001609439715971219,0.0663688947797956,0.0041408374412847,0.14036843755279332,0.0010288978480274835,0.037984913294967726,0.0007669375169119927,0.04642840899456706,0.0015546367844525208,0.013936430317848409,0.18612469437652815,0.18770141311720392,0.06474909037881761,-0.4136782076762004,0.01704537594742519,0.016201218753318883,1.052104548858917,-0.18322447576486767,-0.06067377105534549,-0.12295232273838633,0.001997608386840867,-0.16023027124807993,0.002629588578300385,-0.1213325183374083,0.003454178627590137,0.03727794850969361,0.0015981351400304253,False
copenhagen_bluetooth,real,20,False,-0.0003377278590076693,0.0011839916141990153,-0.23189327106037022,0.0009913025367363085,-0.23223099891937787,0.000840713195275769,-0.05103829869450325,0.0007779408791652447,-0.05142708873897249,0.0004582822361801595,-0.05176481659798016,0.0009530520507144622,0.9994497355962235,0.00075835701890472,0.5075116761805916,0.0011724430285495631,0.2802153606642449,0.0008966679799178332,0.19621605258605776,0.000632941121447969,0.3623854004497492,0.0011839986804568648,1.0,0.0,1.0,0.0,0.23223099891937787,0.000840713195275769,0.05103829869450325,0.0007779408791652447,0.15679934307552426,6.367565748859375e-18,0.004993970995417635,0.0005209361151751411,0.007605029345499078,0.00041562609397498366,0.05176481659798016,0.0009530520507144622,0.1419335143820751,0.0002369062200814712,0.05145127239814658,0.00028129297718028676,0.011878464049724244,0.0005039027483139812,0.004265223927470618,0.23189327106037022,0.23223099891937787,0.05103829869450325,-0.28524514443976556,0.005294971468277407,0.00427447129186923,1.238743017960921,-0.23208852005532501,-0.051313969571230966,-0.1811927002248746,0.0005919993402284338,-0.22723702792396022,0.001077247841252882,-0.1804661823213977,0.0008936375619626674,0.046044327699085605,0.0011869944454127308,False
snap_email_eu,real,20,False,-0.0017513503935740137,0.0023727240980901177,-0.13198562443845463,0.001125027884403848,-0.1337369748320286,0.0023561475187253733,-0.05131334500273842,0.0022646352069001737,-0.029290206648697213,0.0009169611426331156,-0.031041557042271222,0.0023190696773775837,0.9979774092167905,0.0023024426233046232,0.4377133872416891,0.0023704847385224593,0.29018418688230013,0.0018881641515571892,0.21480233602875112,0.0017457583449196213,0.1648472596585804,0.001264546528058979,1.0,0.0,1.0,0.0,0.1337369748320286,0.0023561475187253733,0.05131334500273842,0.0022646352069001737,0.2156007462895261,6.367565748859375e-18,0.0521975049530994,0.002135445574672693,0.05968621852633095,0.00044361195733914844,0.031041557042271222,0.0023190696773775837,0.13994240076978698,0.0008310152581439891,0.044510572378052934,0.0010610108899978888,0.06435322323769664,0.0012691914113378555,0.009029515361733664,0.13198562443845463,0.1337369748320286,0.05131334500273842,-0.7381180116911747,0.010611144750362764,0.009835631893999811,1.0788472835015361,-0.13215886454183273,-0.04976967131474108,-0.0824236298292902,0.0006322732640294894,-0.08153946987892922,0.001205382167175739,-0.1026954177897574,0.0014587533763341825,-0.0008841599503609798,0.001012064303838468,False
snap_collegemsg,real,20,False,-0.003224521153554213,0.0014307917171430223,-0.02207837648705388,0.0007469556986024598,-0.025302897640608096,0.0015178730125368861,0.01768170697800632,0.0016994950856776619,-0.013435969209237227,0.0006062485787652859,-0.016660490362791443,0.0014479817095560971,0.9976442493868595,0.0014753903401639097,0.24002799160251925,0.0024156231444140033,0.028236529041287622,0.0008544666068197078,0.01952414275717285,0.0007697690692792163,0.08596920923722881,0.0010579700786277591,1.0,0.0,1.0,0.0,0.025302897640608096,0.0015178730125368861,0.01768170697800632,0.0016994950856776619,0.31579499307470826,0.0,0.11180954663492285,0.0035258187202447493,0.058119158768771294,0.002338687334248375,0.016660490362791443,0.0014479817095560971,0.00949249568965125,0.00039992473636283276,0.011116321665142311,0.0005551546770200677,0.050252933738360796,0.0014515657123126266,0.005827398333470042,0.02207837648705388,0.025302897640608096,0.01768170697800632,-2.2536621612493506,0.006398695082350898,0.00761620503913758,0.8401421770382712,-0.023269258563376208,0.020414799826564523,-0.007621190662601779,0.0031787763188124364,0.08650664899431473,0.004919537111220818,-0.008642407277816655,0.000960946530444222,-0.09412783965691651,0.0019257302367868176,False
snap_mathoverflow,real,20,False,-0.00036560728678881676,0.0003595900626004519,-0.008277335000260457,0.00014825011347556442,-0.008642942287049274,0.0003097950478408205,0.007106914461401007,0.00033283074179987727,-0.0035656613012449837,9.151969973842889e-05,-0.0039312685880338,0.0003745227403254144,0.9991829478092938,0.0003592183311431445,0.07397510027608481,0.0003897417737436741,0.016260353180184404,0.00023164681113063454,0.011092879095692034,0.00014005551474789179,0.03149971349690056,0.0002520444308640011,1.0,0.0,1.0,0.0,0.008642942287049274,0.0003097950478408205,0.007106914461401007,0.00033283074179987727,0.33446062322736403,0.0,0.03186728528518328,0.0003854129166592479,0.04748496945023415,0.00022659555954724858,0.003942111099444517,0.00036847560572644296,0.005981410846834548,9.7620205875864e-05,0.009111442203121175,0.00016294588602854327,0.010423599611560419,7.509517876972072e-05,0.0011972554366253573,0.008277335000260457,0.008642942287049274,0.007106914461401007,-1.016733566397386,0.0016081356480160307,0.0019009924757546256,0.8459452988511481,-0.008096347600353215,0.007551094230421426,-0.0015360278256482652,0.0006305687511486089,0.02322434299813401,0.0006662057637834332,-0.0047008311876047554,0.00013486112794634277,-0.02476037082378228,0.00016999844078820212,True
dar_a0_r1,synthetic,20,False,-0.0011872643485546786,0.006246287834213295,-0.005428571428571435,0.0007150371986748083,-0.006615835777126114,0.00615377592292404,0.0011698785085881651,0.006217396162188317,-0.001999999999999999,0.000468101726805214,-0.0031872643485546777,0.00627819098644654,1.0002961500493583,0.004748942655871596,0.17471428571428568,0.004015410700469867,0.03114285714285715,0.001259123525138604,0.014571428571428574,0.0014932716983853643,0.01557142857142858,0.0012518514752175257,0.15,0.08191780219091253,0.15,0.08191780219091253,0.023061583577712617,0.003490157966563078,0.023152702136573108,0.0032426863880549916,0.036130379748897434,0.0,0.019918310533355903,0.0031234494942212134,0.024803800133050922,0.0029439392783612334,0.023795559279430244,0.003185724504809758,0.013633745286971097,0.0009642392006527903,0.021419826141600335,0.001610430041423781,0.01580320324852564,0.0010555175231933452,0.023795559279430244,0.005428571428571435,0.023061583577712617,0.023152702136573108,-0.19007519026766265,0.02793424840866173,0.024707778281612375,1.1305851983239832,-0.006451612903225823,0.0008797653958944052,9.111855886049237e-05,0.0018586348671130008,-0.003143273044356712,0.0019137905875508282,0.0007339757017176263,0.0010500622828860807,0.003234391603217204,0.0023237286053078956,True
dar_a08_r1,synthetic,20,False,0.003392205202818366,0.0054649479063916505,-0.012995594713656406,0.001446136532781714,-0.009603389510838039,0.0051381480560137765,-0.002334667043877664,0.005177013025533177,-0.0004405286343612369,0.00030319259982893856,0.002951676568457129,0.005367831634005737,1.0083153981608297,0.005106585406888515,0.6222466960352423,0.007116778497644121,0.4643171806167401,0.005800415972007249,0.3645374449339207,0.006883317875944208,0.014537444933920719,0.001536042854166648,0.25,0.09933992677987828,0.25,0.09933992677987828,0.019832545231647986,0.0032485298958172958,0.018779722210995692,0.0029199902428447915,0.4192148497821687,2.54702629954375e-17,0.01874757150866164,0.002983454220061083,0.25293552929638685,0.0004803590460702287,0.0187797222109957,0.003272638890239359,0.2164896805830605,0.0022793176989086093,0.07539497703054061,0.0033696462725277695,0.02976987780605227,0.003249098555253737,0.019220250845356935,0.012995594713656406,0.019832545231647986,0.018779722210995692,0.6207205010775926,0.024439990024373776,0.025780464648677084,0.9480042488539052,-0.015290519877675823,-0.00642201834862377,-0.0010528230206522937,0.00166833607636746,-0.0010849737229863432,0.004894987840748154,-0.001052823020652288,0.00304387207466735,3.215070233404949e-05,0.004069112492100177,True
dar_a0_r2,synthetic,20,False,0.012722239759333315,0.00573021691140737,-0.011705202312138726,0.0009253069707272887,0.0010170374471945882,0.005824292939806493,0.008892759990547191,0.0057232837099786835,-0.0011560693641618491,0.00043981844523276404,0.011566170395171466,0.0056700575116824916,1.0078486617025555,0.005136228698513402,0.17846820809248554,0.004607490636535365,0.041184971098265896,0.0020530512428031727,0.016329479768786133,0.0007922005857604443,0.0157514450867052,0.0009716585733437459,0.1,0.06882472016116853,0.1,0.06882472016116853,0.02176410113105742,0.003007741273963928,0.023369242724542574,0.002859179370711396,0.03524895161128194,0.0,0.02021172838201265,0.0038681944870428676,0.02194190263365642,0.0032683424337325816,0.02373051440084315,0.003090566933270458,0.01455580941242628,0.0010019705205990517,0.021699711543271525,0.0014049768741546801,0.016562040978615987,0.0010479976691192751,0.024886583765005,0.011705202312138726,0.02176410113105742,0.023369242724542574,2.2202021242872405,0.025626309079451542,0.02483165135984851,1.0320018072131907,-0.00954938824231577,-0.0023873470605789704,0.0016051415934851543,0.001800296617316214,-0.0015523727490447726,0.0020710057971266554,0.00196641326978573,0.0024955697452330792,0.003157514342529927,0.0033742167714818703,True
dar_a08_r2,synthetic,20,False,-0.001233659918397012,0.0045915661113924994,-0.013260869565217399,0.0016229806721164224,-0.01449452948361441,0.004736358436045883,-0.007755399048831791,0.004621264326106451,-0.0008695652173913105,0.00039898388499228415,-0.0021032251357883227,0.0045040580205932485,0.9980743308299631,0.005680079834937943,0.617391304347826,0.006517924132079408,0.45391304347826084,0.006421037952327902,0.36847826086956526,0.007960172225305913,0.013478260869565222,0.0015739648777132855,0.15,0.08191780219091253,0.15,0.08191780219091253,0.020884768315184883,0.0032456170513135998,0.018109228410301714,0.002694708814005313,0.4124003778032118,0.0,0.018981445314481444,0.0026440129226806956,0.24643489829689447,0.0004114224030013346,0.0162538007744484,0.002571930984185857,0.21422918994776374,0.00290694243927823,0.07511139192806467,0.003284413131489789,0.028033228695439887,0.0028280105153668067,0.01668858338314405,0.013260869565217399,0.020884768315184883,0.018109228410301714,-0.26867955039046054,0.020534107896516,0.025900061881973104,0.7928208044478882,-0.011954572624028659,-0.005379557680812885,-0.0027755399048831676,0.001599106059156455,-0.0019033230007034386,0.004714160735330303,-0.0046309675407364805,0.002645453034425744,-0.000872216904179729,0.004057100928003342,True
