graph_id,stratum,draw,M_obs,volume_ratio,at_cap_share,lost_share,lost_share_reservoir,covers_truth_2,covers_truth_all,width_2,selection_2,history_2,total_2,mid_error_2,history_reservoir_2,total_reservoir_2,selection_3,history_3,total_3,mid_error_3,history_reservoir_3,total_reservoir_3,selection_4,history_4,total_4,mid_error_4,history_reservoir_4,total_reservoir_4,selection_5,history_5,total_5,mid_error_5,history_reservoir_5,total_reservoir_5,AE2_plugin,ProfileAE_plugin,AE2_midpoint,ProfileAE_midpoint,AE2_median,ProfileAE_median,AE2_extratrees_pooled,ProfileAE_extratrees_pooled,AE2_extratrees_real_only,ProfileAE_extratrees_real_only,AE2_plugin_reservoir,ProfileAE_plugin_reservoir
sp_hospital,real,1,632,1.015255128879537,0.6474358974358975,0.32051282051282054,0.19230769230769232,True,True,0.45512820512820507,0.02923166970576979,-0.2628205128205128,-0.233588843114743,-0.0060247405506404506,-0.051282051282051266,-0.022050381576281475,0.015308075009567546,-0.15384615384615385,-0.1385380788365863,0.11466704936854191,-0.10897435897435898,-0.09366628396479143,0.018448481574030298,-0.0641025641025641,-0.0456540825285338,0.14344848157403028,-0.05769230769230769,-0.03924382611827739,0.0051833592219896005,-0.019230769230769232,-0.014047410008779631,0.11415771819634857,-0.019230769230769232,-0.014047410008779631,0.233588843114743,0.1079571036221607,0.0060247405506404506,0.0945744974223903,0.15500095930926444,0.056060465676110977,0.06263003100716241,0.055724940228736156,0.07267995004421962,0.14427800488529008,0.022050381576281475,0.04225197541703248
sp_hospital,real,2,567,0.9731720147290899,0.5512820512820513,0.2692307692307692,0.15384615384615385,True,True,0.39743589743589747,-0.05410166362756352,-0.23076923076923075,-0.28487089439679425,-0.08615294567884557,-0.0641025641025641,-0.11820422773012762,-0.010332950631458088,-0.13461538461538464,-0.1449483352468427,0.06979525449674703,-0.07051282051282053,-0.08084577114427861,-0.0007822876567389267,-0.038461538461538464,-0.03924382611827739,0.11139719952274825,-0.03205128205128205,-0.03283356970802098,0.0051833592219896005,-0.019230769230769232,-0.014047410008779631,0.07890130793993833,-0.019230769230769232,-0.014047410008779631,0.28487089439679425,0.12077761644267349,0.08615294567884557,0.0865616769095698,0.15500095930926444,0.056060465676110977,0.04226115507135564,0.017325589155801735,0.012182212416931126,0.0756657803725567,0.11820422773012762,0.06148274464780171
sp_hospital,real,3,637,0.967911625460284,0.6666666666666666,0.33974358974358976,0.15384615384615385,True,True,0.5,0.022821413295513404,-0.3012820512820513,-0.27846063798653786,-0.028460637986537918,-0.05769230769230771,-0.034870894396794305,-0.010332950631458088,-0.14102564102564102,-0.1513585916570991,0.08902602372751625,-0.07051282051282053,-0.08084577114427861,-0.007192544066995335,-0.038461538461538464,-0.0456540825285338,0.1402433533689021,-0.032051282051282055,-0.03924382611827739,0.0051833592219896005,-0.019230769230769232,-0.014047410008779631,0.10133720537583576,-0.019230769230769232,-0.014047410008779631,0.27846063798653786,0.1223801805452376,0.028460637986537918,0.089766805114698,0.15500095930926444,0.056060465676110977,0.006545738647943666,0.015081268042900909,0.054727404011456315,0.12345240179144173,0.034870894396794305,0.04225197541703248
sp_hospital,real,4,605,0.9994739610731193,0.6025641025641025,0.3333333333333333,0.19230769230769232,True,True,0.46153846153846156,0.048462438936539065,-0.3076923076923077,-0.25922986875576864,-0.028460637986537862,-0.10256410256410259,-0.05410166362756352,0.015308075009567546,-0.15384615384615385,-0.1385380788365863,0.0954362801377727,-0.07692307692307693,-0.06161500191350938,0.005627968753517482,-0.04487179487179487,-0.03924382611827739,0.12742284054838926,-0.03205128205128205,-0.026423313297764567,0.0051833592219896005,-0.019230769230769232,-0.014047410008779631,0.07890130793993833,-0.019230769230769232,-0.014047410008779631,0.25922986875576864,0.11276479592985299,0.028460637986537862,0.08255526665315954,0.15500095930926444,0.056060465676110977,0.004835144028323024,0.01261668481096217,0.04535301508296624,0.1067470542669929,0.05410166362756352,0.039046847211904274
sp_hospital,real,5,628,1.0047343503419253,0.6794871794871795,0.3076923076923077,0.16025641025641027,True,True,0.4935897435897436,0.022821413295513404,-0.2564102564102564,-0.233588843114743,0.013206028680128823,-0.07051282051282054,-0.047691407217307136,-0.023153463451970918,-0.1282051282051282,-0.1513585916570991,0.11146192116341366,-0.07051282051282051,-0.09366628396479143,0.012038225163773897,-0.057692307692307696,-0.0456540825285338,0.1370382251637739,-0.05128205128205129,-0.03924382611827739,0.0051833592219896005,-0.019230769230769232,-0.014047410008779631,0.09813207717070756,-0.019230769230769232,-0.014047410008779631,0.233588843114743,0.11116223182728889,0.013206028680128823,0.08995956304450599,0.15500095930926444,0.056060465676110977,0.04190263818147527,0.03444857010466355,0.062175090239429964,0.1286677288724845,0.047691407217307136,0.0486622318272889
sp_hospital,real,6,624,0.9468700683850604,0.6474358974358975,0.3076923076923077,0.1794871794871795,True,True,0.5128205128205129,-0.022050381576281475,-0.28846153846153844,-0.3105119200378199,-0.05410166362756352,-0.07692307692307693,-0.0989734584993584,0.00889781859931113,-0.15384615384615385,-0.1449483352468427,0.10825679295828552,-0.10256410256410256,-0.09366628396479143,-0.0007822876567389267,-0.04487179487179487,-0.0456540825285338,0.14985873798428673,-0.04487179487179487,-0.0456540825285338,-0.0012268971882668112,-0.01282051282051282,-0.014047410008779631,0.09172182076045114,-0.01282051282051282,-0.014047410008779631,0.3105119200378199,0.128790436955494,0.05410166362756352,0.10098475383264673,0.15500095930926444,0.056060465676110977,0.02700146840272266,0.03314837819544971,0.041613243489487306,0.11284479754897551,0.0989734584993584,0.06308530875036582
sp_hospital,real,7,622,0.967911625460284,0.6410256410256411,0.3141025641025641,0.1794871794871795,True,True,0.4871794871794872,-0.015640125166025087,-0.26923076923076916,-0.28487089439679425,-0.04128115080705069,-0.057692307692307654,-0.07333243285833274,0.034538844240336763,-0.17948717948717946,-0.1449483352468427,0.0922311519326445,-0.08974358974358973,-0.05520474550325297,0.024858737984286713,-0.07051282051282051,-0.0456540825285338,0.14665360977915853,-0.05128205128205128,-0.026423313297764567,0.018003872042502415,-0.03205128205128205,-0.014047410008779631,0.08851669255532293,-0.03205128205128205,-0.014047410008779631,0.28487089439679425,0.1223801805452376,0.04128115080705069,0.09217065126854415,0.15500095930926444,0.056060465676110977,0.007955888022533997,0.014866115834522827,0.050898181271755105,0.12011660906332405,0.07333243285833274,0.042251975417032475
sp_hospital,real,8,599,0.9784324039978958,0.6025641025641025,0.28205128205128205,0.12179487179487179,True,True,0.4807692307692308,-0.022050381576281475,-0.25,-0.2720503815762815,-0.03166576619166611,-0.04487179487179488,-0.06692217644807635,-0.016743207041714503,-0.1346153846153846,-0.1513585916570991,0.08261576731725986,-0.07692307692307693,-0.09366628396479143,0.018448481574030298,-0.05769230769230769,-0.03924382611827739,0.1402433533689021,-0.05128205128205128,-0.03283356970802098,-0.0012268971882668112,-0.01282051282051282,-0.014047410008779631,0.09172182076045114,-0.01282051282051282,-0.014047410008779631,0.2720503815762815,0.11917505234010939,0.03166576619166611,0.0865616769095698,0.15500095930926444,0.056060465676110977,0.0011756603973015478,0.01370205517676933,0.05490635992420251,0.12097089151795204,0.06692217644807635,0.0518673600324171
sp_hospital,real,9,577,0.9836927932667017,0.5576923076923077,0.2692307692307692,0.17307692307692307,True,True,0.4230769230769231,-0.015640125166025087,-0.2564102564102564,-0.2720503815762815,-0.060511920037819966,-0.07692307692307687,-0.09256320208910196,-0.016743207041714503,-0.1282051282051282,-0.1449483352468427,0.06338499808649062,-0.07692307692307693,-0.09366628396479143,0.012038225163773897,-0.05128205128205129,-0.03924382611827739,0.13062796875351745,-0.04487179487179488,-0.03283356970802098,0.011593615632246009,-0.02564102564102564,-0.014047410008779631,0.08851669255532293,-0.02564102564102564,-0.014047410008779631,0.2720503815762815,0.11757248823754529,0.060511920037819966,0.08576039485828774,0.15500095930926444,0.056060465676110977,0.0282198810814156,0.01303647257716025,0.043355186190626616,0.11040348679938289,0.09256320208910196,0.0582776164426735
sp_hospital,real,10,598,0.9889531825355075,0.6217948717948718,0.28846153846153844,0.14743589743589744,True,True,0.4743589743589744,-0.002819612345512257,-0.2692307692307692,-0.2720503815762815,-0.034870894396794305,-0.07051282051282048,-0.07333243285833274,-0.016743207041714503,-0.1217948717948718,-0.1385380788365863,0.09864140834290089,-0.07051282051282051,-0.08725602755453502,0.005627968753517482,-0.04487179487179487,-0.03924382611827739,0.1370382251637739,-0.038461538461538464,-0.03283356970802098,-0.007637153598523221,-0.00641025641025641,-0.014047410008779631,0.09172182076045114,-0.00641025641025641,-0.014047410008779631,0.2720503815762815,0.1159699241349812,0.034870894396794305,0.09056808716598007,0.15500095930926444,0.056060465676110977,0.01608042656780101,0.022900239273867157,0.05743861051988747,0.12482741551273713,0.07333243285833274,0.05186736003241709
sp_hospital,real,11,636,1.0257759074171486,0.6666666666666666,0.3141025641025641,0.16025641025641027,True,True,0.4551282051282051,0.05487269534679545,-0.2692307692307692,-0.21435807388397377,0.013206028680128823,-0.04487179487179488,0.010000900475000574,0.047359357060849594,-0.1987179487179487,-0.1513585916570991,0.11146192116341366,-0.11538461538461538,-0.06802525832376578,-0.01360280047725175,-0.02564102564102564,-0.03924382611827739,0.15626899439454311,-0.03205128205128205,-0.0456540825285338,-0.007637153598523221,-0.00641025641025641,-0.014047410008779631,0.09813207717070756,-0.00641025641025641,-0.014047410008779631,0.21435807388397377,0.10475197541703246,0.013206028680128823,0.09476725535219828,0.15500095930926444,0.056060465676110977,0.06232325219332463,0.04676747024594472,0.07519622143508703,0.1439932010073576,0.010000900475000574,0.034431912834019945
