walk,band,n,n_families,floor_lofo,mle_uniform,mle_transfer_beta,mle_betacal_lofo,oracle_lofo
time_agnostic_t,lo(<.02),72,8,0.1319051744736394,0.07445598018952965,0.06771633133416714,0.08262783899080463,0.08085296856982493
time_agnostic_t,mid,96,12,0.14195331756180735,0.0518417151536222,0.04209193488654673,0.02890541166134733,0.04928479719182104
time_agnostic_t,hi(>.15),48,4,0.1540239197530864,0.034269640144514134,0.027671795511296313,0.03215834313334736,0.04752538287284606
time_respecting,lo(<.02),72,8,0.1319051744736394,0.1887751401371781,0.12174061492209362,0.11063528486065254,0.08431980604058761
time_respecting,mid,120,12,0.1468561710880478,0.16306395441510657,0.06795772464071498,0.06795772464071498,0.06194259565691628
time_respecting,hi(>.15),24,4,0.1540239197530864,0.12656362172344826,0.021900902940150558,0.021900902940150558,0.04753740344622694
