case_id,family,substrate,n,strategy,band,budget,coverage,n_obs_edges,rho_true,floor_lofo,mle_uniform,mle_transfer_beta,mle_betacal_lofo,oracle_lofo,betacal_lofo_beta
ba20000f0|t0.093|r0|time_respecting|b400,ba20000f0,ba,20000,time_respecting,lo(<.02),400,0.0030381076215243,243,0.0934061812362472,0.3481677782775372,0.0421164871862946,0.0967874800917695,0.0649850871778064,0.308618832123061,1.5
ba20000f0|t0.254|r0|time_respecting|b1600,ba20000f0,ba,20000,time_respecting,lo(<.02),1600,0.0122149429885977,977,0.2537382476495299,0.3481677782775372,0.1316632361368743,0.3357245528457215,0.2249894667585854,0.3857777319650816,1.5
ba20000f1|t0.312|r0|time_respecting|b400,ba20000f1,ba,20000,time_respecting,lo(<.02),400,0.0031506301260252,252,0.3118623724744949,0.3319674548795243,0.1636296414978273,0.3919884303173367,0.2610808044641137,0.3487676459363867,1.5
ba20000f1|t0.463|r0|time_respecting|b400,ba20000f1,ba,20000,time_respecting,lo(<.02),400,0.003125625125025,250,0.4625300060012002,0.3319674548795243,0.1173348279330455,0.276048786756962,0.184508329173755,0.2634911571494055,1.5
ba8000f0|t0.280|r0|time_respecting|b400,ba8000f0,ba,8000,time_respecting,lo(<.02),400,0.007816408204102,250,0.279796148074037,0.3391724049703485,0.0334346536125195,0.0947726706464622,0.062291024990269,0.1562925835557766,1.5
ba8000f1|t0.410|r0|time_respecting|b400,ba8000f1,ba,8000,time_respecting,lo(<.02),400,0.0080977988994497,259,0.4100487743871936,0.3336767594203008,2.843549736786244e-07,0.0045324576158383,0.000205762215979,0.2591624533577757,1.5
er20000f0|t0.484|r0|time_respecting|b1600,er20000f0,er,20000,time_respecting,lo(<.02),1600,0.012825,1026,0.4844375,0.3283069241067031,0.2921259749170717,0.724324373742337,0.4871259109082112,0.4455580336567308,1.5
er20000f1|t0.415|r0|time_respecting|b1600,er20000f1,er,20000,time_respecting,lo(<.02),1600,0.0125875,1007,0.414575,0.3170490074400364,0.2336822061897708,0.5804006706911006,0.3892368359064317,0.4584359376478845,1.5
er20000f1|t0.564|r0|time_respecting|b400,er20000f1,er,20000,time_respecting,lo(<.02),400,0.0034,272,0.56385,0.3170490074400364,0.1189938802439747,0.42308358145393,0.2548742443419548,0.4481593189938387,1.5
er8000f0|t0.533|r0|time_respecting|b400,er8000f0,er,8000,time_respecting,lo(<.02),400,0.00809375,259,0.53296875,0.3258262757030634,0.2411531369351317,0.5865258663779694,0.386921632770391,0.4444756717150205,1.5
