arm,cases,mean,median,sd,p10,p90,share_positive,share_negative
event_sample_then_full_history,32,-0.16314259290403949,-0.12777053209923206,0.14651909100791163,-0.3867224375232662,-0.0017870609906775632,0.0625,0.90625
node_panel_full_history,32,0.002173654723659233,0.002073997755480503,0.0506575692309205,-0.05668759043587497,0.054128152843015205,0.5625,0.4375
recent_history_k20,32,0.2781316078494657,0.2646964073912364,0.18568925495280536,0.0806576289532311,0.5174801297117452,1.0,0.0
time_agnostic_t,32,0.2795761395227846,0.2775434069361622,0.2001738522310213,0.04410162747863934,0.5222288926559862,0.96875,0.03125
time_respecting,32,0.3007187352809329,0.30856140519097763,0.20786584175665757,0.058535586770880894,0.5089980494609282,1.0,0.0
POOLED,160,0.13949150889456058,0.0875201715721546,0.250842663054167,-0.1450287602291799,0.49630383008672335,0.71875,0.275
