case_id,instance_id,group_id,coverage,p_arm_b,actual_arm,stated_arm,p_stated,mismatch_detectability
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0,real::snap_mathoverflow,0.0079739980636855,0.9227528369798244,event_sample_then_full_history,time_agnostic_t,0.07724716302017565,0.9227528369798244
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0,real::snap_mathoverflow,0.0039417828987265,0.10402039675407694,time_agnostic_t,event_sample_then_full_history,0.10402039675407694,0.8959796032459231
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0,real::snap_mathoverflow,0.0070856340365771,0.997834266781201,event_sample_then_full_history,time_agnostic_t,0.002165733218798982,0.997834266781201
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0,real::snap_mathoverflow,0.0039364633536539,0.09294711210838248,time_agnostic_t,event_sample_then_full_history,0.09294711210838248,0.9070528878916175
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0,real::sp_highschool2013,0.0036094877964936,0.8825882467200911,event_sample_then_full_history,time_agnostic_t,0.11741175327990894,0.8825882467200911
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0,real::sp_highschool2013,0.124785149535923,0.09321584633888945,time_agnostic_t,event_sample_then_full_history,0.09321584633888945,0.9067841536611105
controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0,real::sp_highschool2013,0.0027500859401856,0.9969164390627397,event_sample_then_full_history,time_agnostic_t,0.0030835609372602546,0.9969164390627397
controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0,real::sp_highschool2013,0.127363355104847,0.11168837544278527,time_agnostic_t,event_sample_then_full_history,0.11168837544278527,0.8883116245572147
controlled__sp_hospital__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,controlled__sp_hospital__bursty__contiguous__rho0.15__r0,real::sp_hospital,0.0658472344161545,0.9882831110498568,event_sample_then_full_history,time_agnostic_t,0.011716888950143223,0.9882831110498568
controlled__sp_hospital__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,controlled__sp_hospital__bursty__contiguous__rho0.15__r0,real::sp_hospital,0.5013169446883231,0.11655109805064537,time_agnostic_t,event_sample_then_full_history,0.11655109805064537,0.8834489019493547
