budget,evidence_block,arm,method,sources,planned,valid,missing,empty_observations,expected_coverage,all_arm_budgets_matched,MAE2,MAE2_MCSE,ProfileMAE,ProfileMAE_MCSE,valid_fraction,valid_fraction_MCSE
0.025,real,R,plugin,8,24,24,0,0,0.024884366078790847,True,0.028614808058708953,0.007577237765149722,0.020532440193270083,0.0032446992742627264,1.0,0.0
0.025,real,R,primary_corrector,8,24,24,0,0,0.024884366078790847,True,0.028614808058708953,0.007577237765149722,0.020532440193270083,0.0032446992742627264,1.0,0.0
0.025,real,R,median,8,24,24,0,0,0.024884366078790847,True,0.23969876967603918,0.0,0.11015221734076833,1.635512977795599e-18,1.0,0.0
0.025,real,R,extratrees_pooled,8,24,24,0,0,0.024884366078790847,True,0.05452269293336727,0.006966925135592142,0.02885316221843546,0.0045627479458584305,1.0,0.0
0.025,real,R,extratrees_real_only,8,24,24,0,0,0.024884366078790847,True,0.0675659883710252,0.007388498983950784,0.03610200363683401,0.0033567479999134387,1.0,0.0
0.025,real,R,qwen_thinking,8,72,72,0,0,0.02488436607879085,True,0.028828066860691233,0.00744577099422245,0.02055698946825931,0.003343393014815301,1.0,0.0
0.025,real,R,qwen_nonthinking,8,72,72,0,0,0.02488436607879085,True,0.4993396062965218,0.02604657712513252,0.364118806014475,0.02215006921773073,1.0,0.0
0.025,real,S,plugin,8,24,24,0,0,0.024914642271637925,True,0.02976514951668209,0.007712040732039587,0.01807995360664857,0.00226572757458191,1.0,0.0
0.025,real,S,primary_corrector,8,24,24,0,0,0.024914642271637925,True,0.030737590049160782,0.007437191879979375,0.018120555949158196,0.002283777999643408,1.0,0.0
0.025,real,S,median,8,24,24,0,0,0.024914642271637925,True,0.23969876967603918,0.0,0.11015221734076833,1.635512977795599e-18,1.0,0.0
0.025,real,S,extratrees_pooled,8,24,24,0,0,0.024914642271637925,True,0.05477414800089589,0.004941846743144306,0.02954425084458006,0.001807035567215467,1.0,0.0
0.025,real,S,extratrees_real_only,8,24,24,0,0,0.024914642271637925,True,0.058535101742726685,0.007211132813884599,0.033946748279508304,0.001347638950988503,1.0,0.0
0.025,real,S,qwen_thinking,8,72,72,0,0,0.024914642271637925,True,0.030218572620454548,0.007695404770301197,0.018335979051330352,0.0023328260769852178,1.0,0.0
