stratum,arm,method,sources,sources_with_valid,MAE_2,ProfileMAE,signed_rho_2,validity,fallback_rate,old_rule_MAE_2,old_rule_ProfileMAE,old_rule_signed_rho_2,old_rule_fallback_rate,ET_profile_validity,draw_clustered_MCSE_2,skill_vs_plugin,not_correctable_at_this_budget_sources
real,R,plugin,8,8,0.020885430841228105,0.012999595904839855,-0.004384554853122316,1.0,,,,,,,0.004934806034283739,0.0,
real,R,median,8,8,0.2396987696760392,0.11015221734076834,0.05898958163993918,1.0,,,,,,,4.9065389333867974e-18,-10.476841033265677,
real,R,mle,8,8,0.023429537865710455,0.013931049236294363,0.007445585458432652,1.0,0.0,0.023429537010257514,0.013931049200069932,0.007445586313885595,0.041666666666666664,,0.006318214975550784,-0.12181252298900391,
real,R,et,8,8,0.022920952855106307,0.014047141707453635,-0.0027996729902319004,1.0,,,,,,0.9583333333333334,0.004705858535979893,-0.0974613370129791,
real,R,qwen_thinking,8,8,0.021289773724403688,0.013290459707031264,-0.005599321028723011,1.0,,,,,,,0.004941532208737885,-0.01936004510749223,
real,R,qwen_nonthinking,8,8,0.4382150977605372,0.3403102230693842,0.437973570056155,1.0,,,,,,,0.036462019542767954,-19.98185577744918,
real,S,plugin,8,8,0.2816368933531184,0.21101959583506846,0.2816368933531184,1.0,,,,,,,0.004030929351707793,0.0,
real,S,median,8,8,0.2396987696760392,0.11015221734076834,0.05898958163993918,1.0,,,,,,,4.9065389333867974e-18,0.1489084870159283,
real,S,design,8,8,0.0425615581673566,0.01825586566749026,0.019030467434807435,1.0,,,,,,,0.009895852646041514,0.84887790210783,
real,S,mle,8,8,0.03588835514108587,0.020410733467564984,0.028334524660438513,1.0,0.0,0.03588835514108587,0.020410733467564984,0.028334524660438513,0.0,,0.0073357188633770614,0.8725722517607493,
real,S,et,8,8,0.04208952006048046,0.01917711645757489,0.02390867897322207,1.0,,,,,,0.9583333333333334,0.007536090773147334,0.8505539542090166,
real,S,qwen_thinking,8,8,0.1512779477297817,0.11694869283203102,0.13107237528829718,1.0,,,,,,,0.017150941760451684,0.46286175106999106,
real,S,qwen_nonthinking,8,8,0.5562527367228216,0.472037805697972,0.5562527367228216,1.0,,,,,,,0.020328204612748705,-0.9750705601818572,
real,S_obs,plugin,8,8,0.2816368933531184,0.21101959583506846,0.2816368933531184,1.0,,,,,,,0.004030929351707793,0.0,
real,S_obs,median,8,8,0.2396987696760392,0.11015221734076834,0.05898958163993918,1.0,,,,,,,4.9065389333867974e-18,0.1489084870159283,
real,S_obs,design,8,8,0.04469210789218103,0.02145061179943114,0.0022943014201594163,1.0,,,,,,,0.01018802697975543,0.8413130206057708,
real,S_obs,mle,8,8,0.03474487587013811,0.022508645247521945,0.01061904913259491,1.0,0.0,0.03474487587013811,0.022508645247521945,0.01061904913259491,0.0,,0.006487832326300956,0.876632370651189,
real,S_obs,et,8,8,0.04861477383896686,0.025371406944257498,0.03459799464088962,1.0,,,,,,1.0,0.008399970673143046,0.8273849236860694,
real,S_obs,qwen_thinking,8,8,0.12123812721449848,0.0796907658693474,0.09477360407103591,1.0,,,,,,,0.020638899036242046,0.5695232759775928,
real,S_obs,qwen_nonthinking,8,8,0.5027781533650231,0.4463673606883817,0.5026930145005994,1.0,,,,,,,0.01334243768440014,-0.7851998982769495,
real,H,plugin,8,8,0.06660501268737784,0.05727753505680255,-0.061940567756183645,1.0,,,,,,,0.0021929850189156557,0.0,
real,H,median,8,8,0.2396987696760392,0.11015221734076834,0.05898958163993918,1.0,,,,,,,4.9065389333867974e-18,-2.5988097592760306,
real,H,mle,8,8,0.05164865022073651,0.028909157465077343,0.051112570951107314,1.0,0.0,0.06735580457483756,0.034870769046554013,0.06681973118295256,0.16666666666666666,,0.0047392878699051635,0.2245531058877146,
real,H,et,8,8,0.03037131439366008,0.02530775667626623,0.011788981017266983,1.0,,,,,,1.0,0.002155638934715637,0.5440085788105303,
real,H,qwen_thinking,8,8,0.14343736982122995,0.08054143644654331,0.05852392552905746,0.9861111111111112,,,,,,,0.01924845402613346,-1.1535521732347398,
real,H,qwen_nonthinking,8,8,0.26056037993406955,0.15678225847468297,0.09245134783393275,1.0,,,,,,,0.020647467671524183,-2.9120235763193203,
real,B,plugin,8,8,0.1525193936090973,0.07860722476889923,-0.1525193936090973,1.0,,,,,,,0.0025863949181692616,0.0,
real,B,median,8,8,0.2396987696760392,0.11015221734076834,0.05898958163993918,1.0,,,,,,,4.9065389333867974e-18,-0.5715953493126262,
real,B,mle,8,8,0.05507571665630762,0.03473682505691163,-0.026627906406179548,1.0,0.0,0.055080062668107665,0.03473845864368303,-0.0266235603943795,0.08333333333333333,,0.00476807987405602,0.6388936819571611,
real,B,et,8,8,0.05493902057483664,0.032216862590329645,0.004493189929770925,1.0,,,,,,1.0,0.004512246252450823,0.639789935726838,
real,B,qwen_thinking,8,8,0.20615708113260733,0.11860355036775184,0.010934101900410415,1.0,,,,,,,0.02238273199969429,-0.3516778178451314,
real,B,qwen_nonthinking,8,8,0.5629552385388389,0.5482237676448929,0.546223570056155,1.0,,,,,,,0.02700411565257202,-2.6910403668511593,
