source,stratum,arm,method,MAE_2,ProfileMAE,signed_rho_2,validity,not_correctable_at_this_budget
nr_digg_reply,real,S_obs,et,0.007898854293874748,0.0029182213389511193,-0.007898854293874748,1.0,False
nr_digg_reply,real,S_obs,median,0.41577956759326407,0.1622271565826036,0.41577956759326407,1.0,False
nr_digg_reply,real,S_obs,mle,0.0005967470114937364,0.00018101906706403467,0.0005967470114937364,1.0,False
nr_digg_reply,real,S_obs,plugin,0.00488803650288911,0.001371015965431992,0.00488803650288911,1.0,False
nr_digg_reply,real,S_obs,qwen_nonthinking,0.3200383340183587,0.1925544047129744,0.3193572231029691,1.0,False
nr_digg_reply,real,S_obs,qwen_thinking,0.001924777958524651,0.0005346990405668746,0.001924777958524651,1.0,False
snap_collegemsg,real,B,et,0.1457293828505322,0.0526421025463961,0.1457293828505322,1.0,False
snap_collegemsg,real,B,median,0.31579499307470826,0.13311101808443854,0.31579499307470826,1.0,False
snap_collegemsg,real,B,mle,0.008105930718905382,0.003851471767787114,0.0036060020105126065,1.0,False
snap_collegemsg,real,B,plugin,0.07182096020281759,0.021890328642972707,-0.07182096020281759,1.0,False
snap_collegemsg,real,B,qwen_nonthinking,0.447316808787397,0.2812774606156959,0.37861709302885765,1.0,False
snap_collegemsg,real,B,qwen_thinking,0.24357621356665515,0.10065912090822327,0.18250203794689054,1.0,False
snap_collegemsg,real,H,et,0.11723948914835207,0.04350201118103403,0.11723948914835207,1.0,False
snap_collegemsg,real,H,median,0.31579499307470826,0.13311101808443854,0.31579499307470826,1.0,False
snap_collegemsg,real,H,mle,0.10977175616854518,0.03761980574624902,0.10977175616854518,1.0,False
snap_collegemsg,real,H,plugin,0.018657779724776762,0.006688988898030135,0.018657779724776762,1.0,False
snap_collegemsg,real,H,qwen_nonthinking,0.2969614427261486,0.1668418525477349,0.2740615374733022,1.0,False
snap_collegemsg,real,H,qwen_thinking,0.08468306977164328,0.029741032225574497,0.08453842636219105,0.8888888888888888,False
snap_collegemsg,real,R,et,0.020495612551973904,0.012324165927742324,0.020495612551973904,1.0,False
snap_collegemsg,real,R,median,0.31579499307470826,0.13311101808443854,0.31579499307470826,1.0,False
snap_collegemsg,real,R,mle,0.008338342898411613,0.0028123677527772135,0.008338342898411613,1.0,False
snap_collegemsg,real,R,plugin,0.0029870177418446823,0.0017338570636275463,0.0029870177418446823,1.0,False
snap_collegemsg,real,R,qwen_nonthinking,0.2936170930288577,0.14760245539657302,0.2936170930288577,1.0,False
snap_collegemsg,real,R,qwen_thinking,0.0030637447399688416,0.0018157050158886152,0.0030637447399688416,1.0,False
snap_collegemsg,real,S,design,0.0031790941992226826,0.0015297460203343531,-0.0022736881733189432,1.0,False
snap_collegemsg,real,S,et,0.03204928246109619,0.011775411747820416,0.03204928246109619,1.0,False
snap_collegemsg,real,S,median,0.31579499307470826,0.13311101808443854,0.31579499307470826,1.0,False
snap_collegemsg,real,S,mle,0.003290015934176197,0.001991223509589699,0.0010011374383281462,1.0,False
snap_collegemsg,real,S,plugin,0.14517646122689776,0.049571494190025434,0.14517646122689776,1.0,False
snap_collegemsg,real,S,qwen_nonthinking,0.6452837596955243,0.42036015962486556,0.6452837596955243,1.0,False
snap_collegemsg,real,S,qwen_thinking,0.03118876424322719,0.015088459158717545,0.014300314139968838,1.0,False
snap_collegemsg,real,S_obs,design,0.010753357399101196,0.003740288597989533,-0.010753357399101196,1.0,False
snap_collegemsg,real,S_obs,et,0.05397393985422052,0.01731911385365995,0.05397393985422052,1.0,False
snap_collegemsg,real,S_obs,median,0.31579499307470826,0.13311101808443854,0.31579499307470826,1.0,False
snap_collegemsg,real,S_obs,mle,0.008024067989244904,0.003670998910652559,-0.008024067989244904,1.0,False
snap_collegemsg,real,S_obs,plugin,0.14517646122689776,0.049571494190025434,0.14517646122689776,1.0,False
snap_collegemsg,real,S_obs,qwen_nonthinking,0.5038393152510799,0.3090268262915322,0.5038393152510799,1.0,False
snap_collegemsg,real,S_obs,qwen_thinking,0.06101346573482521,0.020303454399737034,0.035114151839968834,1.0,False
snap_email_eu,real,B,et,0.13282328071712113,0.09229799302516827,0.13282328071712113,1.0,False
snap_email_eu,real,B,median,0.21560074628952608,0.13602501333145378,-0.21560074628952608,1.0,False
snap_email_eu,real,B,mle,0.07756821758922368,0.06706784459589683,-0.07756821758922368,1.0,False
snap_email_eu,real,B,plugin,0.2411914560450453,0.155696340916702,-0.2411914560450453,1.0,False
snap_email_eu,real,B,qwen_nonthinking,0.4640729083665338,0.5697432685922974,0.4640729083665338,1.0,False
snap_email_eu,real,B,qwen_thinking,0.28694936387782205,0.1707892360557769,-0.08247853607791063,1.0,False
snap_email_eu,real,H,et,0.03781573300102751,0.062323687176260335,-0.03781573300102751,1.0,False
snap_email_eu,real,H,median,0.21560074628952608,0.13602501333145378,-0.21560074628952608,1.0,False
snap_email_eu,real,H,mle,0.06320162846533477,0.045710333881069855,0.06320162846533477,1.0,False
snap_email_eu,real,H,plugin,0.1243534760665883,0.13430383448582725,-0.1243534760665883,1.0,False
snap_email_eu,real,H,qwen_nonthinking,0.22121226206285968,0.13531063247011954,0.17171735281097827,1.0,False
snap_email_eu,real,H,qwen_thinking,0.1989815724946021,0.1356215202161874,0.01957814419419822,1.0,False
snap_email_eu,real,R,et,0.017065643495401055,0.018276068100449534,-0.006540376196115194,1.0,False
snap_email_eu,real,R,median,0.21560074628952608,0.13602501333145378,-0.21560074628952608,1.0,False
snap_email_eu,real,R,mle,0.03194167045005725,0.019792389117546615,0.030370025810363705,1.0,False
