source,stratum,arm,method,MAE_2,ProfileMAE,signed_rho_2,validity,not_correctable_at_this_budget
nr_digg_reply__pwt,surrogate,S,median,0.41069472231113147,0.1607739242415784,0.41069472231113147,1.0,False
nr_digg_reply__pwt,surrogate,S,mle,0.0016750406841949995,0.0006114823210453081,0.0016750406841949995,1.0,False
nr_digg_reply__pwt,surrogate,S,plugin,0.010409531066129962,0.0032670855584781187,0.010409531066129962,1.0,False
nr_digg_reply__pwt,surrogate,S,qwen_nonthinking,0.5612278642214523,0.3494057155579042,0.5578723778208364,1.0,False
nr_digg_reply__pwt,surrogate,S,qwen_thinking,0.004035570999230163,0.001291642691945733,0.0037610348208365124,1.0,False
nr_digg_reply__pwt,surrogate,S_obs,design,0.0007352864431256333,0.00021069394292052733,0.0003132664100079236,1.0,False
nr_digg_reply__pwt,surrogate,S_obs,et,0.0028007902889004045,0.0012724212584680394,0.0028007902889004045,1.0,False
nr_digg_reply__pwt,surrogate,S_obs,median,0.41069472231113147,0.1607739242415784,0.41069472231113147,1.0,False
nr_digg_reply__pwt,surrogate,S_obs,mle,0.0009964588088561457,0.00044516055053510573,0.0009964588088561457,1.0,False
nr_digg_reply__pwt,surrogate,S_obs,plugin,0.010409531066129962,0.0032670855584781187,0.010409531066129962,1.0,False
nr_digg_reply__pwt,surrogate,S_obs,qwen_nonthinking,0.5154815654655889,0.2732311684477326,0.5136964889319476,1.0,False
nr_digg_reply__pwt,surrogate,S_obs,qwen_thinking,0.0037619597770079394,0.0011992434209226962,0.003454880043058735,1.0,False
snap_collegemsg__pwt,surrogate,B,et,0.03219259178023598,0.02867612412030879,-0.03219259178023598,1.0,False
snap_collegemsg__pwt,surrogate,B,median,0.09098344311549261,0.04343183492900269,-0.09098344311549261,1.0,False
snap_collegemsg__pwt,surrogate,B,mle,0.08741146403949356,0.031775098303516984,-0.08741146403949356,1.0,False
snap_collegemsg__pwt,surrogate,B,plugin,0.3733694916552109,0.1665166783461812,-0.3733694916552109,1.0,False
snap_collegemsg__pwt,surrogate,B,qwen_nonthinking,0.35354621894621896,0.30862073878691526,0.11590532350532354,1.0,False
snap_collegemsg__pwt,surrogate,B,qwen_thinking,0.3545389488551187,0.19635012604049715,-0.24561183992800975,1.0,False
snap_collegemsg__pwt,surrogate,H,et,0.17366086843506826,0.0746291037409953,-0.17366086843506826,1.0,False
snap_collegemsg__pwt,surrogate,H,median,0.09098344311549261,0.04343183492900269,-0.09098344311549261,1.0,False
snap_collegemsg__pwt,surrogate,H,mle,0.14032300878404705,0.06170309967253148,-0.14032300878404705,1.0,False
snap_collegemsg__pwt,surrogate,H,plugin,0.262896838090286,0.13053933540799126,-0.262896838090286,1.0,False
snap_collegemsg__pwt,surrogate,H,qwen_nonthinking,0.06879333879333877,0.040101772895890536,-0.05316134316134313,1.0,False
snap_collegemsg__pwt,surrogate,H,qwen_thinking,0.2597282765711166,0.12216165493259298,-0.14922961427245424,1.0,False
snap_collegemsg__pwt,surrogate,R,et,0.01323502248596553,0.008462531795408028,0.005807745325568751,1.0,False
snap_collegemsg__pwt,surrogate,R,median,0.09098344311549261,0.04343183492900269,-0.09098344311549261,1.0,False
snap_collegemsg__pwt,surrogate,R,mle,0.012917847620648607,0.010239277135096397,0.004579374534821508,1.0,False
snap_collegemsg__pwt,surrogate,R,plugin,0.01513027003468411,0.010131292627791997,0.007232368462489165,1.0,False
snap_collegemsg__pwt,surrogate,R,qwen_nonthinking,0.31472754572754574,0.24759508438920205,0.31472754572754574,1.0,False
snap_collegemsg__pwt,surrogate,R,qwen_thinking,0.01538544116844118,0.01025934466685937,0.007487212394212424,1.0,False
snap_collegemsg__pwt,surrogate,S,design,0.025592307900328477,0.012395188081813571,-0.002985884300881573,1.0,False
