source,stratum,arm,method,answers,valid,MAE_2,ProfileMAE,signed_rho_2
copenhagen_bluetooth,real,R,deepseek_flash,3,3,0.012104835806488098,0.007234544622469501,-0.006587294752797661
copenhagen_bluetooth,real,R,gpt_6_sol,9,9,0.012102562806488101,0.007776514344691722,-0.006585466197242108
copenhagen_bluetooth,real,R,gpt_6_sol_tools,9,9,0.012103007250932545,0.007232819900247279,-0.006586799530575443
copenhagen_bluetooth,real,S,deepseek_flash,3,3,0.013762399419464352,0.0067484981684794,-0.013762399419464352
copenhagen_bluetooth,real,S,gpt_6_sol,9,9,0.014041243975019898,0.006590577140701621,-0.014041243975019898
copenhagen_bluetooth,real,S,gpt_6_sol_tools,9,9,0.013759021752797676,0.0067566882518127315,-0.013759021752797676
copenhagen_bluetooth__pwt,surrogate,B,deepseek_flash,3,3,0.2826767083783897,0.27411180504212246,-0.22205119180183577
copenhagen_bluetooth__pwt,surrogate,B,gpt_6_sol,9,9,0.15974609162161033,0.18158721376978637,0.06546049708705312
copenhagen_bluetooth__pwt,surrogate,B,gpt_6_sol_tools,9,9,0.12179383042038644,0.120948516981712,0.12179383042038644
copenhagen_bluetooth__pwt,surrogate,H,deepseek_flash,3,3,0.13355390837838974,0.08943283980887713,0.036538274864830855
copenhagen_bluetooth__pwt,surrogate,H,gpt_6_sol,9,9,0.0699735250150188,0.04248570420665857,-0.00420616957961353
copenhagen_bluetooth__pwt,surrogate,H,gpt_6_sol_tools,9,9,0.046799041591572714,0.024332959609930552,0.03779383042038645
copenhagen_bluetooth__pwt,surrogate,R,deepseek_flash,3,3,0.011327937188276923,0.016750047227329312,0.0031741204314975255
copenhagen_bluetooth__pwt,surrogate,R,gpt_6_sol,9,9,0.011331091621610303,0.016751711743995992,0.0031770526426086773
copenhagen_bluetooth__pwt,surrogate,R,gpt_6_sol_tools,9,9,0.011323758288276968,0.016750350632884877,0.003169719309275343
copenhagen_bluetooth__pwt,surrogate,S,deepseek_flash,3,3,0.01580637813516909,0.009429771147983995,-0.01580637813516909
copenhagen_bluetooth__pwt,surrogate,S,gpt_6_sol,9,9,0.011795614024058007,0.008475703455719024,-0.011795614024058007
copenhagen_bluetooth__pwt,surrogate,S,gpt_6_sol_tools,9,9,0.011850614024058008,0.008488532978470749,-0.011850614024058008
dar_a08_r1,synthetic,B,deepseek_flash,3,3,0.36817598343685304,0.33490077639751553,-0.1381387163561076
dar_a08_r1,synthetic,B,gpt_6_sol,9,9,0.1595217391304348,0.15699723947550034,0.11186128364389236
dar_a08_r1,synthetic,B,gpt_6_sol_tools,9,9,0.16951552795031055,0.17876069703243616,0.12530572808833684
dar_a08_r1,synthetic,H,deepseek_flash,3,3,0.042775983436852995,0.0846205486542443,0.019794616977225694
dar_a08_r1,synthetic,H,gpt_6_sol,9,9,0.0285893719806763,0.0252694962042788,-0.02513871635610761
dar_a08_r1,synthetic,H,gpt_6_sol_tools,9,9,0.041268461007591434,0.03435921325051759,-0.036694271911663155
dar_a08_r1,synthetic,R,deepseek_flash,3,3,0.009535187409104454,0.019872780108902026,-0.004061269335398447
dar_a08_r1,synthetic,R,gpt_6_sol,9,9,0.009527461007591435,0.019880341269841267,-0.004045938578329861
dar_a08_r1,synthetic,R,gpt_6_sol_tools,9,9,0.009534349896480351,0.01987911904761905,-0.004060383022774301
