source,stratum,arm,method,answers,valid,MAE_2,ProfileMAE,signed_rho_2
sp_highschool2013__pwt,surrogate,S,deepseek_flash,3,3,0.14309778423284067,0.10825295112868112,-0.01396668603185521
sp_highschool2013__pwt,surrogate,S,gpt_6_sol,9,9,0.13298211756617395,0.09333834001756999,-0.004066352698521884
sp_highschool2013__pwt,surrogate,S,gpt_6_sol_tools,9,9,0.13387322867728507,0.09512778446201445,-0.004730797142966326
sp_hospital,real,B,deepseek_flash,3,3,0.11270910155106817,0.0649842405618964,-0.08586063798653787
sp_hospital,real,B,gpt_6_sol,9,9,0.09834747829480052,0.05516402546093064,-0.00734952687542677
sp_hospital,real,B,gpt_6_sol_tools,9,9,0.09723636718368939,0.050691513023119694,-0.04623841576431566
sp_hospital,real,H,deepseek_flash,3,3,0.17419089844893185,0.07751532777290021,0.08143936201346214
sp_hospital,real,H,gpt_6_sol,9,9,0.050541410594088385,0.050026314505901864,0.03709491756901767
sp_hospital,real,H,gpt_6_sol_tools,9,9,0.06381816408155302,0.060401058433323586,0.0593171397912399
sp_hospital,real,R,deepseek_flash,3,3,0.07778894761874496,0.05094384731192303,-0.035916145454214655
sp_hospital,real,R,gpt_6_sol,9,9,0.0777966571066237,0.05094550556043312,-0.03592152687542679
sp_hospital,real,R,gpt_6_sol_tools,9,9,0.07779565886217929,0.05094507346043312,-0.03592208067542677
sp_hospital,real,S,deepseek_flash,3,3,0.16617861534679548,0.09416401417398305,0.16617861534679548
sp_hospital,real,S,gpt_6_sol,9,9,0.19137713979123994,0.06854648180665301,0.19137713979123994
sp_hospital,real,S,gpt_6_sol_tools,9,9,0.18983936201346208,0.06703092625109747,0.18983936201346208
sp_hospital__pwt,surrogate,B,deepseek_flash,3,3,0.23295235586772023,0.2396198200175593,-0.09554293239683936
sp_hospital__pwt,surrogate,B,gpt_6_sol,9,9,0.1383269924885377,0.1598904984879524,-0.08049848795239493
sp_hospital__pwt,surrogate,B,gpt_6_sol_tools,9,9,0.06267300751146228,0.10196454004487368,0.0227237342698273
sp_hospital__pwt,surrogate,H,deepseek_flash,3,3,0.053537734269827296,0.08294972695346796,0.053537734269827296
sp_hospital__pwt,surrogate,H,gpt_6_sol,9,9,0.06505706760316063,0.09415983806457906,0.06505706760316063
sp_hospital__pwt,surrogate,H,gpt_6_sol_tools,9,9,0.06092059311286703,0.09340349721978346,0.05427928982538285
sp_hospital__pwt,surrogate,R,deepseek_flash,3,3,0.030418687913087845,0.05080117566754131,0.005545283089019211
sp_hospital__pwt,surrogate,R,gpt_6_sol,9,9,0.030416533021168708,0.05080032657789485,0.005549956492049517
sp_hospital__pwt,surrogate,R,gpt_6_sol_tools,9,9,0.030417199687835357,0.050802076577894845,0.005549289825382868
sp_hospital__pwt,surrogate,S,deepseek_flash,3,3,0.16505706760316063,0.1375262615684811,0.16505706760316063
sp_hospital__pwt,surrogate,S,gpt_6_sol,9,9,0.11948883035801382,0.11703620134621012,0.11616817871427172
sp_hospital__pwt,surrogate,S,gpt_6_sol_tools,9,9,0.1028094820017559,0.09728593795727246,0.08950151204760509
sp_workplace,real,B,deepseek_flash,3,3,0.10539301201060676,0.046123265091249414,-0.10539301201060676
sp_workplace,real,B,gpt_6_sol,9,9,0.08454271304528674,0.045431887901003484,-0.08234856756616232
sp_workplace,real,B,gpt_6_sol_tools,9,9,0.11504211511464672,0.05523064524515157,0.04265143243383767
sp_workplace,real,H,deepseek_flash,3,3,0.08769899695389581,0.06322095887815575,-0.08769899695389581
sp_workplace,real,H,gpt_6_sol,9,9,0.10320698798939322,0.03975649924608745,0.10320698798939322
sp_workplace,real,H,gpt_6_sol_tools,9,9,0.16588010710757553,0.06585174049810222,0.10750698798939323
sp_workplace,real,R,deepseek_flash,3,3,0.026203578972802604,0.014008051827811322,0.0032234211416992307
sp_workplace,real,R,gpt_6_sol,9,9,0.026178551552019966,0.01399831490147143,0.0032187657671709996
sp_workplace,real,R,gpt_6_sol_tools,9,9,0.026185662663131087,0.014002592679249212,0.003234765767171003
sp_workplace,real,S,deepseek_flash,3,3,0.03510636844798004,0.015452368658555609,-0.026313932010606778
sp_workplace,real,S,gpt_6_sol,9,9,0.05085788488535329,0.02368673243903707,0.011329210211615447
sp_workplace,real,S,gpt_6_sol_tools,9,9,0.031706440440908853,0.013587565772370405,-0.007386012010606769
sp_workplace__pwt,surrogate,B,deepseek_flash,3,3,0.2570648884729371,0.16056094992980816,-0.2151946654188114
sp_workplace__pwt,surrogate,B,gpt_6_sol,9,9,0.15635496282431235,0.10918698330993605,-0.024972443196589186
sp_workplace__pwt,surrogate,B,gpt_6_sol_tools,9,9,0.18226844486039623,0.1372268626839287,0.03702755680341082
sp_workplace__pwt,surrogate,H,deepseek_flash,3,3,0.23620177819372953,0.20270759241927935,0.1834053345811886
sp_workplace__pwt,surrogate,H,gpt_6_sol,9,9,0.14295377736182602,0.06985879737950398,-0.06663910986325586
sp_workplace__pwt,surrogate,H,gpt_6_sol_tools,9,9,0.14897362865907557,0.1143498128217127,-0.13835022097436697
sp_workplace__pwt,surrogate,R,deepseek_flash,3,3,0.00833748218622965,0.013075722149761155,0.004305564567572473
sp_workplace__pwt,surrogate,R,gpt_6_sol,9,9,0.00833722263817396,0.013078837843810108,0.004284556803410789
sp_workplace__pwt,surrogate,R,gpt_6_sol_tools,9,9,0.00832544486039619,0.013077421177143445,0.004293667914521916
sp_workplace__pwt,surrogate,S,deepseek_flash,3,3,0.05708795513960385,0.02369435443768524,-0.029840398752144764
sp_workplace__pwt,surrogate,S,gpt_6_sol,9,9,0.060021555139603805,0.0238015485103728,-0.026795776529922526
sp_workplace__pwt,surrogate,S,gpt_6_sol_tools,9,9,0.057698221806270475,0.023807721104351903,-0.030450220974366955
