sample_arm,assumed_arm,profile_mae_penalty,rho2_bias_shift,abs_rho2_bias_shift
time_agnostic_t,time_respecting,0.028520501004341337,-0.0862853109953712,0.0862853109953712
time_agnostic_t,recent_history_k20,0.009798549518832994,-0.029640138307655467,0.029640138307655467
time_agnostic_t,node_panel_full_history,0.06738943983684052,-0.18644186063067608,0.18644186063067608
time_agnostic_t,event_sample_then_full_history,0.06942329839480253,-0.1931410290763455,0.1931410290763455
time_respecting,time_agnostic_t,0.0214740094682037,-0.0664865946319463,0.0664865946319463
time_respecting,recent_history_k20,0.039354873014771946,-0.1153212206485988,0.1153212206485988
time_respecting,node_panel_full_history,0.06338937584687596,-0.22138705512857815,0.22138705512857815
time_respecting,event_sample_then_full_history,0.06532961505636264,-0.22838444513827882,0.22838444513827882
recent_history_k20,time_agnostic_t,0.00759535666665849,0.013273627874069355,0.013273627874069355
recent_history_k20,time_respecting,0.024560007294522235,-0.1126388784804251,0.1126388784804251
recent_history_k20,node_panel_full_history,0.04859237914962325,-0.1942614314222199,0.1942614314222199
recent_history_k20,event_sample_then_full_history,0.051992276063955234,-0.204758121897765,0.204758121897765
node_panel_full_history,time_agnostic_t,0.37794102131325463,0.4532157086114448,0.4532157086114448
node_panel_full_history,time_respecting,0.19680896542842014,0.3086284753946651,0.3086284753946651
node_panel_full_history,recent_history_k20,0.35816324103529057,0.4401116117426237,0.4401116117426237
node_panel_full_history,event_sample_then_full_history,-0.0003074491343425974,-0.03733715986150772,0.03733715986150772
event_sample_then_full_history,time_agnostic_t,0.3998720781614107,0.3913179211373575,0.3913179211373575
event_sample_then_full_history,time_respecting,0.20885653868843262,0.26983172405654754,0.26983172405654754
event_sample_then_full_history,recent_history_k20,0.37773310949670336,0.3744821779777966,0.3744821779777966
event_sample_then_full_history,node_panel_full_history,0.014872101257513398,0.032428983267738354,0.032428983267738354
