arm,cases,share_delta_gt_0_upward,share_delta_lt_0_downward,share_delta_eq_0,median_delta,mean_delta
event_sample_then_full_history,256,0.07421875,0.89453125,0.03125,-0.11921631181408059,-0.160674437726428
node_panel_full_history,256,0.56640625,0.43359375,0.0,0.00416607816881949,0.005689894379206592
