sample_arm,assumed_arm,n,profile_mae,rho2_bias,pooled_profile_mae,pooled_rho2_bias
time_agnostic_t,time_agnostic_t,32,0.08735878452653183,-0.11714770917582062,0.08709317040581187,-0.12849251915247167
time_agnostic_t,time_respecting,32,0.11587928553087316,-0.20343302017119183,0.10889835929623254,-0.20698153296245697
time_agnostic_t,recent_history_k20,32,0.09715733404536482,-0.1467878474834761,0.09428484589422806,-0.15782919034079984
time_agnostic_t,node_panel_full_history,32,0.15474822436337235,-0.3035895698064967,0.14246389027766537,-0.2988062495163916
time_agnostic_t,event_sample_then_full_history,32,0.15678208292133436,-0.31028873825216613,0.14419493343611584,-0.3046151132340283
time_respecting,time_agnostic_t,32,0.1139659376016861,-0.14974178895899268,0.10473470630142287,-0.13901732226814015
time_respecting,time_respecting,32,0.09249192813348239,-0.08325519432704638,0.08935835409432118,-0.07651674984481716
time_respecting,recent_history_k20,32,0.13184680114825434,-0.19857641497564518,0.1185397434458321,-0.18544291074504
time_respecting,node_panel_full_history,32,0.15588130398035835,-0.3046422494556245,0.1421009690185518,-0.29509908624372955
time_respecting,event_sample_then_full_history,32,0.15782154318984504,-0.3116396394653252,0.1439491315076703,-0.30180115037452515
recent_history_k20,time_agnostic_t,32,0.1059181632888914,-0.07166856608976514,0.10246144072356964,-0.07201112253471681
recent_history_k20,time_respecting,32,0.12288281391675515,-0.1975810724442596,0.11209938312151098,-0.19000130612863145
recent_history_k20,recent_history_k20,32,0.09832280662223292,-0.0849421939638345,0.09483168448939507,-0.08554747665591578
recent_history_k20,node_panel_full_history,32,0.14691518577185617,-0.2792036253860544,0.13453800036267238,-0.2737259992350742
recent_history_k20,event_sample_then_full_history,32,0.15031508268618815,-0.2897003158615995,0.1376263624417099,-0.2833986978828352
node_panel_full_history,time_agnostic_t,32,0.3988772509046153,0.4707073308408371,0.3912434673604113,0.48683118054105534
node_panel_full_history,time_respecting,32,0.21774519501978076,0.3261200976240574,0.20871202391728838,0.32827291310487206
node_panel_full_history,recent_history_k20,32,0.3790994706266512,0.457603233972016,0.37492512743881756,0.47326546299494143
node_panel_full_history,node_panel_full_history,32,0.02093622959136064,0.017491622229392306,0.021913596058159616,0.017204687485670705
node_panel_full_history,event_sample_then_full_history,32,0.020628780457018044,-0.01984553763211542,0.020701611115234855,-0.019805716896436322
event_sample_then_full_history,time_agnostic_t,32,0.48906603415619526,0.5290952261550409,0.4899391931688224,0.5520583449521905
event_sample_then_full_history,time_respecting,32,0.2980504946832172,0.4076090290742309,0.29436864545988745,0.4208042143632582
event_sample_then_full_history,recent_history_k20,32,0.46692706549148794,0.51225948299548,0.47143764164403246,0.5347714616817945
event_sample_then_full_history,node_panel_full_history,32,0.10406605725229796,0.17020628828542173,0.10731437661839617,0.1798978380414239
event_sample_then_full_history,event_sample_then_full_history,32,0.08919395599478457,0.13777730501768337,0.09225127117802688,0.14748664932160294
