arm_a,arm_b,correction_a,correction_b,median_profile_mae_penalty,median_abs_rho2_bias_shift,min_abs_rho2_bias_shift,max_abs_rho2_bias_shift,observable_auc_logo,observable_distance_2auc_minus1,observable_balanced_accuracy,observable_feature_count
time_agnostic_t,node_panel_full_history,upward,none,0.22266523057504758,0.31982878462106046,0.18644186063067608,0.4532157086114448,0.8759765625,0.751953125,0.890625,447
time_agnostic_t,event_sample_then_full_history,upward,downward,0.23464768827810661,0.2922294751068515,0.1931410290763455,0.3913179211373575,0.8583984375,0.716796875,0.90625,447
time_respecting,node_panel_full_history,upward,none,0.13009917063764803,0.2650077652616216,0.22138705512857815,0.3086284753946651,1.0,1.0,0.984375,447
time_respecting,event_sample_then_full_history,upward,downward,0.13709307687239763,0.24910808459741318,0.22838444513827882,0.26983172405654754,0.9951171875,0.990234375,0.953125,447
recent_history_k20,node_panel_full_history,upward,none,0.20337781009245692,0.3171865215824218,0.1942614314222199,0.4401116117426237,0.8369140625,0.673828125,0.828125,447
recent_history_k20,event_sample_then_full_history,upward,downward,0.2148626927803293,0.2896201499377808,0.204758121897765,0.3744821779777966,0.91015625,0.8203125,0.859375,447
node_panel_full_history,event_sample_then_full_history,none,downward,0.0072823260615854,0.03488307156462304,0.032428983267738354,0.03733715986150772,0.64453125,0.2890625,0.609375,447
