scope,cases,direction_hit_rate,mean_delta_i_true,mean_Delta_i_model,median_magnitude_ratio,share_moved_at_all
pooled (both arms),64,0.828125,0.05821677330937256,0.03013102670859375,0.8235239658054635,0.9375
event_sample_then_full_history,32,0.8125,-0.16314259290403949,-0.15491861959687503,1.0734943885451647,1.0
time_agnostic_t,32,0.84375,0.2795761395227846,0.21518067301406252,0.6669070943399575,0.875
