strategy,n,selection_mean,selection_lo,selection_hi,selection_median,censoring_mean,censoring_lo,censoring_hi,censoring_median,total_bias_mean,total_bias_lo,total_bias_hi,total_bias_median,channels,share_of_total_selection,share_of_total_censoring,share_of_movement_selection,share_of_movement_censoring
event_sample_then_full_history,32,0.16314259290403949,0.10481221513766845,0.21898231940793192,0.12777053209923206,0.0,0.0,0.0,0.0,0.16314259290403949,0.10481221513766845,0.21898231940793192,0.12777053209923206,single,1.0,0.0,1.0,0.0
node_panel_full_history,32,-0.002173654723659233,-0.01608974903590144,0.009234124157880289,-0.002073997755480503,0.0,0.0,0.0,0.0,-0.002173654723659233,-0.01608974903590144,0.009234124157880289,-0.002073997755480503,single,1.0,-0.0,1.0,0.0
recent_history_k20,32,0.16096372356323604,0.12374973808264651,0.1978778995058655,0.15165537545712995,-0.43909533141270174,-0.515252453235297,-0.36673342819054633,-0.4508175411229861,-0.2781316078494657,-0.3326557424825065,-0.22782231848051282,-0.2646964073912364,opposed,-0.5787322225180357,1.5787322225180356,0.2682464704572963,0.7317535295427037
time_agnostic_t,32,0.00857781834728168,0.0007856804644798249,0.01869368424607106,0.004521793653568758,-0.2881539578700663,-0.34157302669560824,-0.23633030028921556,-0.2747599882016004,-0.2795761395227846,-0.3363061134212977,-0.22347749087995647,-0.2775434069361622,opposed,-0.030681510811056228,1.0306815108110563,0.028907650055647095,0.971092349944353
time_respecting,32,0.1974314948169938,0.14539350295765288,0.25227235814056365,0.16323179185480444,-0.4981502300979267,-0.5768078856252112,-0.4221580782901372,-0.5083714150646077,-0.3007187352809329,-0.36331795986047494,-0.24318406368549744,-0.30856140519097763,opposed,-0.6565320735089961,1.6565320735089961,0.2838365180470238,0.7161634819529761
