scope,n,var_true,var_naive,var_delta,var_ratio_true_over_delta,cov_naive_true,corr_naive_true,mean_delta
pooled,160,0.05322894492676916,0.07386916437748543,0.06292204160810637,0.8459506965506913,0.03208803384807411,0.5117261197815479,0.13949150889456058
event_sample_then_full_history,32,0.054602595118427716,0.10133118216721107,0.021467844029784692,2.543459652616795,0.06723296662792703,0.9038660579751122,-0.16314259290403949
node_panel_full_history,32,0.054602595118427716,0.05785664274990041,0.002566189320385503,21.277695563874104,0.05494652427397131,0.9775904920738271,0.002173654723659233
recent_history_k20,32,0.054602595118427716,0.005741664728063661,0.03448049940492795,1.5835790101875358,0.012931880220781712,0.7303585483166364,0.2781316078494657
time_agnostic_t,32,0.054602595118427716,0.03138355689687103,0.04006957111700675,1.3626947730232308,0.022958290449145997,0.5546024990521445,0.2795761395227846
time_respecting,32,0.054602595118427716,0.0016274113164002186,0.04320820816920381,1.2637088514433037,0.006510899132812064,0.6906939620071714,0.3007187352809329
