condition,answers,complete_rate,truncation_rate,validity_rate,monotone_rate,median_completion_tokens
direction_only,480,0.975,0.025,0.9729166666666667,1.0,8309.0
hidden,480,0.9916666666666667,0.008333333333333333,0.9916666666666667,1.0,9022.5
mechanism,480,0.99375,0.00625,0.99375,1.0,9711.0
mechanism_direction,480,0.9958333333333333,0.004166666666666667,0.9958333333333333,1.0,9191.0
metadata_only,96,1.0,0.0,1.0,1.0,4698.5
mismatched,192,0.9427083333333334,0.057291666666666664,0.9427083333333334,1.0,10052.0
