graph_id,stratum,L,target_cells,calibration_mean,validation_mean,validation_mcse,budget_relative_error,stationary_shift_rho2,rho_event_weighted,distinct_dyads_mean,revisit_rate_mean,weight_ess_mean,near_certain_inclusion_share,stationary_uniform_rho2,stationary_uniform_rho3,stationary_uniform_rho4,stationary_uniform_rho5,stationary_degree_rho2,stationary_degree_rho3,stationary_degree_rho4,stationary_degree_rho5,stationary_interaction_rho2,stationary_interaction_rho3,stationary_interaction_rho4,stationary_interaction_rho5,plugin_rho2_bias,plugin_rho2_sd,plugin_rho2_rmse,plugin_rho3_bias,plugin_rho3_sd,plugin_rho3_rmse,plugin_rho4_bias,plugin_rho4_sd,plugin_rho4_rmse,plugin_rho5_bias,plugin_rho5_sd,plugin_rho5_rmse,design_S_rho2_bias,design_S_rho2_sd,design_S_rho2_rmse,design_S_rho3_bias,design_S_rho3_sd,design_S_rho3_rmse,design_S_rho4_bias,design_S_rho4_sd,design_S_rho4_rmse,design_S_rho5_bias,design_S_rho5_sd,design_S_rho5_rmse,design_S_obs_rho2_bias,design_S_obs_rho2_sd,design_S_obs_rho2_rmse,design_S_obs_rho3_bias,design_S_obs_rho3_sd,design_S_obs_rho3_rmse,design_S_obs_rho4_bias,design_S_obs_rho4_sd,design_S_obs_rho4_rmse,design_S_obs_rho5_bias,design_S_obs_rho5_sd,design_S_obs_rho5_rmse,gate_applicable,gate_pass
sp_hospital,real,109,190.10000000000002,190.76953125,188.2275390625,0.46587889804301696,-0.009849873421883338,0.3120587303825714,0.757186035035776,79.398,0.27157798165137614,17.84853580870373,0.0,0.44512730465320455,0.16417910447761194,0.0456540825285338,0.014047410008779631,0.5481156423231169,0.23937483952410182,0.07960803190150455,0.02328517111225648,0.757186035035776,0.44075376264495436,0.18501727115716754,0.0638107574636072,0.2919519871590945,0.04876672585747982,0.29599286843343336,0.24759098264212212,0.05383470098156921,0.2533704235707806,0.11688974126386394,0.03737091633752586,0.12271267422418726,0.04728128170251213,0.02294661038416464,0.05255035661750392,0.017374495279662228,0.1270528499553707,0.1281723735495413,0.007719475187006358,0.06424636866843804,0.0646765690830658,0.002855506244772342,0.025055503488402936,0.025205245341322274,0.0011789152679463205,0.009549949910393152,0.009617701542298143,0.001952590984396818,0.12949527834624558,0.12944524208486768,-0.005485741280430945,0.06285062369280901,0.06305825921378051,-0.0032323521032758054,0.023754807175193002,0.02396194218309989,-0.0015030487933564828,0.008396296731125975,0.008525635265100777,True,False
sp_highschool2013,real,674,1124.4,1124.828125,1119.5751953125,3.0714818268744675,-0.004291003813144869,0.4529975879122674,0.9385596367262928,327.594,0.5139554896142433,47.721662956647,0.0,0.4855620488140254,0.2671020969405294,0.12822275696115504,0.05173599174974218,0.5060041878626398,0.28838581253010154,0.14078318819130223,0.054244396718336266,0.9385596367262928,0.8329301674199503,0.6536539563307658,0.4652905977465147,0.40141665069741395,0.017437082000046122,0.4017948173309074,0.4606242769529875,0.02468606812599058,0.4612846378062291,0.3774944978628585,0.033465991012304026,0.378973545908699,0.24026412568525735,0.030592869233465027,0.24220205989130048,0.00817368173133487,0.07229295399761103,0.0727176319715388,0.008045134513860352,0.04539256196680913,0.04607763434221426,0.0034048781766357894,0.02495530663421573,0.025174148590890903,0.001870200145179371,0.01193617991511496,0.012075908543793163,-0.022022551755207065,0.0738283114761919,0.07700754340751921,-0.026927265976691345,0.043226189699091276,0.05090886588213688,-0.026009137224064227,0.02173800996009533,0.03389017195424629,-0.017278012540904143,0.008480704531842964,0.01924526290728984,True,True
copenhagen_bluetooth,real,5895,14447.6,14447.5390625,14427.6142578125,4.330083878793501,-0.0013833261017401066,0.4573932295615263,0.9043189179809906,4195.415,0.28830958439355386,496.2348358609594,0.0005029548598013328,0.44692568841946434,0.22074688796680497,0.1074311580535647,0.041518923676600025,0.49519817041533853,0.24929933981993443,0.12120168057032103,0.04735617543791519,0.9043189179809906,0.7917593153961272,0.6448866762643538,0.4232678929339948,0.42334950545656214,0.005241153548901604,0.4233819150496965,0.5004688771244991,0.006896257967654857,0.5005163411776278,0.43184644901525254,0.0071265883466456285,0.4319051898279115,0.2648706842211847,0.00565173687791081,0.26493091466909996,0.000851758236577127,0.020362090060624925,0.02036972235988847,0.00047902826476131644,0.011672271551394631,0.011676264356581138,0.00011610216141751117,0.0060017525899865995,0.0059998744011141815,6.097846608063562e-05,0.002446604126549347,0.0024461406855742765,-0.013112323588784336,0.02057155458466881,0.02438644498628218,-0.016323061037399,0.011297346626303448,0.01984804102133782,-0.014705321113529818,0.005461636967909217,0.015685857258782163,-0.009293533536902841,0.0020310061320879345,0.009512656123512934,True,True
sp_workplace,real,404,622.0,622.3671875,623.427734375,0.9818761059788167,0.00229539288585209,0.4341385014911632,0.7242648468351033,266.43,0.340519801980198,46.748271536136855,0.0,0.2901263453439401,0.11909218530650445,0.04609265325222274,0.0,0.29476680594258386,0.12364595613454253,0.047945372370414276,0.0,0.7242648468351033,0.5131567176577336,0.2751984050914389,0.0,0.38621473440127685,0.028215222449816457,0.3872429776610074,0.32249376521146306,0.03130640507692298,0.3240082398768708,0.17526483579801583,0.024539089161087754,0.1769726741541315,0.0,0.0,0.0,0.005218942534667703,0.05057969620388185,0.05082307274839908,0.003425674939579737,0.024271020399903587,0.024499563212697247,0.0011391422934297485,0.0112284464300961,0.011280495396434711,0.0,0.0,0.0,-0.018519484177290435,0.050077761068181514,0.053368957884159456,-0.016905630315955322,0.021876420305628405,0.027638732315409663,-0.009987327090566094,0.009223571461998235,0.013591758482920041,0.0,0.0,0.0,True,True
snap_email_eu,real,1362,3213.7000000000003,3214.01953125,3212.7109375,3.453457092081582,-0.0003077644148490129,0.4390994984837051,0.9448265901171713,895.557,0.3424691629955947,152.8225119552168,6.225099601593625e-05,0.5057270916334662,0.2975597609561753,0.1593625498007968,0.03791085657370518,0.579662094695193,0.3642822379170425,0.18680777220244765,0.04792098739493462,0.9448265901171713,0.8584676861229967,0.7108210414823641,0.33990804431686195,0.41412422307090413,0.00956640204410586,0.4142345913442061,0.5054562247594672,0.014255661939125504,0.5056570140139641,0.46049311619264044,0.01689857315982487,0.4608027628756926,0.20371726115034813,0.012988564453478608,0.20413048913465806,0.0026291091484552664,0.040726474981767916,0.04079092219588346,0.001579750453820472,0.02733634711766354,0.02736830665861519,0.0007643452390848071,0.016294884549971436,0.016304660771660123,0.00016891490989784375,0.004995835660132102,0.004996193332517299,-0.017443657786812283,0.04075904381599296,0.04431613194001316,-0.023227123736385025,0.026234258322904574,0.03502923565407155,-0.022484782444738338,0.014478013570789466,0.026738898736975318,-0.010152759569070718,0.0038096517703122843,0.0108433140705132,True,True
snap_collegemsg,real,1519,1549.4,1549.0390625,1548.2060546875,2.311766647322939,-0.0007705855895831231,0.19619000186148078,0.2992395754992897,1168.231,0.23092100065832785,525.8289153166548,0.0,0.10304957363780894,0.013007660066483595,0.003251915016620899,0.00036132389073565546,0.15652679613278767,0.02613621889071385,0.00647812871266673,0.0005872267221203451,0.2992395754992897,0.07238238489178575,0.027325144146402608,0.00501378791677112,0.14881431774389142,0.017967203460776224,0.14989395833515307,0.039459369389915816,0.005859145377769158,0.039891566622822686,0.013884809971647151,0.002775969225289873,0.014159316617809241,0.002050216683451258,0.0008789306692668929,0.0022305010762961866,4.34653156578535e-05,0.010652420520998027,0.010647181698782496,4.3010302586913435e-05,0.0022569817191284256,0.0022562629279691765,1.3162382597116905e-05,0.0008738877597733653,0.0008735498756113827,-1.933484116066383e-05,0.00021898269034162054,0.00021972551361481196,-0.009459806486729297,0.009733843003457473,0.01356985227195594,-0.0026844952655829327,0.0017568112781077858,0.0032077740431578094,-0.0009769655404217484,0.0005921817545491404,0.0011422741432607303,-0.00016587555606966488,0.00015100266826943915,0.00022426257851029525,True,True
snap_mathoverflow,real,18219,20867.7,20867.23046875,20721.8466796875,53.82927734039868,-0.006989429611912224,0.18385632841252153,0.2682402718976747,15144.326,0.16876195180855152,9614.62916482721,4.787590565254859e-05,0.08438394348515314,0.01923015543710702,0.005303586437287883,0.0011490217356611662,0.3676999856028223,0.15463010460339952,0.06531672040453479,0.020399247828080783,0.2682402718976747,0.11528246265120723,0.05246119131955917,0.018783887962585896,0.15252290819969255,0.017116326468125585,0.15347935753326422,0.06937708778621526,0.006555362363709208,0.0696857956303868,0.02854150997186181,0.002586297754876878,0.028658332795448715,0.008304496982665265,0.0007886833801188376,0.008341826513881602,-0.00039152113348074613,0.006256339846081251,0.00626545571202577,-6.771273153484414e-05,0.0014962688814413557,0.001497052690794852,-2.185087906633309e-05,0.00044472047986745833,0.00044503481866512465,-6.7566548420533185e-06,0.00011410904847855476,0.00011425194289109978,-0.0038265220077474266,0.005999534897974838,0.007113416566517198,-0.0026029348808717795,0.001296876489704469,0.0029078302452133628,-0.0012784588443697353,0.000337043464913393,0.0013220974683020848,-0.00042364951421189757,7.231346197528173e-05,0.0004297707742949077,True,True
nr_digg_reply,real,11309,8542.800000000001,8543.046875,8424.611328125,42.5435385216987,-0.013834886907688472,0.003976519157372977,0.007041518276626103,8341.578,0.26239472986117257,6523.609650634845,0.0,0.0030649991192531266,0.00011743291644647995,2.348658328929599e-05,0.0,0.027058931750755983,0.0012877744183835205,0.00011135093166591718,0.0,0.007041518276626103,0.0007192325093094208,0.00010440471909330302,0.0,0.0038461175467642034,0.001417625801986176,0.0040988136619112105,0.00037102038363470816,0.00019517655435306587,0.00041918005505297136,6.344123785576875e-05,7.936836724392637e-05,0.0001015767150577337,0.0,0.0,0.0,-7.553778978521821e-05,0.0006426733918123596,0.000646778182332007,-2.1737356189743253e-06,5.88418833558076e-05,5.8852612483753065e-05,-1.6201558480854488e-06,2.4367935287947634e-05,2.4409575557544858e-05,0.0,0.0,0.0,6.061168875891483e-05,0.0006510965337478452,0.0006535874435577905,-1.3727738925479343e-05,4.822065906251241e-05,5.011344674305249e-05,-3.813934217739103e-06,1.813620708556276e-05,1.852401629399541e-05,0.0,0.0,0.0,False,True
sp_hospital__pwt,surrogate,116,398.40000000000003,399.30078125,396.5341796875,0.8069772945134072,-0.004683283916917756,0.15824112879240315,0.9931840611892425,83.559,0.27966379310344824,19.15090364737388,0.0,0.8349429323968394,0.704126426690079,0.5636523266022827,0.39508340649692714,0.8676555662031292,0.7624811608392755,0.636773410870661,0.4725842502408321,0.9931840611892425,0.9808475203552923,0.9551258327165063,0.8961571675302246,0.15586535194210516,0.010846179937473053,0.1562418955199057,0.26878020266178937,0.018138171636314808,0.2693909085695927,0.3736521170696333,0.027569885998099238,0.37466684281632556,0.46463248219865655,0.03897183976684252,0.4662624035933011,0.03004013515774384,0.1506264017776217,0.153518840276549,0.028747664789684158,0.16136328934035024,0.16382460519241576,0.02372142571468472,0.1489223729240252,0.1507262462947393,0.020740301914505987,0.11878103214678552,0.12051964482092827,0.02220690170366635,0.15850603332191734,0.15997557601123252,0.013446883121834952,0.16792630623436594,0.1683801168395034,0.0010011769346364163,0.1522737242434984,0.15220086124311008,-0.008264331724285756,0.11751842920979569,0.11775003100459404,True,False
sp_highschool2013__pwt,surrogate,746,1677.0,1677.36328125,1687.6767578125,4.117987111723677,0.006366581879844961,0.32520750432611367,0.9884938570246355,358.75,0.5191018766756033,53.190696076289704,0.0,0.6632863526985219,0.512547267102097,0.40477827432107255,0.301821931935373,0.6711919078752902,0.5226435004413172,0.4141590478296908,0.30788820928564486,0.9884938570246355,0.9766641203556348,0.9611793663929382,0.9352122986822841,0.31303676028270844,0.008022250702033178,0.31313943449861725,0.43932400541983774,0.011386832135559962,0.43947140068981383,0.5157654999922208,0.014744485955231755,0.5159760008454303,0.5661774089387549,0.018758574674463197,0.5664877674162928,0.010581487974263948,0.08095908154007526,0.08160751435179385,0.010089212271465309,0.07156391435940912,0.07223617271742108,0.009830850103679567,0.060952843942265064,0.06171044927098234,0.007148605572660449,0.04734913609113102,0.04786231617380569,-0.013686149242534529,0.084681908071699,0.08573893637197715,-0.024522599999226458,0.07278105596175141,0.07676680881424434,-0.031074352445215336,0.060080358204758245,0.06761401609473817,-0.038330265910967276,0.04447044289707876,0.05869286120114047,True,False
copenhagen_bluetooth__pwt,surrogate,7651,24759.2,24760.08984375,24758.6474609375,6.820832366718507,-2.231651517418687e-05,0.27488126316090067,0.9896429882960698,5163.888,0.32507018690367273,641.493353074399,0.0010059097196026656,0.7147617251351691,0.572073431409531,0.467534263799824,0.3588205708537659,0.7456765251348987,0.6041097518286275,0.49546607207845705,0.38062723036176466,0.9896429882960698,0.9777156707864182,0.9618098330818509,0.9313578529097437,0.2699140270019226,0.0017524823149368497,0.26991971046121177,0.39502495832584306,0.002503756782670156,0.39503288499764516,0.4761674444000159,0.00323801191998569,0.4761784427532551,0.5407247460030282,0.0042381123406367216,0.5407413379561943,0.00035965804147009006,0.024774843796590514,0.02476506503458265,0.0002079308028574145,0.022210866765300246,0.022200732309593525,-3.3276847309471336e-05,0.018802141656028233,0.018792767695873475,0.0003637028763432415,0.01508356485818199,0.015080407643177687,-0.010569098207190986,0.02538051088700161,0.02748148466632704,-0.01586707630190909,0.02248448016362609,0.027510187326713658,-0.019429069459819648,0.01873952101599268,0.026987167660490457,-0.021772614780974864,0.014702120402110509,0.02626752646090915,True,True
sp_workplace__pwt,surrogate,414,1026.5,1026.19140625,1024.5751953125,1.5359039666146888,-0.0018751141622016562,0.3453641532242383,0.9775588186430497,272.631,0.34147101449275363,48.27936069977284,0.0,0.6321946654188114,0.4473561066916238,0.3221806270472625,0.0,0.6400576342018026,0.452182353051481,0.3264497845959885,0.0,0.9775588186430497,0.9500568697363545,0.9113854490153229,0.0,0.33403236054437413,0.01105656989764873,0.3342151154286868,0.47727024035027926,0.01635154663421324,0.4775499848479391,0.5453579626985705,0.020143204446329183,0.5457294663250434,0.0,0.0,0.0,0.009317725135283506,0.08301205386943511,0.08349209596261835,0.007629075637874461,0.0705140804224056,0.07089052191490819,0.005743254632273653,0.052754355768303035,0.05303983412726035,0.0,0.0,0.0,-0.011017894848571519,0.08506414139345342,0.08573252737292077,-0.02220078133027714,0.06972291269695984,0.07313889500168648,-0.028705900940692808,0.05002762435589343,0.05765664909021818,0.0,0.0,0.0,True,True
snap_email_eu__pwt,surrogate,1537,4138.3,4137.4453125,4129.8896484375,4.1573970382348735,-0.002032320412367441,0.2947812008778813,0.9819699458978016,987.148,0.3577436564736499,172.3433195826249,6.225099601593625e-05,0.6871887450199203,0.4856200199203187,0.3252614541832669,0.07806274900398406,0.7455391425606471,0.5550951318558377,0.3812310049592788,0.09199374930072554,0.9819699458978016,0.9541726094832307,0.9044545547551559,0.5602917546805323,0.28518784765170124,0.005448544757462465,0.2852398383843745,0.4443090370447435,0.008361875939479258,0.44438763647055396,0.5305920471567069,0.011526434805908217,0.5307171057602917,0.34674293631811487,0.015093484087751987,0.34707095720494047,0.0024820972519048468,0.046891917200725455,0.04693414379349905,0.002064541389305674,0.03866134429797034,0.03869712101088961,0.0009599918465773571,0.02678123571393153,0.026785050608955207,0.00037644550717449987,0.00844878590694937,0.008452946973572985,-0.012773869062049692,0.047914413475278486,0.049564775380058546,-0.02218799093125695,0.03848388727016136,0.044405354535332835,-0.027917205159621594,0.0254184446652614,0.037746808816059615,-0.018345822921548897,0.006848982941224986,0.019581391100498724,True,True
snap_collegemsg__pwt,surrogate,1141,2526.6000000000004,2527.33984375,2536.9443359375,5.202153086702412,0.0040941723808674245,0.3383377794257715,0.8481657892537813,908.451,0.20381156879929888,399.428686806039,0.0,0.5098280098280098,0.21701112877583467,0.07754010695187166,0.021462639109697933,0.5896890580396096,0.29237030041389445,0.10996741982578574,0.03300229225024504,0.8481657892537813,0.6048466616528787,0.36958301997158854,0.17534887607587532,0.3149581275564316,0.013559832901168335,0.31524959526237745,0.3360164851306083,0.01694495538670483,0.33644304519646817,0.22745905588955737,0.014390641968079043,0.2279133729991419,0.10267443676203836,0.009072260011945785,0.10307406832091397,0.0012058452843201062,0.026807024208636922,0.02682073811857609,0.0008298709330318566,0.015066959926609329,0.015082272836482984,0.00036295975264122315,0.0071193354986750735,0.007125025809552534,7.841169492062844e-05,0.0027390637516428763,0.0027388165618070716,-0.01250929406590423,0.026162322510485465,0.028987326369480478,-0.0150453079298275,0.014012609604741672,0.020555246663815398,-0.011227196077209983,0.0059534700278413176,0.012706623993931342,-0.005264506845550295,0.001970758569896395,0.0056209463418827625,True,True
snap_mathoverflow__pwt,surrogate,14498,29482.0,29481.45703125,29457.03125,29.21942033642796,-0.0008469150668204328,0.31259900051274575,0.6633857612289693,12317.82,0.15037798317009243,7748.889205163868,3.191727043503239e-05,0.35078676071622356,0.13837732597108296,0.05772238358175609,0.021421808006979244,0.6027367642158894,0.38252181799597845,0.23785195197857578,0.12707017668152415,0.6633857612289693,0.42514746146024623,0.27012275862422236,0.15524240538263143,0.2861751185378159,0.03523596908866716,0.2883340604476565,0.2520496344093306,0.021852575287790464,0.25299422071964217,0.17580833043328753,0.01327519275608333,0.17630831960434673,0.10045248551577754,0.007086905331067571,0.10070191581713744,-0.000699735295427828,0.01981146001477802,0.0198139113617907,-0.0002695538339595738,0.008000653485041196,0.008001193973458989,-0.00013150678385807218,0.0034402749607538065,0.0034410681986825993,-6.661953328246373e-05,0.001332448392158621,0.0013334472097773881,-0.012609864974628404,0.019110380706103325,0.022887772691108116,-0.00883635749584602,0.007490415063673283,0.011581512220028598,-0.005921187956955946,0.003073528248893717,0.006670651852888978,-0.003506439478025671,0.0010981409199494862,0.0036742108512773717,True,True
nr_digg_reply__pwt,surrogate,11315,8592.300000000001,8592.63671875,8498.8310546875,46.97116544709375,-0.010878221816335682,0.01012098143994232,0.01827082584132803,8370.296,0.26024781263809105,6541.796247100893,0.0,0.00814984440138571,0.0006928542070342317,0.00015266279138042394,2.348658328929599e-05,0.040036811343043564,0.00673609090430302,0.0010253788374366957,1.0262278212656092e-05,0.01827082584132803,0.003074138951080589,0.0011948540074011346,0.0004988225467791144,0.008674091420052113,0.0029818672533183824,0.009171832027873044,0.0015625845631099167,0.0005537413734543282,0.0016577072709123947,0.00048756602602025614,0.0002214006057864108,0.0005354342534275633,0.00011723972702534202,7.94765893013392e-05,0.00014161696689204823,-0.0001881654741115596,0.0014730793527098828,0.0014843177093359814,-8.47601977170217e-06,0.00020244674914393442,0.00020252294799325444,-1.6519905780782514e-06,6.940925429612226e-05,6.939420732476077e-05,1.5436027082396553e-07,2.4022308466531802e-05,2.401079048782762e-05,-0.00041846361138007156,0.0013793393494766087,0.0014407589173844428,-0.00012076203530568801,0.00014709284270227613,0.00019025808061954832,-5.1929605534534716e-05,3.9784822465391444e-05,6.540591102856448e-05,-1.6932832255413687e-05,3.961012360854692e-06,1.738950078334335e-05,False,True
dar_a0_r1,synthetic,337,496.3,495.71875,494.255859375,0.49369319870040224,-0.004118760074551705,0.19908770519854874,0.5855395106297633,283.847,0.15772403560830858,196.88175561011525,0.0,0.38645180543121455,0.08296031035511787,0.011339898537749925,0.0002984183825723665,0.3848067873118918,0.08498391590899837,0.012127055593366258,0.0003664729595309146,0.5855395106297633,0.17308463698355395,0.03018451664661051,0.0008022462896109105,0.17296078904393858,0.027447861934948706,0.1751230033044689,0.07308187898839509,0.01986084588420277,0.07572991339299975,0.013402677093909611,0.008433068265201165,0.01583279119450474,0.0003857556696512733,0.001391382358505786,0.0014431965768257854,0.0013169516350020616,0.0315817102168124,0.03159337553044038,0.0003878081095459035,0.013503721198646722,0.013502537941231626,-0.00019614731494689563,0.00451383803442322,0.004515842428203795,-3.1294393486106507e-06,0.0006856179192348568,0.0006852821700842618,-0.023029879184409074,0.029647919187213188,0.03752992736827333,-0.00967462918826588,0.011175441137103139,0.014777146005054373,-0.0022927732953424325,0.0032391324733310797,0.003967152200816542,-5.470686540325604e-05,0.0004960192663629449,0.0004987804312649815,False,True
