arm,estimator,n,profile_mae,rho2_bias,pooled_profile_mae,pooled_rho2_bias
time_agnostic_t,mean floor (panel LOGO),32,0.1413112035062518,-0.0116012372519387,0.1304250740299866,0.0009667697709948
time_agnostic_t,naive read-off,32,0.1396948859874134,-0.2775883192459905,0.1312550777750945,-0.2795761395227846
time_agnostic_t,"occupancy MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.0563296417651933,-0.0478400711064026,0.0536428600160263,-0.0555512657838343
time_agnostic_t,"mask MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.0593683805871649,-0.0376110445352411,0.0559251492798607,-0.0439064219161412
time_agnostic_t,supervised ExtraTrees (label-informed performance reference; panel backbones held out),32,0.0443218642773526,-0.01450973859468,0.0439517406131533,-0.0131706466444001
time_respecting,mean floor (panel LOGO),32,0.1413112035062518,-0.0116012372519387,0.1304250740299866,0.0009667697709948
time_respecting,naive read-off,32,0.1571983652422547,-0.3101282250440511,0.1435240501353503,-0.3007187352809329
time_respecting,"occupancy MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.1142924233424111,-0.1509941098431458,0.1070149990080878,-0.1485425740375696
time_respecting,"mask MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.1116131425568097,-0.1146795646920055,0.1013000144905218,-0.1086684685554935
time_respecting,supervised ExtraTrees (label-informed performance reference; panel backbones held out),32,0.0716445393331835,0.010197310737113,0.0669816681048329,0.0055578041916577
recent_history_k20,mean floor (panel LOGO),32,0.1413112035062518,-0.0116012372519387,0.1304250740299866,0.0009667697709948
recent_history_k20,naive read-off,32,0.1480564160629001,-0.2836358902867139,0.1357714581680353,-0.2781316078494657
recent_history_k20,"occupancy MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.0786810714175282,-0.0609665586538129,0.0762624085954648,-0.0728745266363052
recent_history_k20,"mask MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.0813053323005752,-0.0514976223248407,0.0752677928357539,-0.0663118531016539
recent_history_k20,supervised ExtraTrees (label-informed performance reference; panel backbones held out),32,0.0516245774553582,-0.0015355938859607,0.0511796654465097,-0.0052413051402041
node_panel_full_history,mean floor (panel LOGO),32,0.1413112035062518,-0.0116012372519387,0.1304250740299866,0.0009667697709948
node_panel_full_history,naive read-off,32,0.0203916784508188,-0.0012575735483711,0.0218632428902519,-0.0021736547236592
node_panel_full_history,"occupancy MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.2538720466516961,0.3021547576512585,0.2302785544425299,0.2837824110147069
node_panel_full_history,"mask MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.1867403339097042,0.288035543522731,0.1633639301761293,0.2684407795161988
node_panel_full_history,supervised ExtraTrees (label-informed performance reference; panel backbones held out),32,0.0242782305207573,0.001120068094799,0.0264509738669461,0.000122018312779
event_sample_then_full_history,mean floor (panel LOGO),32,0.1413112035062518,-0.0116012372519387,0.1304250740299866,0.0009667697709948
event_sample_then_full_history,naive read-off,32,0.0979483187101477,0.1531261554184632,0.1016952951242758,0.1631425929040394
event_sample_then_full_history,"occupancy MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.2771696462751193,0.3334459119984629,0.2530570613427033,0.3168392348887496
event_sample_then_full_history,"mask MLE (uniform; censoring-aware, mechanism-agnostic)",32,0.2337332290892574,0.3310432827677478,0.2116600637604967,0.3145538610648707
event_sample_then_full_history,supervised ExtraTrees (label-informed performance reference; panel backbones held out),32,0.0262739273923765,0.0134462587381834,0.0279318260300432,0.015066922046109
