model,shift_direction_named,shift_process_only,difference,named_arms,process_only_arms
deepseek-v4-pro_nothink,0.06963920966632267,0.14115252415458934,-0.07151331448826667,2.0,1.0
gemini-3.1-flash-lite_minimal,0.06814391812865496,-0.022182539682539682,0.09032645781119464,2.0,1.0
gemini-3.1-flash-lite_think,-0.01778092105263158,0.09352883597883599,-0.11130975703146757,2.0,1.0
mistral-small-4_high,0.11646066959064329,0.5112908749055178,-0.39483020531487456,2.0,1.0
mistral-small-4_none,-0.0027759747900734724,0.019078514109347435,-0.021854488899420908,2.0,1.0
ALL MODELS (mean),0.046737380308583175,0.1485736418931502,-0.10183626158456702,,
ALL MODELS (median),0.06814391812865496,0.09352883597883599,-0.07151331448826667,,
