arm,cases,median_dyad_coverage,p10,p90,median_realized_budget
event_sample_then_full_history,32,0.05706760316066725,0.00299416591112346,0.897528450848901,9582.0
node_panel_full_history,32,0.041961028791581895,0.00697741759159617,0.24469477058638164,2347.5
recent_history_k20,32,0.052741875278708855,0.01450448207171306,0.1868748730888184,800.0
time_agnostic_t,32,0.08421811775254395,0.006332322923065162,0.30223132969034605,800.0
time_respecting,32,0.050714009289765105,0.02068409822812452,0.1735733099209833,800.0
