model,included,n,coverage_median,coverage_q25,coverage_q75
codex-gpt-5.6-sol,False,392,0.0608392449200432,0.0274520751907686,0.1413924259963618
qwen36-27b_nothink,False,25,0.0437201907790143,0.0083197684933984,0.0664845173041894
qwen36-27b_nothink,True,709,0.0553116769095698,0.024340139442231,0.1413924259963618
qwen36-27b_think,False,22,0.06557377049180325,0.0439189189189189,0.08128415300546439
qwen36-27b_think,True,952,0.0535557506584723,0.0236484054423727,0.1545215100965759
