model,arm,n,n_paired,correct_direction,position_slope,slope_lo,slope_hi,shift_raw,raw_lo,raw_hi,shift_toward_stated,shift_lo,shift_hi,share_positive_draws,follows_evidence_rate,n_mechanism,mechanism_position_slope,mechanism_slope_lo,mechanism_slope_hi
qwen36-27b_nothink,event_sample_then_full_history,32,32,downward,0.33980036659425034,0.14898726416115854,0.6584981266761143,0.07220640625,0.03385259122474747,0.11094356874999999,0.07220640625,0.03272519543087121,0.10947722853535354,0.99975,0.78125,32,0.6351328965716583,0.3680999930308122,0.9143748237640651
qwen36-27b_nothink,time_agnostic_t,32,32,upward,0.19250461412820274,0.03373145583510566,0.37407378617359965,-0.23719635416666668,-0.2697757035195707,-0.20600696078431371,0.23719635416666668,0.20668709188660803,0.26896733396584444,1.0,0.4375,32,0.5574645439210848,0.33667855764564497,0.7705564946564698
qwen36-27b_think,event_sample_then_full_history,31,31,downward,0.07461436690959053,-0.14917859587279847,0.31824328709064437,0.1266769569892473,0.08522849085530763,0.16801178619791665,0.1266769569892473,0.08554056148498329,0.16785554191176472,1.0,0.5483870967741935,32,0.6639520925552655,0.40968646627280464,0.9720330878903535
qwen36-27b_think,time_agnostic_t,32,32,upward,0.09775659613500169,-0.020677399146723945,0.22630687862415794,-0.22549656249999997,-0.28754121813725486,-0.16445163079637096,0.22549656249999997,0.16212229993872548,0.2859244722222222,1.0,0.34375,32,1.0360208568723337,0.8553119703664432,1.2306662179333172
