model,arms,cases,arm_level_corr,within_arm_corr
codex-gpt-5.6-sol,5,116,-0.7098722898898071,0.09498000167716539
qwen36-27b_nothink,5,159,-0.24213814260489644,-0.041410777670281534
qwen36-27b_think,5,159,-0.30087954677864487,0.010059123397900566
