model,seed_slot,instances,graph_groups,model_gap_mean,model_gap_lo,model_gap_hi,required_gap_mean,required_gap_lo,required_gap_hi,gap_ratio,required_inside_model_ci,zero_inside_model_ci
codex-gpt-5.6-sol,0,17,12,0.15907154224705883,0.06992202749582094,0.25650748723780353,-0.052532529471630444,-0.14911524632528228,0.012445963205389134,-3.028057926145808,False,False
qwen36-27b_nothink,0,32,12,0.22052052083333334,0.1694544504480287,0.2766184554771507,-0.021142595758148287,-0.08495679477586844,0.01622305515116227,-10.430153579810344,False,False
qwen36-27b_think,0,32,12,0.20656140521318994,0.1249609123094168,0.2855643761848482,-0.021142595758148287,-0.08495679477586844,0.01622305515116227,-9.769916975950403,False,False
