model,instances,coverage_A,coverage_B,coverage_gap_A_minus_B,model_gap_A_minus_B,heuristic_predicts_sign,observed_sign,consistent_with_heuristic
codex-gpt-5.6-sol,14,0.10064485359120723,0.06209064498953705,0.038554208601670185,0.16168388110714285,-1.0,1.0,False
qwen36-27b_nothink,32,0.13816127076486062,0.07840232388282616,0.05975894688203448,0.22052052083333334,-1.0,1.0,False
qwen36-27b_think,32,0.13816127076486062,0.07840232388282616,0.05975894688203448,0.20656140521318994,-1.0,1.0,False
