model,n_up,n_down,mean_shift_down_arm,mean_shift_up_arm,between_arm_gap,ci_lo,ci_hi,share_positive_draws
qwen36-27b_nothink,32,32,0.07220640625,-0.23719635416666668,0.3094027604166667,0.24984614973958333,0.3653165999651689,1.0
qwen36-27b_think,32,30,0.1086795222222222,-0.19844791666666664,0.3071274388888888,0.18094027513888888,0.42172426799603174,1.0
