target,substrate,strategy,n,budget,coverage,estimator,mae,r2,spearman,n_rows
rho_headline,ba,recency_biased,400,50,0.020034327651515107,mean_floor,0.13612798996913583,-0.14134216526758236,-0.41866683248850356,192
rho_headline,ba,recency_biased,400,50,0.020034327651515107,plugin,0.25870044509190354,-2.88534483307747,0.4528551817144931,192
rho_headline,ba,recency_biased,400,50,0.020034327651515107,plugin_cond,0.17841585497835497,-1.1547625440984732,0.5226972605888333,192
rho_headline,ba,recency_biased,400,50,0.020034327651515107,mle,0.1793526955194685,-1.2374172820359175,0.5683624521607968,192
rho_headline,ba,recency_biased,400,50,0.020034327651515107,ridge_full,0.1065507512715247,0.26709769600538324,0.5147149738709434,192
rho_headline,ba,recency_biased,400,50,0.020034327651515107,ridge_noplugin,0.12725343578170056,-0.050538660098563115,0.13523620270412925,192
rho_headline,ba,recency_biased,400,50,0.020034327651515107,xgb_full,0.11778112225977687,0.08077514906420369,0.42982710174657335,192
rho_headline,ba,recency_biased,400,50,0.020034327651515107,xgb_noplugin,0.12411463694875868,-0.01313140191320783,0.34258368274708834,192
mean_span_frac,ba,recency_biased,400,50,0.020034327651515107,mean_floor,0.03590034459175084,-0.1383831531204487,-0.4174176431787336,192
mean_span_frac,ba,recency_biased,400,50,0.020034327651515107,plugin,0.07015465841832079,-3.0566000843469743,0.4521847448472917,192
mean_span_frac,ba,recency_biased,400,50,0.020034327651515107,mle,0.06890227165022178,-4.493661908157506,0.5479730171815356,192
mean_span_frac,ba,recency_biased,400,50,0.020034327651515107,ridge_full,0.028158568564947695,0.26618656617312997,0.5095273791305744,192
mean_span_frac,ba,recency_biased,400,50,0.020034327651515107,ridge_noplugin,0.0336730931049539,-0.051380736042379915,0.13085181803239807,192
mean_span_frac,ba,recency_biased,400,50,0.020034327651515107,xgb_full,0.03154748035453712,0.07314793618781068,0.42430151280970496,192
mean_span_frac,ba,recency_biased,400,50,0.020034327651515107,xgb_noplugin,0.033050242137565265,-0.017883125236719755,0.3290514677189609,192
rho_headline,ba,recency_biased,400,100,0.03955571338383834,mean_floor,0.13612798996913583,-0.14134216526758236,-0.41866683248850356,192
rho_headline,ba,recency_biased,400,100,0.03955571338383834,plugin,0.25736082588004466,-2.889299580075356,0.45742578341540796,192
rho_headline,ba,recency_biased,400,100,0.03955571338383834,plugin_cond,0.17722593203436854,-0.9979493156944534,0.6125020575934215,192
rho_headline,ba,recency_biased,400,100,0.03955571338383834,mle,0.14770106348606052,-0.5220550812189699,0.6277923288468202,192
rho_headline,ba,recency_biased,400,100,0.03955571338383834,ridge_full,0.09462732699842367,0.3896255675769775,0.6306607908987361,192
rho_headline,ba,recency_biased,400,100,0.03955571338383834,ridge_noplugin,0.1216845530760408,0.04382254442270983,0.27420329318741815,192
rho_headline,ba,recency_biased,400,100,0.03955571338383834,xgb_full,0.10009811087260619,0.3362067021676227,0.5914576396301755,192
rho_headline,ba,recency_biased,400,100,0.03955571338383834,xgb_noplugin,0.1088522401746513,0.19719020786459274,0.4725576378245211,192
mean_span_frac,ba,recency_biased,400,100,0.03955571338383834,mean_floor,0.03590034459175084,-0.1383831531204487,-0.4174176431787336,192
mean_span_frac,ba,recency_biased,400,100,0.03955571338383834,plugin,0.06992796890626952,-3.0700394496197925,0.4636975589090559,192
mean_span_frac,ba,recency_biased,400,100,0.03955571338383834,mle,0.044170473880721595,-0.9968876653838235,0.5310955437712241,192
mean_span_frac,ba,recency_biased,400,100,0.03955571338383834,ridge_full,0.02510091543697431,0.3869290633584135,0.6253887092562638,192
mean_span_frac,ba,recency_biased,400,100,0.03955571338383834,ridge_noplugin,0.032235958541250116,0.041773834119043785,0.26769406630734816,192
mean_span_frac,ba,recency_biased,400,100,0.03955571338383834,xgb_full,0.02624772221731141,0.3371104476749458,0.5841457924094384,192
mean_span_frac,ba,recency_biased,400,100,0.03955571338383834,xgb_noplugin,0.02915861532358635,0.17264006647865382,0.45673257967902037,192
rho_headline,ba,recency_biased,400,200,0.0760962489478114,mean_floor,0.13612798996913583,-0.14134216526758236,-0.41866683248850356,192
rho_headline,ba,recency_biased,400,200,0.0760962489478114,plugin,0.2530702767973801,-2.7470947012591416,0.6888467641327738,192
rho_headline,ba,recency_biased,400,200,0.0760962489478114,plugin_cond,0.162920225703952,-0.6623346026395973,0.7862725975971441,192
rho_headline,ba,recency_biased,400,200,0.0760962489478114,mle,0.11012591927953463,0.13526155210685842,0.7770837081990073,192
rho_headline,ba,recency_biased,400,200,0.0760962489478114,ridge_full,0.07203734307678088,0.600865288724225,0.7875056172765252,192
rho_headline,ba,recency_biased,400,200,0.0760962489478114,ridge_noplugin,0.11030890540691302,0.16189994453061607,0.437477117551932,192
rho_headline,ba,recency_biased,400,200,0.0760962489478114,xgb_full,0.07606932571705005,0.5799659963882018,0.7661513723150807,192
rho_headline,ba,recency_biased,400,200,0.0760962489478114,xgb_noplugin,0.11143436828300496,0.14412035069176843,0.4422865710708851,192
mean_span_frac,ba,recency_biased,400,200,0.0760962489478114,mean_floor,0.03590034459175084,-0.1383831531204487,-0.4174176431787336,192
mean_span_frac,ba,recency_biased,400,200,0.0760962489478114,plugin,0.06909854385986074,-2.9653923606315074,0.6832647264850602,192
mean_span_frac,ba,recency_biased,400,200,0.0760962489478114,mle,0.030624297596040892,0.037936884386117975,0.6777061859567016,192
mean_span_frac,ba,recency_biased,400,200,0.0760962489478114,ridge_full,0.019096513599538487,0.6030971078114855,0.7853347227406712,192
mean_span_frac,ba,recency_biased,400,200,0.0760962489478114,ridge_noplugin,0.029110520243635914,0.16093002388337885,0.43244700584260043,192
mean_span_frac,ba,recency_biased,400,200,0.0760962489478114,xgb_full,0.0201490842207313,0.5816882813420932,0.7642537662714812,192
mean_span_frac,ba,recency_biased,400,200,0.0760962489478114,xgb_noplugin,0.029794843016530983,0.14067751063160583,0.4395904201114573,192
rho_headline,ba,recency_biased,400,400,0.14112478956228952,mean_floor,0.13612798996913583,-0.14134216526758236,-0.41866683248850356,192
rho_headline,ba,recency_biased,400,400,0.14112478956228952,plugin,0.24215971402998723,-2.4394653241110364,0.8237518909377164,192
rho_headline,ba,recency_biased,400,400,0.14112478956228952,plugin_cond,0.14325462195407773,-0.26893518568863195,0.8641898438339335,192
rho_headline,ba,recency_biased,400,400,0.14112478956228952,mle,0.07869141160009428,0.5418577627455027,0.8629614925327078,192
rho_headline,ba,recency_biased,400,400,0.14112478956228952,ridge_full,0.05886244453734785,0.7501176228736803,0.8754918221156793,192
rho_headline,ba,recency_biased,400,400,0.14112478956228952,ridge_noplugin,0.09893848276937456,0.3283086313979452,0.6153641510041815,192
rho_headline,ba,recency_biased,400,400,0.14112478956228952,xgb_full,0.06312633932353334,0.7135623537921033,0.8400619550783143,192
rho_headline,ba,recency_biased,400,400,0.14112478956228952,xgb_noplugin,0.1003424330255462,0.33966310154302104,0.6145009592407304,192
mean_span_frac,ba,recency_biased,400,400,0.14112478956228952,mean_floor,0.03590034459175084,-0.1383831531204487,-0.4174176431787336,192
mean_span_frac,ba,recency_biased,400,400,0.14112478956228952,plugin,0.06673420777990688,-2.706250852191228,0.8232484942462753,192
mean_span_frac,ba,recency_biased,400,400,0.14112478956228952,mle,0.0242961617020129,0.40531835545391015,0.792407259165417,192
mean_span_frac,ba,recency_biased,400,400,0.14112478956228952,ridge_full,0.015405997759985758,0.7587659858066719,0.8806339392090077,192
mean_span_frac,ba,recency_biased,400,400,0.14112478956228952,ridge_noplugin,0.02626042776130143,0.3256433411503171,0.6139131270650406,192
mean_span_frac,ba,recency_biased,400,400,0.14112478956228952,xgb_full,0.016797454049653982,0.7132028807768831,0.8396131413437206,192
mean_span_frac,ba,recency_biased,400,400,0.14112478956228952,xgb_noplugin,0.026225807169383327,0.36151148334285765,0.6269774534219222,192
rho_headline,ba,recency_biased,400,800,0.2482211437289562,mean_floor,0.13612798996913583,-0.14134216526758236,-0.41866683248850356,192
rho_headline,ba,recency_biased,400,800,0.2482211437289562,plugin,0.2238369438094352,-1.9570065172563988,0.9295829461719638,192
rho_headline,ba,recency_biased,400,800,0.2482211437289562,plugin_cond,0.1204692655433401,0.10084109764264737,0.9463010609711808,192
rho_headline,ba,recency_biased,400,800,0.2482211437289562,mle,0.051233403090944256,0.808371130879846,0.944737099296882,192
rho_headline,ba,recency_biased,400,800,0.2482211437289562,ridge_full,0.04065850163963691,0.8799106658594608,0.9376992882589218,192
rho_headline,ba,recency_biased,400,800,0.2482211437289562,ridge_noplugin,0.08368405985310574,0.4946497885783493,0.72660565771407,192
rho_headline,ba,recency_biased,400,800,0.2482211437289562,xgb_full,0.04106093786918694,0.8681291570676375,0.9173184658362216,192
rho_headline,ba,recency_biased,400,800,0.2482211437289562,xgb_noplugin,0.08393531329286998,0.5290492983840536,0.7370979316639159,192
mean_span_frac,ba,recency_biased,400,800,0.2482211437289562,mean_floor,0.03590034459175084,-0.1383831531204487,-0.4174176431787336,192
mean_span_frac,ba,recency_biased,400,800,0.2482211437289562,plugin,0.06270108986017624,-2.2878877926361234,0.9281134146057697,192
mean_span_frac,ba,recency_biased,400,800,0.2482211437289562,mle,0.016101860841526153,0.730198559114863,0.9058469869607053,192
mean_span_frac,ba,recency_biased,400,800,0.2482211437289562,ridge_full,0.010587535634735206,0.8858179118479113,0.938937628515657,192
mean_span_frac,ba,recency_biased,400,800,0.2482211437289562,ridge_noplugin,0.022210113736660573,0.4896050023720794,0.7247521944173251,192
mean_span_frac,ba,recency_biased,400,800,0.2482211437289562,xgb_full,0.010908690817114786,0.8730353256750174,0.9169953251562274,192
mean_span_frac,ba,recency_biased,400,800,0.2482211437289562,xgb_noplugin,0.022437776455825027,0.5126148770449052,0.7263053317233477,192
rho_headline,ba,recency_biased,400,1600,0.3974214804292929,mean_floor,0.13612798996913583,-0.14134216526758236,-0.41866683248850356,192
rho_headline,ba,recency_biased,400,1600,0.3974214804292929,plugin,0.1922920467197764,-1.1923585209905347,0.9622582005555995,192
rho_headline,ba,recency_biased,400,1600,0.3974214804292929,plugin_cond,0.09165143872695092,0.4665402447401469,0.9690890257977369,192
rho_headline,ba,recency_biased,400,1600,0.3974214804292929,mle,0.02598759278180876,0.9436510646236077,0.9685978225026892,192
rho_headline,ba,recency_biased,400,1600,0.3974214804292929,ridge_full,0.02553283562668292,0.9498258419329526,0.9670545916485822,192
rho_headline,ba,recency_biased,400,1600,0.3974214804292929,ridge_noplugin,0.07109344612729086,0.6549692700931555,0.8174069869684082,192
rho_headline,ba,recency_biased,400,1600,0.3974214804292929,xgb_full,0.02829828361434995,0.9411234727344874,0.9509558108815085,192
rho_headline,ba,recency_biased,400,1600,0.3974214804292929,xgb_noplugin,0.07482330282242274,0.5974997742501094,0.7610604063546091,192
mean_span_frac,ba,recency_biased,400,1600,0.3974214804292929,mean_floor,0.03590034459175084,-0.1383831531204487,-0.4174176431787336,192
mean_span_frac,ba,recency_biased,400,1600,0.3974214804292929,plugin,0.05543864091931955,-1.5778021916645106,0.959515408962475,192
mean_span_frac,ba,recency_biased,400,1600,0.3974214804292929,mle,0.009152790952465972,0.9092400773686221,0.9541977112167517,192
mean_span_frac,ba,recency_biased,400,1600,0.3974214804292929,ridge_full,0.00651871134535445,0.9528667605011095,0.9677486646553238,192
mean_span_frac,ba,recency_biased,400,1600,0.3974214804292929,ridge_noplugin,0.01890789501030003,0.6569078322011852,0.815888799437752,192
mean_span_frac,ba,recency_biased,400,1600,0.3974214804292929,xgb_full,0.007518010024884438,0.9412781400446391,0.9519578701891799,192
mean_span_frac,ba,recency_biased,400,1600,0.3974214804292929,xgb_noplugin,0.019155152570863917,0.6103747345423722,0.7655356132183732,192
rho_headline,ba,recency_biased,400,3200,0.5729232428451178,mean_floor,0.13612798996913583,-0.14134216526758236,-0.41866683248850356,192
rho_headline,ba,recency_biased,400,3200,0.5729232428451178,plugin,0.1504177044881901,-0.3557043173435166,0.9815041345567062,192
rho_headline,ba,recency_biased,400,3200,0.5729232428451178,plugin_cond,0.06342627583793382,0.7293709899679781,0.9814829363127178,192
rho_headline,ba,recency_biased,400,3200,0.5729232428451178,mle,0.01634656825945456,0.9796817122286655,0.9832313818874021,192
rho_headline,ba,recency_biased,400,3200,0.5729232428451178,ridge_full,0.017239551780237533,0.9770039939506386,0.9804213450464624,192
rho_headline,ba,recency_biased,400,3200,0.5729232428451178,ridge_noplugin,0.057618737915708484,0.7532717168141938,0.8752391392615454,192
rho_headline,ba,recency_biased,400,3200,0.5729232428451178,xgb_full,0.02201255032893033,0.9675153321881411,0.9653434708444131,192
rho_headline,ba,recency_biased,400,3200,0.5729232428451178,xgb_noplugin,0.06481209425302695,0.6954146487773427,0.8198235847344549,192
mean_span_frac,ba,recency_biased,400,3200,0.5729232428451178,mean_floor,0.03590034459175084,-0.1383831531204487,-0.4174176431787336,192
mean_span_frac,ba,recency_biased,400,3200,0.5729232428451178,plugin,0.04520506210386626,-0.725360608425859,0.9814522189209068,192
mean_span_frac,ba,recency_biased,400,3200,0.5729232428451178,mle,0.005193878969435291,0.9709067963408697,0.9790462125483677,192
mean_span_frac,ba,recency_biased,400,3200,0.5729232428451178,ridge_full,0.00445860344103193,0.9779533142478464,0.9812996180938959,192
mean_span_frac,ba,recency_biased,400,3200,0.5729232428451178,ridge_noplugin,0.015139451503064621,0.7571259316935522,0.8769240435478971,192
mean_span_frac,ba,recency_biased,400,3200,0.5729232428451178,xgb_full,0.005866883630685588,0.967489325818584,0.9659924690321285,192
mean_span_frac,ba,recency_biased,400,3200,0.5729232428451178,xgb_noplugin,0.017510276682273517,0.6902005970508831,0.8166721503497415,192
rho_headline,ba,recency_biased,2000,50,0.004139789996659954,mean_floor,0.12220349988170787,-0.04808260667134112,-0.28145084976176626,192
rho_headline,ba,recency_biased,2000,50,0.004139789996659954,plugin,0.2774250801802143,-3.7137688075233584,0.3290987964443019,192
rho_headline,ba,recency_biased,2000,50,0.004139789996659954,plugin_cond,0.20424407881118176,-2.0211270338029683,0.377498967276626,192
rho_headline,ba,recency_biased,2000,50,0.004139789996659954,mle,0.21524181230953118,-2.3802651873035745,0.46175464194703464,192
rho_headline,ba,recency_biased,2000,50,0.004139789996659954,ridge_full,0.10632373309600764,0.1720880170444965,0.4286928043047002,192
rho_headline,ba,recency_biased,2000,50,0.004139789996659954,ridge_noplugin,0.11752161149477207,0.00821920367247908,0.20620245813047786,192
rho_headline,ba,recency_biased,2000,50,0.004139789996659954,xgb_full,0.11911463857278148,-0.07171317580387337,0.2734703334994789,192
rho_headline,ba,recency_biased,2000,50,0.004139789996659954,xgb_noplugin,0.12838277975084858,-0.18095393159965445,0.1778254129952337,192
mean_span_frac,ba,recency_biased,2000,50,0.004139789996659954,mean_floor,0.03239436048021969,-0.04731846921087213,-0.2780514529694535,192
mean_span_frac,ba,recency_biased,2000,50,0.004139789996659954,plugin,0.0751353265949,-3.890790950569164,0.3209911351489699,192
mean_span_frac,ba,recency_biased,2000,50,0.004139789996659954,mle,0.06847409273643776,-4.691586313834721,0.4509492385196067,192
mean_span_frac,ba,recency_biased,2000,50,0.004139789996659954,ridge_full,0.028294915657435776,0.17054750102408944,0.42361389040244996,192
mean_span_frac,ba,recency_biased,2000,50,0.004139789996659954,ridge_noplugin,0.031170286967043503,0.011127932019662223,0.20651090260310356,192
mean_span_frac,ba,recency_biased,2000,50,0.004139789996659954,xgb_full,0.03172936296011474,-0.07963609298576158,0.2579453358395411,192
mean_span_frac,ba,recency_biased,2000,50,0.004139789996659954,xgb_noplugin,0.03379662773234716,-0.16785364895477772,0.2014140868355502,192
rho_headline,ba,recency_biased,2000,100,0.00830502150133594,mean_floor,0.12220349988170787,-0.04808260667134112,-0.28145084976176626,192
rho_headline,ba,recency_biased,2000,100,0.00830502150133594,plugin,0.279003368359821,-3.763248456260679,0.4113924893856128,192
rho_headline,ba,recency_biased,2000,100,0.00830502150133594,plugin_cond,0.19335446323371597,-1.5655622662903639,0.5240096013341384,192
rho_headline,ba,recency_biased,2000,100,0.00830502150133594,mle,0.1653370609108182,-1.0655405185909825,0.5592442847790785,192
rho_headline,ba,recency_biased,2000,100,0.00830502150133594,ridge_full,0.09284374925313603,0.32470832775655867,0.6116733635417854,192
rho_headline,ba,recency_biased,2000,100,0.00830502150133594,ridge_noplugin,0.1067395701447782,0.17032368405081966,0.38614589009152483,192
rho_headline,ba,recency_biased,2000,100,0.00830502150133594,xgb_full,0.0974902777559153,0.2587429518718467,0.5642137984527403,192
rho_headline,ba,recency_biased,2000,100,0.00830502150133594,xgb_noplugin,0.10474838704032836,0.15674088187045798,0.44759726822054224,192
mean_span_frac,ba,recency_biased,2000,100,0.00830502150133594,mean_floor,0.03239436048021969,-0.04731846921087213,-0.2780514529694535,192
mean_span_frac,ba,recency_biased,2000,100,0.00830502150133594,plugin,0.0753919267727909,-3.921741864739796,0.4119349103913721,192
mean_span_frac,ba,recency_biased,2000,100,0.00830502150133594,mle,0.043458951285140324,-1.1648089860423516,0.5331521316735665,192
mean_span_frac,ba,recency_biased,2000,100,0.00830502150133594,ridge_full,0.024899534554660267,0.3143919974363848,0.6072213374539532,192
mean_span_frac,ba,recency_biased,2000,100,0.00830502150133594,ridge_noplugin,0.02835341451546995,0.169488595947206,0.3841771512349438,192
mean_span_frac,ba,recency_biased,2000,100,0.00830502150133594,xgb_full,0.02555087784027747,0.28238646351703045,0.5849740587826066,192
mean_span_frac,ba,recency_biased,2000,100,0.00830502150133594,xgb_noplugin,0.027329279572977306,0.1628611977845249,0.4525043241560567,192
rho_headline,ba,recency_biased,2000,200,0.016438475910153596,mean_floor,0.12220349988170787,-0.04808260667134112,-0.28145084976176626,192
rho_headline,ba,recency_biased,2000,200,0.016438475910153596,plugin,0.2774693459823773,-3.7094961785509755,0.5414472844283095,192
rho_headline,ba,recency_biased,2000,200,0.016438475910153596,plugin_cond,0.18604593649510093,-1.2754583088079148,0.6860351551278386,192
rho_headline,ba,recency_biased,2000,200,0.016438475910153596,mle,0.13853166927077243,-0.39003849404039515,0.672376350532466,192
rho_headline,ba,recency_biased,2000,200,0.016438475910153596,ridge_full,0.08197954834405374,0.4783821022454474,0.6965891359301771,192
rho_headline,ba,recency_biased,2000,200,0.016438475910153596,ridge_noplugin,0.1015919711054482,0.21772528102223265,0.450934547103425,192
