substrate,n,family,rho_target,rep,hub_bias,seed,path,n_events,deviations,rho_headline,rho_event_weighted,mean_span_frac,C_one_step,lifetime_mean_over_T,burstiness_pooled,share_single_event_pairs,rho_W5_k1,rho_W5_k2,rho_W5_k3,rho_W5_k4,rho_W5_k5
ba,400,ba_n400_fam0,0.13093522418869474,0,False,200392,data_grid/ba/ba_n400_fam0/rho0.13_rep0.csv.gz,4898,2,0.13068181818181818,0.17537770518579013,0.23573232323232324,0.10505319148936171,0.11998200259245687,0.2560176290908209,0.3282828282828283,1.0,0.13068181818181818,0.03409090909090909,0.008838383838383838,0.005050505050505051
ba,400,ba_n400_fam0,0.13093522418869474,1,False,348988,data_grid/ba/ba_n400_fam0/rho0.13_rep1.csv.gz,4898,1,0.13068181818181818,0.17109024091465905,0.23484848484848486,0.09588116137744768,0.12326091420567631,0.2846764906205302,0.3282828282828283,1.0,0.13068181818181818,0.03156565656565657,0.00946969696969697,0.0025252525252525255
ba,400,ba_n400_fam0,0.13093522418869474,2,False,443105,data_grid/ba/ba_n400_fam0/rho0.13_rep2.csv.gz,4898,0,0.13131313131313133,0.19150673744385463,0.2361111111111111,0.10406937958639093,0.12143371777687657,0.255004684459051,0.3282828282828283,1.0,0.13131313131313133,0.03409090909090909,0.010732323232323232,0.004419191919191919
ba,400,ba_n400_fam0,0.2630565433124921,0,False,323839,data_grid/ba/ba_n400_fam0/rho0.26_rep0.csv.gz,4898,0,0.2638888888888889,0.3401388321763985,0.27095959595959596,0.17801047120418848,0.17200960534718399,0.24016652781853726,0.3282828282828283,1.0,0.2638888888888889,0.06881313131313131,0.018308080808080808,0.003787878787878788
ba,400,ba_n400_fam0,0.2630565433124921,1,False,937547,data_grid/ba/ba_n400_fam0/rho0.26_rep1.csv.gz,4898,1,0.26325757575757575,0.3346263781135157,0.26792929292929296,0.16784452296819788,0.1697105611871965,0.2475102321958577,0.3282828282828283,1.0,0.26325757575757575,0.056818181818181816,0.015782828282828284,0.003787878787878788
ba,400,ba_n400_fam0,0.2630565433124921,2,False,59990,data_grid/ba/ba_n400_fam0/rho0.26_rep2.csv.gz,4898,0,0.26325757575757575,0.33258472846059617,0.2678030303030303,0.1577398469688052,0.17192445963050296,0.2583768335421313,0.3282828282828283,1.0,0.26325757575757575,0.05808080808080808,0.013888888888888888,0.003787878787878788
ba,400,ba_n400_fam0,0.32351901439922504,0,False,356694,data_grid/ba/ba_n400_fam0/rho0.32_rep0.csv.gz,4898,0,0.32386363636363635,0.44283380971825237,0.28623737373737373,0.2022038567493113,0.19451461329007216,0.22066788669235043,0.3282828282828283,1.0,0.32386363636363635,0.08143939393939394,0.021464646464646464,0.004419191919191919
ba,400,ba_n400_fam0,0.32351901439922504,1,False,66658,data_grid/ba/ba_n400_fam0/rho0.32_rep1.csv.gz,4898,1,0.32323232323232326,0.4430379746835443,0.28585858585858587,0.1975650249031544,0.19525973634152877,0.22229245393959043,0.3282828282828283,1.0,0.32323232323232326,0.07828282828282829,0.02335858585858586,0.004419191919191919
ba,400,ba_n400_fam0,0.32351901439922504,2,False,63871,data_grid/ba/ba_n400_fam0/rho0.32_rep2.csv.gz,4898,1,0.3226010101010101,0.4322172315230706,0.28510101010101013,0.20185995623632386,0.1889353933730761,0.21363374935177248,0.3282828282828283,1.0,0.3226010101010101,0.08396464646464646,0.016414141414141416,0.0025252525252525255
ba,400,ba_n400_fam0,0.3636244941068503,0,False,945590,data_grid/ba/ba_n400_fam0/rho0.36_rep0.csv.gz,4898,1,0.36363636363636365,0.472233564720294,0.2955808080808081,0.21420882669537136,0.21252395585798323,0.22060756745678362,0.3282828282828283,1.0,0.36363636363636365,0.07954545454545454,0.025883838383838384,0.008838383838383838
ba,400,ba_n400_fam0,0.3636244941068503,1,False,262466,data_grid/ba/ba_n400_fam0/rho0.36_rep1.csv.gz,4898,0,0.36426767676767674,0.49060841159657004,0.29457070707070704,0.20700808625336928,0.21074219062901936,0.21483912847737036,0.3282828282828283,1.0,0.36426767676767674,0.08396464646464646,0.020833333333333332,0.003787878787878788
ba,400,ba_n400_fam0,0.3636244941068503,2,False,774815,data_grid/ba/ba_n400_fam0/rho0.36_rep2.csv.gz,4898,1,0.36426767676767674,0.49183340138832177,0.29646464646464643,0.21893491124260356,0.21023176188168002,0.21295469828008218,0.3282828282828283,1.0,0.36426767676767674,0.08270202020202021,0.027146464646464648,0.008207070707070708
ba,400,ba_n400_fam0,0.4150883619366947,0,False,292132,data_grid/ba/ba_n400_fam0/rho0.42_rep0.csv.gz,4898,1,0.4147727272727273,0.560432829726419,0.30808080808080807,0.22097186700767263,0.23474494891225825,0.18814169939021075,0.3282828282828283,1.0,0.4147727272727273,0.09532828282828283,0.025252525252525252,0.005050505050505051
ba,400,ba_n400_fam0,0.4150883619366947,1,False,128272,data_grid/ba/ba_n400_fam0/rho0.42_rep1.csv.gz,4898,1,0.4154040404040404,0.5643119640669662,0.31085858585858583,0.24087221095334685,0.2304626993905352,0.19201776001158372,0.3282828282828283,1.0,0.4154040404040404,0.10479797979797979,0.025883838383838384,0.008207070707070708
ba,400,ba_n400_fam0,0.4150883619366947,2,False,242957,data_grid/ba/ba_n400_fam0/rho0.42_rep2.csv.gz,4898,0,0.4154040404040404,0.5543078807676602,0.3125,0.24225495175215844,0.23202274034074097,0.1866559285573625,0.3282828282828283,1.0,0.4154040404040404,0.10732323232323232,0.03282828282828283,0.006944444444444444
ba,400,ba_n400_fam0,0.49215309639168126,0,False,917578,data_grid/ba/ba_n400_fam0/rho0.49_rep0.csv.gz,4898,2,0.4917929292929293,0.6539403838301348,0.33244949494949494,0.27015558698727016,0.26293915903721043,0.16001739137007182,0.3282828282828283,1.0,0.4917929292929293,0.125,0.03535353535353535,0.010101010101010102
ba,400,ba_n400_fam0,0.49215309639168126,1,False,630014,data_grid/ba/ba_n400_fam0/rho0.49_rep1.csv.gz,4898,1,0.49242424242424243,0.6414863209473254,0.3279040404040404,0.2513265798359865,0.26112755652417996,0.16655221746596324,0.3282828282828283,1.0,0.49242424242424243,0.10984848484848485,0.029671717171717172,0.007575757575757576
ba,400,ba_n400_fam0,0.49215309639168126,2,False,566307,data_grid/ba/ba_n400_fam0/rho0.49_rep2.csv.gz,4898,1,0.49242424242424243,0.6494487545937118,0.32916666666666666,0.275,0.2553872936145555,0.1742656796445971,0.3282828282828283,1.0,0.49242424242424243,0.10795454545454546,0.03282828282828283,0.012626262626262626
ba,400,ba_n400_fam0,0.5322753722712289,0,False,514146,data_grid/ba/ba_n400_fam0/rho0.53_rep0.csv.gz,4898,1,0.5321969696969697,0.7264189465087791,0.3407828282828283,0.28036951501154733,0.27505668019095,0.14898166981234795,0.3282828282828283,1.0,0.5321969696969697,0.1294191919191919,0.030934343434343436,0.011363636363636364
ba,400,ba_n400_fam0,0.5322753722712289,1,False,91478,data_grid/ba/ba_n400_fam0/rho0.53_rep1.csv.gz,4898,1,0.5321969696969697,0.7147815434871376,0.3390151515151515,0.25906976744186044,0.27791898916545316,0.1458933799044169,0.3282828282828283,1.0,0.5321969696969697,0.12373737373737374,0.03282828282828283,0.006313131313131313
ba,400,ba_n400_fam0,0.5322753722712289,2,False,417419,data_grid/ba/ba_n400_fam0/rho0.53_rep2.csv.gz,4898,1,0.5328282828282829,0.69416088199265,0.34444444444444444,0.2870967741935484,0.2734774384775591,0.13971565804772523,0.3282828282828283,1.0,0.5328282828282829,0.13320707070707072,0.045454545454545456,0.010732323232323232
ba,400,ba_n400_fam0,0.5615637271395433,0,False,399198,data_grid/ba/ba_n400_fam0/rho0.56_rep0.csv.gz,4898,1,0.5625,0.7470396080032666,0.3523989898989899,0.29235583370585605,0.28486136110057964,0.12242487273723875,0.3282828282828283,1.0,0.5625,0.15025252525252525,0.037247474747474744,0.011994949494949494
ba,400,ba_n400_fam0,0.5615637271395433,1,False,656362,data_grid/ba/ba_n400_fam0/rho0.56_rep1.csv.gz,4898,1,0.5625,0.7486729277256022,0.3474747474747475,0.27434030937215653,0.290597382179463,0.1394521731912999,0.3282828282828283,1.0,0.5625,0.1294191919191919,0.03787878787878788,0.007575757575757576
ba,400,ba_n400_fam0,0.5615637271395433,2,False,758455,data_grid/ba/ba_n400_fam0/rho0.56_rep2.csv.gz,4898,0,0.5625,0.7431604736627194,0.34949494949494947,0.2882882882882883,0.28143474016064063,0.1352178025153937,0.3282828282828283,1.0,0.5625,0.1388888888888889,0.03598484848484849,0.010101010101010102
ba,400,ba_n400_fam1,0.10727034887455265,0,False,910941,data_grid/ba/ba_n400_fam1/rho0.11_rep0.csv.gz,4721,1,0.10921717171717171,0.16373649650497776,0.22828282828282828,0.08080110497237569,0.10963838231521367,0.2832548233721908,0.3611111111111111,1.0,0.10921717171717171,0.023989898989898988,0.006944444444444444,0.0012626262626262627
ba,400,ba_n400_fam1,0.10727034887455265,1,False,452137,data_grid/ba/ba_n400_fam1/rho0.11_rep1.csv.gz,4721,0,0.10984848484848485,0.155263715314552,0.23005050505050506,0.08686730506155951,0.10921054915472703,0.2822556788708716,0.3611111111111111,1.0,0.10984848484848485,0.03282828282828283,0.006313131313131313,0.0012626262626262627
ba,400,ba_n400_fam1,0.10727034887455265,2,False,689844,data_grid/ba/ba_n400_fam1/rho0.11_rep2.csv.gz,4721,1,0.10921717171717171,0.13514085998729083,0.2294191919191919,0.08275862068965517,0.1101498429038957,0.28361538665250197,0.3611111111111111,1.0,0.10921717171717171,0.028409090909090908,0.008207070707070708,0.0012626262626262627
ba,400,ba_n400_fam1,0.11747676334550669,0,False,614944,data_grid/ba/ba_n400_fam1/rho0.12_rep0.csv.gz,4721,1,0.11931818181818182,0.16204194026689261,0.23093434343434344,0.08905506458191706,0.1100754448481706,0.2733044880316422,0.3611111111111111,1.0,0.11931818181818182,0.025883838383838384,0.006944444444444444,0.0025252525252525255
ba,400,ba_n400_fam1,0.11747676334550669,1,False,682516,data_grid/ba/ba_n400_fam1/rho0.12_rep1.csv.gz,4721,0,0.11994949494949494,0.1654310527430629,0.23181818181818184,0.09452054794520548,0.11074232443116652,0.27117119474923346,0.3611111111111111,1.0,0.11994949494949494,0.028409090909090908,0.006944444444444444,0.003787878787878788
ba,400,ba_n400_fam1,0.11747676334550669,2,False,112137,data_grid/ba/ba_n400_fam1/rho0.12_rep2.csv.gz,4721,1,0.11868686868686869,0.16670196992162678,0.2313131313131313,0.09251700680272108,0.11075607320236937,0.26981141538445125,0.3611111111111111,1.0,0.11868686868686869,0.027146464646464648,0.00946969696969697,0.0012626262626262627
ba,400,ba_n400_fam1,0.11955585917893169,0,False,471799,data_grid/ba/ba_n400_fam1/rho0.12_rep0.csv.gz,4721,0,0.12184343434343434,0.16818470662995127,0.23068181818181815,0.08585164835164835,0.10947707755517458,0.27736462617797775,0.3611111111111111,1.0,0.12184343434343434,0.023989898989898988,0.006313131313131313,0.0012626262626262627
ba,400,ba_n400_fam1,0.11955585917893169,1,False,283459,data_grid/ba/ba_n400_fam1/rho0.12_rep1.csv.gz,4721,0,0.12184343434343434,0.17919932217750476,0.23156565656565659,0.08916323731138547,0.11398410098739442,0.2803155969989659,0.3611111111111111,1.0,0.12184343434343434,0.027777777777777776,0.006944444444444444,0.0012626262626262627
