graph_id,stratum,arm,method,hidden_MAE_2,hidden_ProfileMAE,hidden_validity,released_MAE_2,released_ProfileMAE,released_validity,delta_MAE_2,delta_ProfileMAE
ad_memory_r1,synthetic,H,et,0.019694467414751005,0.019799937456005032,1.0,0.018953687719019913,0.019791250252200975,1.0,-0.0007407796957310912,-8.687203804057242e-06
ad_memory_r1,synthetic,H,median,0.4418642077565937,0.30126965473561135,1.0,0.4418642077565937,0.30126965473561135,1.0,0.0,0.0
ad_memory_r1,synthetic,H,mle,0.0474764146763369,0.04656021335684215,1.0,0.0474764146763369,0.04656021335684215,1.0,0.0,0.0
ad_memory_r1,synthetic,H,plugin,0.13379859121415658,0.20694509533779604,1.0,0.13379859121415658,0.20694509533779604,1.0,0.0,0.0
ad_memory_r1,synthetic,H,qwen_nonthinking,0.263016330451489,0.19095260967018893,1.0,0.2863496637848223,0.20234149855907782,1.0,0.023333333333333317,0.011388888888888893
ad_memory_r1,synthetic,H,qwen_thinking,0.13909274042053582,0.1573332764169068,1.0,0.12347570210267905,0.18736191586615433,1.0,-0.015617038317856768,0.030028639449247524
ad_memory_r1,synthetic,R,et,0.007648213453885444,0.017320486876276225,1.0,0.008211756289344821,0.017380271754850334,1.0,0.0005635428354593772,5.9784878574109523e-05
ad_memory_r1,synthetic,R,median,0.4418642077565937,0.30126965473561135,1.0,0.4418642077565937,0.30126965473561135,1.0,0.0,0.0
ad_memory_r1,synthetic,R,mle,0.007737185305437137,0.012189302274444189,1.0,0.007737185305437137,0.012189302274444189,1.0,0.0,0.0
ad_memory_r1,synthetic,R,plugin,0.008096320620306038,0.017536503026262855,1.0,0.008096320620306038,0.017536503026262855,1.0,0.0,0.0
ad_memory_r1,synthetic,R,qwen_nonthinking,0.05540574234176537,0.07706067082933077,1.0,0.058350112071725885,0.08842447166186358,1.0,0.002944369729960518,0.011363800832532814
ad_memory_r1,synthetic,R,qwen_thinking,0.007526554594940782,0.018530787303874488,1.0,0.0075274434838296595,0.02080002841818765,1.0,8.888888888775384e-07,0.0022692411143131613
ad_memory_r2,synthetic,H,et,0.014856043075954414,0.016162250899255225,1.0,0.014138424112887496,0.014627278015275158,1.0,-0.0007176189630669176,-0.001534972883980067
ad_memory_r2,synthetic,H,median,0.42805892266999623,0.29498338300099114,1.0,0.42805892266999623,0.29498338300099114,1.0,0.0,0.0
ad_memory_r2,synthetic,H,mle,0.04191468799753776,0.034299667315056084,1.0,0.04191468799753776,0.034299667315056084,1.0,0.0,0.0
ad_memory_r2,synthetic,H,plugin,0.14345958366762337,0.20945605715134277,1.0,0.14345958366762337,0.20945605715134277,1.0,0.0,0.0
ad_memory_r2,synthetic,H,qwen_nonthinking,0.21197896120973045,0.1615790050405435,1.0,0.3442011834319527,0.23498739864124485,1.0,0.13222222222222227,0.07340839360070134
ad_memory_r2,synthetic,H,qwen_thinking,0.15899381985535832,0.1654106728029805,1.0,0.14932781985535834,0.16108338899846592,1.0,-0.00966599999999998,-0.004327283804514581
ad_memory_r2,synthetic,R,et,0.03311650326157415,0.03157200975317857,1.0,0.03372500269990023,0.03162611732339834,1.0,0.0006084994383260822,5.410757021976492e-05
ad_memory_r2,synthetic,R,median,0.42805892266999623,0.29498338300099114,1.0,0.42805892266999623,0.29498338300099114,1.0,0.0,0.0
ad_memory_r2,synthetic,R,mle,0.01884425850617048,0.022595892044479204,1.0,0.01884425850617048,0.022595892044479204,1.0,0.0,0.0
ad_memory_r2,synthetic,R,plugin,0.03333361946291572,0.028553228686207424,1.0,0.03333361946291572,0.028553228686207424,1.0,0.0,0.0
ad_memory_r2,synthetic,R,qwen_nonthinking,0.08009756738987504,0.12524431843085687,1.0,0.06494937541091386,0.07985574183651106,1.0,-0.015148191978961181,-0.04538857659434581
ad_memory_r2,synthetic,R,qwen_thinking,0.033327681788297175,0.02854997863247864,1.0,0.032415819855358304,0.028006179815910588,1.0,-0.0009118619329388719,-0.0005437988165680509
ad_memoryless_r1,synthetic,H,et,0.009311486374376692,0.0028003745667501464,1.0,0.0083835883473927,0.002810243645158063,1.0,-0.0009278980269839913,9.869078407916468e-06
ad_memoryless_r1,synthetic,H,median,0.2995951408639409,0.12432239464251044,1.0,0.2995951408639409,0.12432239464251044,1.0,0.0,0.0
ad_memoryless_r1,synthetic,H,mle,0.011360590804977685,0.0029754217199697147,1.0,0.011360590804977685,0.0029754217199697147,1.0,0.0,0.0
ad_memoryless_r1,synthetic,H,plugin,0.029973650281451564,0.007942255494579066,1.0,0.029973650281451564,0.007942255494579066,1.0,0.0,0.0
ad_memoryless_r1,synthetic,H,qwen_nonthinking,0.22390107609285692,0.10702783897989378,1.0,0.15440788283254037,0.06577759417142978,1.0,-0.06949319326031655,-0.041250244808463996
ad_memoryless_r1,synthetic,H,qwen_thinking,0.13030579351487614,0.06149516081754353,1.0,0.20421588061031815,0.07210081583809645,1.0,0.073910087095442,0.010605655020552919
ad_memoryless_r1,synthetic,R,et,0.013039935176537468,0.003949674567532912,1.0,0.012807068519463753,0.003908560695573903,1.0,-0.00023286665707371486,-4.111387195900908e-05
ad_memoryless_r1,synthetic,R,median,0.2995951408639409,0.12432239464251044,1.0,0.2995951408639409,0.12432239464251044,1.0,0.0,0.0
ad_memoryless_r1,synthetic,R,mle,0.014348590935103758,0.004005744463212878,1.0,0.014348590935103758,0.004005744463212878,1.0,0.0,0.0
