h,graph_id,stratum,draws,defined_draws,n_panel,budget_matched,node_share,expected_coverage,realized_coverage,node_selection_abs_rho2,node_selection_profile_abs,dyad_disappearance_abs_rho2,dyad_disappearance_profile_abs,within_dyad_history_abs_rho2,within_dyad_history_profile_abs,net_history_abs_rho2,net_history_profile_abs,total_abs_rho2,total_profile_abs,median_AE2,median_ProfileAE,plugin_AE2,plugin_ProfileAE,homogeneous_AE2,homogeneous_ProfileAE,extratrees_pooled_AE2,extratrees_pooled_ProfileAE,extratrees_real_only_AE2,extratrees_real_only_ProfileAE,history_share_abs_rho2,history_minus_selection_abs_rho2,history_minus_selection_abs_rho2_MCSE,history_share_profile_abs,history_minus_selection_profile_abs,history_minus_selection_profile_abs_MCSE
0.4,sp_hospital,real,3,3,38,True,0.5066666666666667,0.10154655444502893,0.09556373838330702,0.04313456135264113,0.026411950809046774,0.11683392750981181,0.05128990712738748,0.348897885739991,0.15900167084377612,0.2320639582301792,0.10771176371638862,0.22939406128838224,0.1133186645758269,0.15500095930926444,0.056060465676110977,0.22939406128838224,0.1133186645758269,0.20529501291040156,0.08577039971207678,0.03374132554395296,0.04252489026909959,0.025291575763518242,0.05108649479842878,0.843260198426831,0.18892939687753807,0.03708035494591719,0.8030776965691777,0.08129981290734185,0.021767561192336804
0.4,sp_highschool2013,real,3,3,169,True,0.5168195718654435,0.10036175813657468,0.09697023597770664,0.018708684376090152,0.014793121354948919,0.17876584236669193,0.11413461499123728,0.40079670669214607,0.277911354496449,0.22203086432545413,0.16377673950521174,0.23069862031322205,0.1694398664911622,0.19543570347008532,0.1190406722067809,0.23069862031322205,0.1694398664911622,0.2413595120754156,0.09926452344107146,0.011099631958815618,0.02020291287178986,0.06783112151070436,0.04237573003492328,0.922286618559362,0.20332217994936394,0.013895363348185358,0.9171577931253835,0.14898361815026281,0.01571828754875466
0.4,copenhagen_bluetooth,real,3,3,340,True,0.4913294797687861,0.10009699982841874,0.09574369906881881,0.00690776833397407,0.005584065617125072,0.16623591004213367,0.09686748356978665,0.3728322084730098,0.23833081859986352,0.2065962984308761,0.14146333503007688,0.20973826870382897,0.1448588096001997,0.15679934307552423,0.0900406131195264,0.20973826870382897,0.1448588096001997,0.2488416607274598,0.100792011867517,0.0048190560532451006,0.00493160952939458,0.04110532517904066,0.02803363669926903,0.9676457294765154,0.19968853009690202,0.005300390306906402,0.9620254041040655,0.13587926941295178,0.00463318960600135
0.4,sp_workplace,real,3,3,103,True,0.47465437788018433,0.10017937611029613,0.10096463022508038,0.015043112455886113,0.006478392778499064,0.17882979919324216,0.08031972407103273,0.27345394427783776,0.1463099769972929,0.09462414508459562,0.0659902529262602,0.07958103262870951,0.06119146779685917,0.12871822136857708,0.049200840261684,0.07958103262870951,0.06119146779685917,0.35185442267650796,0.1297277762720334,0.180962594147132,0.0921567285459604,0.12380917167341476,0.07380325658353815,0.8628295008623407,0.07958103262870951,0.012387426366395119,0.9106041969530885,0.059511860147761136,0.0018388776135403267
0.4,snap_email_eu,real,3,3,687,True,0.6967545638945233,0.09994354633927321,0.09953221105475517,0.0013282585541327663,0.0021565349062767623,0.3009015320715686,0.23747868447314172,0.6775576849759902,0.45642786117031736,0.37665615290442167,0.21894917669717562,0.3753278943502889,0.21754026542024155,0.21560074628952608,0.13602501333145378,0.3753278943502889,0.21754026542024155,0.05876465772874708,0.10538976361461709,0.14594934688527744,0.10614235325828776,0.19271977052963005,0.11847261411876157,0.9964859435631027,0.3753278943502889,0.0017602666972793032,0.9902465888798727,0.21679264179089885,0.0005595869908982585
0.4,snap_collegemsg,real,1,1,1899,False,1.0,0.0830644120304634,0.0830644120304634,0.0,0.0,0.20088878252657466,0.08352416266900554,0.20205479452054798,0.08797089041095892,0.001166011993973315,0.004446727741953366,0.001166011993973315,0.004446727741953366,0.31579499307470826,0.13311101808443854,0.001166011993973315,0.004446727741953366,0.2595717227972501,0.08112955803304917,0.20012420012404114,0.08409124296477694,0.17092083969070282,0.07832629795121412,1.0,0.001166011993973315,0.0,1.0,0.004446727741953366,0.0
0.4,snap_mathoverflow,real,3,3,13551,True,0.5473161274687992,0.10000621127871227,0.09924907871974391,0.005647388362092956,0.0023157360527212285,0.05284151775171433,0.023083727029525766,0.08865681906553984,0.03856122002005571,0.03581530131382552,0.015477492990529947,0.034687185781676726,0.015092487347933198,0.3344606232273641,0.13551195946354852,0.034687185781676726,0.015092487347933198,0.10400236334689361,0.028025308774390165,0.10906130179305966,0.03467798180322288,0.05877836997270867,0.01637463523596377,0.8637958992473911,0.030167912951732562,0.0015953739280001745,0.8698529622087022,0.013161756937808718,0.0011996123142561444
0.4,nr_digg_reply,real,3,3,14229,True,0.4686758893280632,0.10000004861438117,0.09945607216993647,0.0005843937382530562,0.00017621023523603423,0.0012892355862000843,0.0003334877223522972,0.002868598193515449,0.0007466968832092606,0.0015793626073153648,0.0004132091608569633,0.002163756345568421,0.0005761689613260492,0.41577956759326407,0.1622271565826036,0.002163756345568421,0.0005761689613260492,0.0013098378421232085,0.0003608781787359963,0.14091528578329485,0.0633378099251512,0.07058755635810726,0.021880219338536993,0.7299170308847619,0.0009949688690623086,0.00013627158357555188,0.7010443897773732,0.00023699892562092917,3.6722480921210406e-05
0.4,sp_hospital__pwt,surrogate,3,3,37,True,0.49333333333333335,0.09837349397590361,0.08224564926372155,0.009151966208245618,0.01259469082945018,0.08878050094445518,0.08550960842986931,0.2706300464188814,0.5419395461491943,0.1818495454744262,0.4564299377193249,0.18592800562099024,0.4621975413525698,0.5448165870528993,0.5076319653301338,0.18592800562099024,0.4621975413525698,0.15668109035532327,0.15553475473359143,0.1070056936685847,0.15300555105220767,0.3068270254433549,0.2976283180158887,0.9520843257855958,0.17269757926618057,0.025043793011853933,0.9731470586770254,0.44383524688987475,0.008589930350363343
0.4,sp_highschool2013__pwt,surrogate,3,3,165,True,0.5045871559633027,0.09996234635852637,0.09815146094215861,0.011842803318402853,0.014829864632053871,0.17156011597855433,0.15352579253077372,0.28034709301738475,0.48466351384900347,0.1087869770388304,0.33113772131822977,0.11209231883148348,0.3328099480475065,0.37316000735458177,0.356493405104684,0.11209231883148348,0.3328099480475065,0.3115560682703719,0.22935230996987324,0.024957091316631413,0.05951933526214598,0.15446995723868662,0.16625986243729832,0.9018252102977262,0.09694417372042756,0.0014986022479710833,0.9571351038817117,0.3163078566861759,0.012509635874616539
