graph_id,stratum,length,L,paths,distinct_dyad_coverage,cell_coverage,repeated_step_fraction,edge_traversal_hhi,top_degree_one_percent_node_traversal_share,plugin_rho2_mean,plugin_rho2_sd,plugin_rho2_bias,plugin_rho2_bias_MCSE,plugin_rho2_rmse,plugin_rho2_minus_component_target,plugin_rho3_mean,plugin_rho3_sd,plugin_rho3_bias,plugin_rho3_bias_MCSE,plugin_rho3_rmse,plugin_rho3_minus_component_target,plugin_rho4_mean,plugin_rho4_sd,plugin_rho4_bias,plugin_rho4_bias_MCSE,plugin_rho4_rmse,plugin_rho4_minus_component_target,plugin_rho5_mean,plugin_rho5_sd,plugin_rho5_bias,plugin_rho5_bias_MCSE,plugin_rho5_rmse,plugin_rho5_minus_component_target,plugin_ProfileAE_mean,design_rho2_mean,design_rho2_sd,design_rho2_bias,design_rho2_bias_MCSE,design_rho2_rmse,design_rho2_minus_component_target,design_rho3_mean,design_rho3_sd,design_rho3_bias,design_rho3_bias_MCSE,design_rho3_rmse,design_rho3_minus_component_target,design_rho4_mean,design_rho4_sd,design_rho4_bias,design_rho4_bias_MCSE,design_rho4_rmse,design_rho4_minus_component_target,design_rho5_mean,design_rho5_sd,design_rho5_bias,design_rho5_bias_MCSE,design_rho5_rmse,design_rho5_minus_component_target,design_ProfileAE_mean
sp_hospital,real,L,111,1000,0.08920368744512731,0.10058758548132561,0.08465765765765766,0.010646538430322214,0.03988288288288288,0.5453318963989525,0.04976092969761888,0.10020459174574797,0.0015735787633198947,0.11186882577903018,0.10020459174574797,0.2362639418460152,0.043847688687790314,0.07208483736840327,0.0013865856638741708,0.08436184541537284,0.07208483736840327,0.07746698005136357,0.026454504823245767,0.03181289752282977,0.0008365648961336673,0.041366670562371345,0.03181289752282977,0.0230199098038589,0.014587107473283727,0.00897249979507927,0.00046128484089240346,0.017119482273287072,0.00897249979507927,0.05565090078040423,0.447387040947749,0.06165875124577538,0.0022597362945444566,0.0019498209161839472,0.06166932958695189,0.0022597362945444566,0.1656601473152154,0.03949467904375699,0.0014810428376034468,0.0012489314123559298,0.03950270029989626,0.0014810428376034468,0.046447327645212755,0.01894602420346988,0.0007932451166789561,0.0005991258908764222,0.018953155914002373,0.0007932451166789561,0.014351306496262026,0.010090846259883534,0.0003038964874823944,0.00031910057699823343,0.010090376907602065,0.0003038964874823944,0.02570425037298811
sp_hospital,real,4L,444,1000,0.30212730465320453,0.3347154129405576,0.22494819819819822,0.003500253632010389,0.039063063063063064,0.5297100089744963,0.02370058053304548,0.08458270432129172,0.000749478163526713,0.08783729088712165,0.08458270432129172,0.2252494164806545,0.018675699268934576,0.061070312003042554,0.0005905774658617475,0.06385934520169671,0.061070312003042554,0.07247636760851432,0.010543095000298564,0.026822285079980523,0.0003334019378847708,0.02881806156293101,0.026822285079980523,0.021766553569345228,0.005822782165459874,0.007719143560565597,0.00018413253961860622,0.009667267693762933,0.007719143560565597,0.04517176608855468,0.444050050654183,0.03219692705233898,-0.0010772539990215324,0.001018156231436825,0.03219885006767216,-0.0010772539990215324,0.16460922004636439,0.019686774421025555,0.0004301155687524427,0.0006225504695238339,0.019681628932070764,0.0004301155687524427,0.04602346814461922,0.009026976031805353,0.00036938561608541864,0.0002854580464425347,0.009030019696317407,0.00036938561608541864,0.01431798458397844,0.004786500550297504,0.00027057457519880784,0.0001513624376058945,0.004791752031483298,0.00027057457519880784,0.013094015965816023
sp_highschool2013,real,L,621,1000,0.09740030938466827,0.1000353966559943,0.08747987117552335,0.001916082574207618,0.05431803542673108,0.5042036269923535,0.020885256671862067,0.018641578178328122,0.0006604498060031202,0.027986893169518228,0.018641578178328122,0.28657893066221146,0.018024505489803857,0.019476833721682074,0.0005699849104598905,0.026531207420241353,0.019476833721682074,0.14000298288996638,0.013844219150121519,0.011780225928811339,0.00043779264940904547,0.01817262954023313,0.011780225928811339,0.05415028079770498,0.009064709847048177,0.0024142890479628004,0.00028665129445228777,0.009376331225680656,0.0024142890479628004,0.01678933555242584,0.48451545757837494,0.024843143934214322,-0.0010465912356504847,0.0007856091907151354,0.024852765881287625,-0.0010465912356504847,0.26650852306231154,0.02070625830288212,-0.0005935738782178457,0.0006547893805688015,0.02070441290453974,-0.0005935738782178457,0.12825589754054698,0.015213921294151842,3.314057939193815e-05,0.0004811064343205637,0.015206348543996506,3.314057939193815e-05,0.05208756947178989,0.01032024918048503,0.00035157772204771204,0.0003263549343081883,0.010321077584186395,0.00035157772204771204,0.014171362759891325
sp_highschool2013,real,4L,2484,1000,0.3266940529391543,0.3346684453930986,0.23482045088566827,0.0006392075142425209,0.05433776167471821,0.5029564369268542,0.0095933374973787,0.017394388112828785,0.0003033679685441629,0.019862145655341265,0.017394388112828785,0.28462205568171556,0.008455945532575745,0.01751995874118617,0.0002674004765326489,0.019452004167383453,0.01751995874118617,0.13829234396409407,0.006342985059031425,0.010069587002939029,0.00020058279950956886,0.011899151583596002,0.010069587002939029,0.05392693159802958,0.004211615877218835,0.0021909398482874015,0.00013318298801739574,0.004745544015996284,0.0021909398482874015,0.012318968894664668,0.4854565893280518,0.012721144807938274,-0.00010545948597362464,0.00040227792037910175,0.012715219990330179,-0.00010545948597362464,0.26689538062535606,0.010694326657488639,-0.00020671631517332756,0.000338184302795195,0.010690976834198729,-0.00020671631517332756,0.12802936805406767,0.0076950224349696195,-0.00019338890708736622,0.00024333797540598915,0.007693604888073959,-0.00019338890708736622,0.05172468916360611,0.00530379861093123,-1.1302586136067994e-05,0.00016772083861379912,0.005301158097440983,-1.1302586136067994e-05,0.007289075135875922
copenhagen_bluetooth,real,L,8060,1000,0.09514803218911103,0.09994356156039759,0.06115099255583126,0.00014001055975961923,0.03234497518610422,0.49293259175792525,0.005670785249480682,0.046006903338460914,0.00017932597510045132,0.04635472793939006,0.046006903338460914,0.24771246066767502,0.004647020268304007,0.02696557270087005,0.00014695168380807427,0.027362662766305522,0.02696557270087005,0.1204510667452903,0.0035146081899511054,0.013019908691725604,0.00011114166963327205,0.01348547887911342,0.013019908691725604,0.04708500055687748,0.0023460786091976256,0.005566076880277451,7.418951974864553e-05,0.006039850378349889,0.005566076880277451,0.02289437356547949,0.4474765970305239,0.019260027654952213,0.0005509086110595529,0.0006090555518748057,0.019258276581823053,0.0005509086110595529,0.22025004131636114,0.009555237349910092,-0.0004968466504438329,0.00030216313609227193,0.009563373612191516,-0.0004968466504438329,0.10718819384176155,0.006131910376210699,-0.00024296421180314276,0.00019390803196845776,0.006133657648192934,-0.00024296421180314276,0.04147282298412739,0.00393667067907811,-4.6100692472635096e-05,0.00012448845743888592,0.003934971910106126,-4.6100692472635096e-05,0.004347032935487134
copenhagen_bluetooth,real,4L,32240,1000,0.32207755563938134,0.3359856169882887,0.2054954094292804,4.621106665886742e-05,0.03229036910669976,0.4865372597769856,0.0024890680267018275,0.03961157135752125,7.87112421547858e-05,0.03968961891469744,0.03961157135752125,0.2437066836534854,0.0021086058306900297,0.02295979568668044,6.66799711249187e-05,0.02305632213308925,0.02295979568668044,0.11857285697535486,0.0015868671918172932,0.011141698921790164,5.018114670337957e-05,0.011254025244364847,0.011141698921790164,0.046253074730442094,0.0010268657705065675,0.004734151053842069,3.247234686064508e-05,0.004844128926641136,0.004734151053842069,0.01961180425495849,0.44733607034122636,0.010150320116583905,0.00041038192176201527,0.0003209813054823098,0.010153540406792491,0.00041038192176201527,0.22055596935569285,0.004983094686530241,-0.0001909186111121175,0.00015757929005718335,0.004984260360207919,-0.0001909186111121175,0.10733258315082907,0.003111082477262336,-9.857490273562641e-05,9.838106616787984e-05,0.003111088612945276,-9.857490273562641e-05,0.04151390423615326,0.001765402448880999,-5.019440446764334e-06,5.582692725302932e-05,0.0017645266661320002,-5.019440446764334e-06,0.0022213131597150337
sp_workplace,real,L,461,1000,0.09900304164716894,0.09970787781350483,0.08212798264642084,0.0025527924299245724,0.044900216919739694,0.2948350942065054,0.021324809198075535,0.004708748862565282,0.0006743496773442744,0.02182807952380838,0.004708748862565282,0.12318049447007536,0.014975510613415163,0.004088309163570905,0.0004735672266241723,0.015516311547249743,0.004088309163570905,0.04763333239138518,0.009872030681107391,0.0015406791391624416,0.00031218102083362733,0.00998665234144091,0.0015406791391624416,0.0,0.0,0.0,0.0,0.0,0.0,0.009424973500334652,0.2899641665462827,0.025224082318786967,-0.0001621787976573974,0.0007976555201494824,0.02521198874461366,-0.0001621787976573974,0.11819100315251141,0.017396388088287442,-0.0009011821539930409,0.0005501220941921068,0.017411025629596507,-0.0009011821539930409,0.04545244319168666,0.010976518309819884,-0.0006402100605360783,0.000347107986375726,0.010989692405759907,-0.0006402100605360783,0.0,0.0,0.0,0.0,0.0,0.0,0.010590736480245649
sp_workplace,real,4L,1844,1000,0.33227304632662613,0.334662540192926,0.22986171366594357,0.0008491790223083837,0.045273318872017354,0.2945776374292673,0.00988574299457949,0.004451292085327185,0.00031261464225924775,0.010837166966934637,0.004451292085327185,0.12335280794032408,0.007153966052193221,0.004260622633819627,0.000226228270284536,0.008323518262938654,0.004260622633819627,0.047845698216624634,0.004454736837302688,0.0017530449644018939,0.0001408711478253143,0.004785185707634216,0.0017530449644018939,0.0,0.0,0.0,0.0,0.0,0.0,0.004825184378866647,0.28937760021186,0.012489080323608527,-0.0007487451320801197,0.00039493939703395716,0.012505269668225065,-0.0007487451320801197,0.11884149479589996,0.009025927043730477,-0.0002506905106044871,0.0002854248745269851,0.009024895421657448,-0.0002506905106044871,0.04604007844429771,0.005558679822497724,-5.257480792503211e-05,0.00017578089022713284,0.005556148536360653,-5.257480792503211e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.005408494554862784
snap_email_eu,real,L,1701,1000,0.09268096364541833,0.09994361639232038,0.12473427395649618,0.0007561917618746933,0.1789703115814227,0.5721624350862677,0.011988396152335037,0.06643534345280155,0.0003791063733377764,0.06750727946195663,0.06643534345280155,0.35607116363228963,0.011509184871538364,0.05851140267611432,0.00036395238206013647,0.059631477578517514,0.05851140267611432,0.18252096896716763,0.009306034779159192,0.02315841916637082,0.0002942826588688509,0.02495652338193244,0.02315841916637082,0.046608507887324076,0.00488911217803553,0.008697651313618895,0.00015460730218658925,0.009976404805581136,0.008697651313618895,0.03924247665916297,0.5029713278656165,0.03339369424459017,-0.002755763767849695,0.0010560013330016087,0.03349056449852804,-0.002755763767849695,0.29568370195087734,0.02587733282704785,-0.0018760590052979698,0.0008183131150371526,0.025932341106790303,-0.0018760590052979698,0.15827021014817938,0.017459776404710803,-0.00109233965261743,0.0005521266087615196,0.017485198146634597,-0.00109233965261743,0.03760474525286349,0.008206706850909747,-0.0003061113208416913,0.0002595188573818268,0.008208312338122841,-0.0003061113208416913,0.016189536064710675
snap_email_eu,real,4L,6804,1000,0.2834272285856574,0.2994937922021346,0.33083847736625516,0.0002969324853347324,0.1789593621399177,0.5554450396701438,0.005421992070879662,0.04971794803667762,0.00017145844399352842,0.05001242802540633,0.04971794803667762,0.33934605495767634,0.004952530494273852,0.04178629400150102,0.00015661276543344865,0.042078467143163566,0.04178629400150102,0.17513149830861072,0.0039037875443686545,0.015768948507813907,0.00012344860141600572,0.01624450844674787,0.015768948507813907,0.04405461183842713,0.0020618418012184865,0.0061437552647219465,6.520116266794552e-05,0.006480175088254739,0.0061437552647219465,0.028355567118247094,0.5044312656227156,0.016338057189634717,-0.0012958260107506225,0.0005166547326133524,0.016381219297389945,-0.0012958260107506225,0.2969755827304411,0.012525900342252266,-0.0005841782257341999,0.00039610374825799796,0.012533257573515092,-0.0005841782257341999,0.15874979168760908,0.008813355362598644,-0.000612758113187728,0.0002787027677427088,0.008830233859868959,-0.000612758113187728,0.037596475902846906,0.003942636344663751,-0.0003143806708582747,0.00012467710834898098,0.003953185066642667,-0.0003143806708582747,0.008010415162454553
