evidence_block,arm,method,graphs,MAE2,MAE2_se,ProfileMAE,ProfileMAE_se,signed_rho2,signed_rho2_se,worst_graph_AE2,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
real,R,plugin,8,0.014845009275264354,0.0030121117359891147,0.009929455545036332,0.0027362079669188064,-0.011229278586593776,0.002572781579416453,0.024248173318841548,0.0,0.0,,
real,R,corrector,8,0.014845009275264354,0.0030121117359891147,0.009929455545036332,0.0027362079669188064,-0.011229278586593776,0.002572781579416453,0.024248173318841548,,,0.0,0.0
real,R,median,8,0.2396987696760392,0.03651749614287755,0.11015221734076834,0.014439463003087996,0.05898958163993918,0.0951017666307049,0.41577956759326407,0.22485376040077484,0.039222084468439444,0.22485376040077484,0.039222084468439444
real,R,extratrees_pooled,8,0.04280109292002798,0.012257640633885687,0.022527352341072306,0.005627462903607791,0.020956503918931953,0.01838742470338805,0.12139242410607227,0.027956083644763628,0.013494154663894514,0.027956083644763628,0.013494154663894514
real,R,extratrees_real_only,8,0.05242068250719686,0.006355796733759745,0.025333079381750525,0.003442979742244473,0.0020879208806550897,0.020792655316455775,0.08747706887971322,0.037575673231932505,0.006888210069445784,0.037575673231932505,0.006888210069445784
real,S1,plugin,8,0.059528162555929076,0.024972158469570405,0.028622942266922302,0.010112848834028954,0.05690874675565284,0.025770273595029522,0.22121561189415484,0.0,0.0,,
real,S1,corrector,8,0.059528162555929076,0.024972158469570405,0.028622942266922302,0.010112848834028954,0.05690874675565284,0.025770273595029522,0.22121561189415484,,,0.0,0.0
real,S1,median,8,0.2396987696760392,0.03651749614287755,0.11015221734076834,0.014439463003087996,0.05898958163993918,0.0951017666307049,0.41577956759326407,0.18017060712011013,0.03878369025274744,0.18017060712011013,0.03878369025274744
real,S1,extratrees_pooled,8,0.0682387384424178,0.024015910498987027,0.03309569327855078,0.009459860350067097,0.0637412498699266,0.02572082588348476,0.22470618337812842,0.008710575886488735,0.010165101620010405,0.008710575886488735,0.010165101620010405
real,S1,extratrees_real_only,8,0.07261235773399427,0.025850615303589772,0.0436319205248806,0.010881186141925944,0.05586088302753542,0.031236188774498838,0.2289873835217983,0.013084195178065187,0.018594352938131317,0.013084195178065187,0.018594352938131317
real,S1,design_reference,8,0.014004043483862326,0.003592028780564888,0.009538771760974417,0.0023795720760036755,-0.011241643983062002,0.0035028690566714002,0.03369458432386981,-0.04552411907206675,0.024527009703776904,-0.04552411907206675,0.024527009703776904
real,S2,plugin,8,0.059528162555929076,0.024972158469570405,0.028622942266922302,0.010112848834028954,0.05690874675565284,0.025770273595029522,0.22121561189415484,0.045524119072071455,0.02452700970377149,,
real,S2,corrector,8,0.01400404348385762,0.003592028780574423,0.009538771760987597,0.0023795720760065087,-0.011241643983058006,0.0035028690566723374,0.03369458432391481,,,-0.045524119072071455,0.02452700970377149
