strategy,budget,estimator,mae,r2,spearman,n
recency_biased,50,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
recency_biased,50,plugin,0.2626687457961032,-2.569357372184977,0.38411580117018557,540
recency_biased,50,plugin_cond,0.20613056214574862,-1.3971023541342897,0.4713286272020919,540
recency_biased,50,ridge,0.10434227559645903,0.39179808459437515,0.6391056824443002,540
recency_biased,50,xgboost,0.11054173114362396,0.26666696806299806,0.5526242402590679,540
recency_biased,100,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
recency_biased,100,plugin,0.26045051000963,-2.5094638150374178,0.5057937530177687,540
recency_biased,100,plugin_cond,0.19519278175945692,-1.0808511217235153,0.6479481601425535,540
recency_biased,100,ridge,0.08445663002317903,0.5795483277489399,0.7735878624265631,540
recency_biased,100,xgboost,0.08817059553569077,0.5341356500129624,0.7312195792513113,540
recency_biased,200,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
recency_biased,200,plugin,0.2593423111194129,-2.47469766606985,0.6419254524185594,540
recency_biased,200,plugin_cond,0.19135389456117544,-0.9515589216240485,0.7636152686841362,540
recency_biased,200,ridge,0.06855440161449079,0.7158213629838424,0.8505533866559072,540
recency_biased,200,xgboost,0.07031412333504236,0.6866348273373404,0.8236082968602455,540
recency_biased,400,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
recency_biased,400,plugin,0.25455132862175156,-2.3481527151602255,0.7842334797337184,540
recency_biased,400,plugin_cond,0.1788651043448244,-0.6858597107984905,0.8596167962978366,540
recency_biased,400,ridge,0.05126382021790295,0.842799065648743,0.9175134826657045,540
recency_biased,400,xgboost,0.05350366681332584,0.8215129605968133,0.8911065264480739,540
recency_biased,800,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
recency_biased,800,plugin,0.24545624629655896,-2.1176360445972713,0.8700487588095137,540
recency_biased,800,plugin_cond,0.1598296272189071,-0.34259509588956605,0.9200185282443357,540
recency_biased,800,ridge,0.03918655028731185,0.906525132018276,0.9472624915194794,540
recency_biased,800,xgboost,0.0404035050824699,0.8937172455283882,0.9344052068362704,540
recency_biased,1600,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
recency_biased,1600,plugin,0.23037506810985312,-1.7563786916650144,0.9401205303318315,540
recency_biased,1600,plugin_cond,0.13666749548192927,0.01176311655516904,0.9631103275132635,540
recency_biased,1600,ridge,0.027913940997200886,0.9519833565735606,0.9721390327278422,540
recency_biased,1600,xgboost,0.030367284938430255,0.9428168723488428,0.9617197728514892,540
recency_biased,3200,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
recency_biased,3200,plugin,0.2054459773156262,-1.2064221789814051,0.9697506739559748,540
recency_biased,3200,plugin_cond,0.10910917143601326,0.35521446952198876,0.9823913459802314,540
recency_biased,3200,ridge,0.018697641301116612,0.978076689606614,0.986094686073646,540
recency_biased,3200,xgboost,0.020757368788446882,0.9715896405885757,0.9811541610305309,540
time_agnostic,50,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic,50,ridge,0.14702302249930807,-0.12746271826580302,-0.1573605163637747,540
time_agnostic,50,xgboost,0.15776607173761545,-0.39336965251602884,-0.07811404044814127,540
time_agnostic,100,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic,100,ridge,0.14091006376028564,-0.016650783447797135,-0.029574330740073287,540
time_agnostic,100,xgboost,0.14538889529493648,-0.16509115112344563,0.17487855150222875,540
time_agnostic,200,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic,200,ridge,0.14485864790646255,-0.08491743130615648,-0.21420932555894165,540
time_agnostic,200,xgboost,0.1494165636832416,-0.26514822626715273,0.07650916622548491,540
time_agnostic,400,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic,400,ridge,0.14284734194152754,-0.056505694157656494,-0.16157313972104176,540
time_agnostic,400,xgboost,0.1491402964353098,-0.21378148387850282,0.04716712994028181,540
time_agnostic,800,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic,800,ridge,0.15082540155234161,-0.18811388366983084,-0.18197328752348077,540
time_agnostic,800,xgboost,0.14749090371554996,-0.20405359637841247,0.09607372465679635,540
time_agnostic,1600,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic,1600,ridge,0.15390358013871536,-0.2631361142932871,-0.19574862306081264,540
time_agnostic,1600,xgboost,0.15364518979281178,-0.2872991988167448,0.05267841235474307,540
time_agnostic,3200,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic,3200,ridge,0.14403467109338727,-0.06772682716390799,-0.18081379676350862,540
time_agnostic,3200,xgboost,0.14860811675283206,-0.2334196259209509,0.06744245052738952,540
time_agnostic_t,50,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic_t,50,plugin,0.26010902185137574,-2.4812732567171536,0.49970784408895613,540
time_agnostic_t,50,plugin_cond,0.1646540211924046,-0.704645550785354,0.530880812535252,540
time_agnostic_t,50,ridge,0.11568949540502527,0.26386322966282116,0.5155933946994261,540
time_agnostic_t,50,xgboost,0.12057496091587712,0.12321736742990674,0.43391491473216437,540
time_agnostic_t,100,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic_t,100,plugin,0.25978362169947355,-2.467450750643665,0.6452922860491016,540
time_agnostic_t,100,plugin_cond,0.13813348293737693,-0.1651053392634627,0.6865517951786334,540
time_agnostic_t,100,ridge,0.10141905141400458,0.42052981062242,0.6693951874509423,540
time_agnostic_t,100,xgboost,0.1009394998311093,0.36536454216955205,0.6175256952534605,540
time_agnostic_t,200,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic_t,200,plugin,0.25866984157443434,-2.432660393203423,0.7771430043710622,540
time_agnostic_t,200,plugin_cond,0.1273569453928758,0.031207496789923517,0.8091974396394703,540
time_agnostic_t,200,ridge,0.08235906848688355,0.6047618287202217,0.7907442711908836,540
time_agnostic_t,200,xgboost,0.07813601405684194,0.6115375642005924,0.7772351444891362,540
time_agnostic_t,400,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic_t,400,plugin,0.2557214960751867,-2.3526836818033057,0.8561307163383807,540
time_agnostic_t,400,plugin_cond,0.12462145794192389,0.11722395450170942,0.8733964977948299,540
time_agnostic_t,400,ridge,0.06438718819266079,0.750313212964689,0.8664449033377208,540
time_agnostic_t,400,xgboost,0.06547824110824818,0.733001555051974,0.8322560066698472,540
time_agnostic_t,800,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic_t,800,plugin,0.25006794202484933,-2.204404231314214,0.9258363191713334,540
time_agnostic_t,800,plugin_cond,0.12352000827985189,0.17954066544812342,0.9394805176777451,540
time_agnostic_t,800,ridge,0.042225038600386025,0.8873647803716923,0.9358730517184225,540
time_agnostic_t,800,xgboost,0.04278534760990751,0.8851073231777496,0.9246843545663578,540
time_agnostic_t,1600,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic_t,1600,plugin,0.2383885946333928,-1.9057042800605575,0.9666746632141618,540
time_agnostic_t,1600,plugin_cond,0.12001013701885563,0.2530471593787308,0.975995138016334,540
time_agnostic_t,1600,ridge,0.026786712016981906,0.9542884738118673,0.9735274646106588,540
time_agnostic_t,1600,xgboost,0.02911042793210083,0.946059031638297,0.9635733271286866,540
time_agnostic_t,3200,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_agnostic_t,3200,plugin,0.21537782944905934,-1.3734918185730645,0.9826542429644736,540
time_agnostic_t,3200,plugin_cond,0.11145401230364806,0.3598136852642163,0.9906802522293761,540
time_agnostic_t,3200,ridge,0.014794206839740549,0.9858111442928933,0.9900199136338936,540
time_agnostic_t,3200,xgboost,0.016390330219388596,0.9830403127627816,0.9868631325921684,540
time_respecting,50,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_respecting,50,plugin,0.2696133791995217,-2.748797376963993,0.2940279499085976,540
time_respecting,50,plugin_cond,0.2298924999364945,-1.9309918902778538,0.33836124366271964,540
time_respecting,50,ridge,0.11236805789319972,0.29257856105945546,0.5455923792132975,540
time_respecting,50,xgboost,0.12372187477850718,0.11454153439993842,0.41010808643999525,540
time_respecting,100,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_respecting,100,plugin,0.26929119777205246,-2.7345798347374566,0.3724083182138136,540
time_respecting,100,plugin_cond,0.22383337595691682,-1.6949527777553102,0.494126897939141,540
time_respecting,100,ridge,0.0951459003657618,0.477572130277108,0.6962236727466199,540
time_respecting,100,xgboost,0.09598007031024038,0.4341507368247681,0.663923616554305,540
time_respecting,200,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_respecting,200,plugin,0.2675212503680987,-2.682995162112941,0.5093671069243664,540
time_respecting,200,plugin_cond,0.21908125468906112,-1.5383344904633343,0.6553542709309823,540
time_respecting,200,ridge,0.0765408684585179,0.6510738016400737,0.804598410030819,540
time_respecting,200,xgboost,0.07774179721965258,0.620398515462874,0.7748008540747631,540
time_respecting,400,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_respecting,400,plugin,0.2654862242009046,-2.6324192343820467,0.6736206132395383,540
time_respecting,400,plugin_cond,0.21706300771751671,-1.4678572835065404,0.7618315917071264,540
time_respecting,400,ridge,0.06861792338237607,0.7155774872116138,0.8489844083283439,540
time_respecting,400,xgboost,0.06598943028855442,0.7406326606782184,0.8448537129694316,540
time_respecting,800,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_respecting,800,plugin,0.26134051351285476,-2.5177090854425437,0.8135164752431313,540
time_respecting,800,plugin_cond,0.21225912918928017,-1.3384564333694868,0.8577805763016723,540
time_respecting,800,ridge,0.05092144184806375,0.8377762416044916,0.9101035334340379,540
time_respecting,800,xgboost,0.05264404467129811,0.825488525235696,0.8911451659784607,540
time_respecting,1600,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_respecting,1600,plugin,0.2527315949143725,-2.2915403475364733,0.8996048830185214,540
time_respecting,1600,plugin_cond,0.20088007854683992,-1.0916441603019744,0.9221295184061032,540
time_respecting,1600,ridge,0.03915208734449975,0.9045382754834785,0.9439410923601297,540
time_respecting,1600,xgboost,0.041988311904521756,0.8870344525593559,0.9270816821163567,540
time_respecting,3200,mean_floor,0.14250734607747204,-0.032404714497442866,-0.23399918334203304,540
time_respecting,3200,plugin,0.23742991124354876,-1.911861069112443,0.9492247707463255,540
time_respecting,3200,plugin_cond,0.18309068733964975,-0.7489755691564877,0.959912020446408,540
time_respecting,3200,ridge,0.031715113056495055,0.9298858923193449,0.9637474717577479,540
time_respecting,3200,xgboost,0.0302633816218046,0.9392755692498499,0.9602755537176998,540
