family,arm,method,graphs,MAE2,MAE2_se,ProfileMAE,ProfileMAE_se,signed_rho2,signed_rho2_se,paired_vs_corrector,paired_vs_corrector_se,paired_vs_plugin,paired_vs_plugin_se
all,R,plugin,100,0.005410279390847979,0.00035059494885415624,0.004174147195179072,0.00026459236737761327,6.567803172938518e-05,0.00030983090751922793,0.0,0.0,,
all,R,corrector,100,0.005410279390847979,0.00035059494885415624,0.004174147195179072,0.00026459236737761327,6.567803172938518e-05,0.00030983090751922793,,,0.0,0.0
all,R,median,100,0.3055011846117026,0.014455675017315683,0.2112576308998595,0.015130285881709542,-0.21080863870545635,0.02651059996248579,0.3000909052208547,0.01456614368879687,0.3000909052208547,0.01456614368879687
all,R,extratrees_pooled,100,0.009365506734380254,0.0006411648809450623,0.006856852203856072,0.0004296357737332645,-0.0003690192805305523,0.0010921475806918196,0.0039552273435322725,0.0006470661949527404,0.0039552273435322725,0.0006470661949527404
all,R,extratrees_real_only,100,0.14890568969199136,0.010985145133860022,0.09666606348674081,0.00915426355813152,-0.14727479507302696,0.011204311204933582,0.1434954103011434,0.011070560013310386,0.1434954103011434,0.011070560013310386
all,S,plugin,100,0.10309532628035577,0.0038065906661449212,0.08245714562231923,0.004603888827819702,0.10025654805990424,0.004455365995756762,0.09214953043533264,0.0038688352136022988,,
all,S,corrector,100,0.01094579584502312,0.0017353770796832244,0.008399224789117341,0.0017514401459913231,-0.0007342405155296499,0.0017764549483495645,,,-0.09214953043533264,0.0038688352136022988
all,S,median,100,0.3055011846117026,0.014455675017315683,0.2112576308998595,0.015130285881709542,-0.21080863870545635,0.02651059996248579,0.2945553887666795,0.014519993893493247,0.20240585833134692,0.015169198892492766
all,S,extratrees_pooled,100,0.01165360774354545,0.0013295145204399587,0.009035646830088008,0.0010876899514331308,0.0007867395177031447,0.0016891161275083978,0.0007078118985223315,0.0009731168313493875,-0.0914417185368103,0.003824400002639503
all,S,extratrees_real_only,100,0.14904804327950624,0.011110903685427775,0.09793401564532347,0.009202467583786298,-0.14534464645967643,0.011592695416848124,0.13810224743448313,0.011042950101867283,0.04595271699915051,0.010760643079644732
all,H,plugin,100,0.09929408758276055,0.006085916141428336,0.13368070428008866,0.008817584593344762,-0.09929408758276055,0.006085916141428336,-0.020859789418979306,0.010501049483378986,,
all,H,corrector,100,0.12015387700173986,0.00780692044836274,0.07829489713421663,0.006074390236769309,0.12014707459739139,0.007807977858767577,,,0.020859789418979306,0.010501049483378986
