stratum,arm,config_id,mock,source,metric,value,MCSE,draws,valid_answers,planned_answers
real,R,qwen_thinking,False,snap_mathoverflow,baseline_ProfileAE_matched,0.0022634534721139416,0.0005931972906603437,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,baseline_ProfileAE_matched,0.0163136000220534,0.0038976969023552482,5,15,15
real,R,qwen_thinking,False,sp_hospital,baseline_ProfileAE_matched,0.02892326624459917,0.003210760108664369,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_ProfileAE_vs_baseline,0.00025174909142873975,0.0002507892119541595,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,delta_ProfileAE_vs_baseline,-9.262736712397782e-05,7.390515152674034e-05,5,15,15
real,R,qwen_thinking,False,snap_email_eu,delta_ProfileAE_vs_baseline,4.951451904955153e-07,4.606112356245251e-06,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,delta_ProfileAE_vs_baseline,0.00030103983896596047,0.0003007088495164772,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,delta_ProfileAE_vs_baseline,0.00044114596740460536,0.0004428132230697283,5,15,15
real,R,qwen_thinking,False,sp_hospital,delta_ProfileAE_vs_baseline,0.002234312918409319,0.0021392796752816487,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,plugin_AE2_all,0.005840930126802024,0.001539859254209723,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,plugin_AE2_all,0.0056808479219702555,0.0032459681847508337,5,15,15
real,R,qwen_thinking,False,snap_email_eu,plugin_AE2_all,0.022097390603300692,0.005854459597495738,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,plugin_AE2_all,0.0045310085670798,0.0012406846214680924,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,plugin_AE2_all,0.02486704458136163,0.008164288779919903,5,15,15
real,R,qwen_thinking,False,sp_hospital,plugin_AE2_all,0.04210589674348801,0.0055909765188723575,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,plugin_AE2_matched,0.005840930126802024,0.001539859254209723,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,plugin_AE2_matched,0.0056808479219702555,0.0032459681847508337,5,15,15
real,R,qwen_thinking,False,snap_email_eu,plugin_AE2_matched,0.022097390603300692,0.005854459597495738,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,plugin_AE2_matched,0.0045310085670798,0.0012406846214680924,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,plugin_AE2_matched,0.02486704458136163,0.008164288779919903,5,15,15
real,R,qwen_thinking,False,sp_hospital,plugin_AE2_matched,0.04210589674348801,0.0055909765188723575,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,delta_AE2_vs_plugin,1.8835226384424549e-06,1.8107289539206604e-06,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,delta_AE2_vs_plugin,-0.0002761907244908527,0.0002758782979669286,5,15,15
real,R,qwen_thinking,False,snap_email_eu,delta_AE2_vs_plugin,-2.988289887647285e-06,1.4886736465523043e-05,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,delta_AE2_vs_plugin,0.0010148719886991712,0.0010136558708991827,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,delta_AE2_vs_plugin,0.0017722789891666164,0.0017705665734226391,5,15,15
real,R,qwen_thinking,False,sp_hospital,delta_AE2_vs_plugin,0.006038764187152905,0.006557105620663655,5,15,15
real,R,qwen_thinking,False,copenhagen_bluetooth,plugin_ProfileAE_all,0.0049247257994300565,0.0008569281974935264,5,15,15
real,R,qwen_thinking,False,snap_collegemsg,plugin_ProfileAE_all,0.0028154319501629524,0.001186991598022331,5,15,15
real,R,qwen_thinking,False,snap_email_eu,plugin_ProfileAE_all,0.017329713866097697,0.002635530687539133,5,15,15
real,R,qwen_thinking,False,snap_mathoverflow,plugin_ProfileAE_all,0.0022634534721139416,0.0005931972906603437,5,15,15
real,R,qwen_thinking,False,sp_highschool2013,plugin_ProfileAE_all,0.0163136000220534,0.0038976969023552482,5,15,15
