stratum,arm,config_id,mock,complete,planned,started,terminal,valid_answers,invalid_terminal,not_started,in_progress,empty_skips,technical_failures,limit_hits,fenced_valid,accuracy_condition,valid_fraction,valid_fraction_MCSE,AE2,AE2_MCSE,sources_with_valid_answers,ProfileAE,ProfileAE_MCSE,signed_rho2,signed_rho2_MCSE,budget_matched,budget_matched_MCSE,baseline_AE2_all,baseline_AE2_all_MCSE,baseline_AE2_matched,baseline_AE2_matched_MCSE,delta_AE2_vs_baseline,delta_AE2_vs_baseline_MCSE,baseline_ProfileAE_all,baseline_ProfileAE_all_MCSE,baseline_ProfileAE_matched,baseline_ProfileAE_matched_MCSE,delta_ProfileAE_vs_baseline,delta_ProfileAE_vs_baseline_MCSE,plugin_AE2_all,plugin_AE2_all_MCSE,plugin_AE2_matched,plugin_AE2_matched_MCSE,delta_AE2_vs_plugin,delta_AE2_vs_plugin_MCSE,plugin_ProfileAE_all,plugin_ProfileAE_all_MCSE,plugin_ProfileAE_matched,plugin_ProfileAE_matched_MCSE,delta_ProfileAE_vs_plugin,delta_ProfileAE_vs_plugin_MCSE,extratrees_AE2_all,extratrees_AE2_all_MCSE,extratrees_AE2_matched,extratrees_AE2_matched_MCSE,delta_AE2_vs_extratrees,delta_AE2_vs_extratrees_MCSE,extratrees_ProfileAE_all,extratrees_ProfileAE_all_MCSE,extratrees_ProfileAE_matched,extratrees_ProfileAE_matched_MCSE,delta_ProfileAE_vs_extratrees,delta_ProfileAE_vs_extratrees_MCSE,median_AE2_all,median_AE2_all_MCSE,median_AE2_matched,median_AE2_matched_MCSE,delta_AE2_vs_median,delta_AE2_vs_median_MCSE,median_ProfileAE_all,median_ProfileAE_all_MCSE,median_ProfileAE_matched,median_ProfileAE_matched_MCSE,delta_ProfileAE_vs_median,delta_ProfileAE_vs_median_MCSE,numeric_model_estimate
real,R,sol,False,False,72,0,0,0,0,72,0,0,0,0,0,valid answers only; no imputation; equal source weights,,,,,0,,,,,,,0.014845009275264354,0.0032148157833341404,,,,,0.009929455545036332,0.0018985222642233708,,,,,0.014845009275264354,0.0032148157833341404,,,,,0.009929455545036332,0.0018985222642233708,,,,,0.04280109292002798,0.003176735868226181,,,,,0.02252735234107231,0.002184696096663177,,,,,0.23969876967603918,0.0,,,,,0.11015221734076833,1.635512977795599e-18,,,,,False
real,R,deepseek,False,False,72,0,0,0,0,72,0,0,0,0,0,valid answers only; no imputation; equal source weights,,,,,0,,,,,,,0.014845009275264354,0.0032148157833341404,,,,,0.009929455545036332,0.0018985222642233708,,,,,0.014845009275264354,0.0032148157833341404,,,,,0.009929455545036332,0.0018985222642233708,,,,,0.04280109292002798,0.003176735868226181,,,,,0.02252735234107231,0.002184696096663177,,,,,0.23969876967603918,0.0,,,,,0.11015221734076833,1.635512977795599e-18,,,,,False
real,R,qwen_thinking,False,True,72,72,72,72,0,0,0,0,0,0,0,valid answers only; no imputation; equal source weights,1.0,0.0,0.014846769695709246,0.0032146310121543985,8,0.01009387909650053,0.0018883857089737114,-0.011229927182733926,0.004159674794705664,1.0,0.0,0.014845009275264354,0.0032148157833341404,0.014845009275264354,0.0032148157833341404,1.7604204448932125e-06,3.0226608999542847e-06,0.009929455545036332,0.0018985222642233708,0.009929455545036332,0.0018985222642233708,0.0001644235514641952,0.00011013539204072978,0.014845009275264354,0.0032148157833341404,0.014845009275264354,0.0032148157833341404,1.7604204448932125e-06,3.0226608999542847e-06,0.009929455545036332,0.0018985222642233708,0.009929455545036332,0.0018985222642233708,0.0001644235514641952,0.00011013539204072978,0.04280109292002798,0.003176735868226181,0.04280109292002798,0.003176735868226181,-0.027954323224318733,0.0038913587330993006,0.02252735234107231,0.002184696096663177,0.02252735234107231,0.002184696096663177,-0.01243347324457178,0.0014374895754494827,0.23969876967603918,0.0,0.23969876967603918,0.0,-0.22485199998032993,0.0032146310121543985,0.11015221734076833,1.635512977795599e-18,0.11015221734076833,1.635512977795599e-18,-0.1000583382442678,0.001888385708973712,True
real,R,qwen_nonthinking,False,True,72,72,72,72,0,0,0,0,0,0,0,valid answers only; no imputation; equal source weights,1.0,0.0,0.5046184311428009,0.01774036927139782,8,0.36778760759165785,0.016087173880654292,0.5045332922783772,0.017772230742677957,1.0,0.0,0.014845009275264354,0.0032148157833341404,0.014845009275264354,0.0032148157833341404,0.48977342186753653,0.01824248541949452,0.009929455545036332,0.0018985222642233708,0.009929455545036332,0.0018985222642233708,0.35785815204662164,0.016641288609518138,0.014845009275264354,0.0032148157833341404,0.014845009275264354,0.0032148157833341404,0.48977342186753653,0.01824248541949452,0.009929455545036332,0.0018985222642233708,0.009929455545036332,0.0018985222642233708,0.35785815204662164,0.016641288609518138,0.04280109292002798,0.003176735868226181,0.04280109292002798,0.003176735868226181,0.46181733822277293,0.01956134054742703,0.02252735234107231,0.002184696096663177,0.02252735234107231,0.002184696096663177,0.34526025525058557,0.01723303503749698,0.23969876967603918,0.0,0.23969876967603918,0.0,0.2649196614667617,0.017740369271397816,0.11015221734076833,1.635512977795599e-18,0.11015221734076833,1.635512977795599e-18,0.25763539025088955,0.016087173880654296,True
real,S1,sol,False,False,72,0,0,0,0,72,0,0,0,0,0,valid answers only; no imputation; equal source weights,,,,,0,,,,,,,0.059528162555929076,0.0017161540641782679,,,,,0.028622942266922302,0.001470001242213313,,,,,0.059528162555929076,0.0017161540641782679,,,,,0.028622942266922302,0.001470001242213313,,,,,0.0682387384424178,0.0028581898103501985,,,,,0.033095693278550775,0.0017135859017143025,,,,,0.23969876967603918,0.0,,,,,0.11015221734076833,1.635512977795599e-18,,,,,False
real,S1,deepseek,False,False,72,0,0,0,0,72,0,0,0,0,0,valid answers only; no imputation; equal source weights,,,,,0,,,,,,,0.059528162555929076,0.0017161540641782679,,,,,0.028622942266922302,0.001470001242213313,,,,,0.059528162555929076,0.0017161540641782679,,,,,0.028622942266922302,0.001470001242213313,,,,,0.0682387384424178,0.0028581898103501985,,,,,0.033095693278550775,0.0017135859017143025,,,,,0.23969876967603918,0.0,,,,,0.11015221734076833,1.635512977795599e-18,,,,,False
real,S1,qwen_thinking,False,True,72,72,72,72,0,0,0,0,0,0,0,valid answers only; no imputation; equal source weights,1.0,0.0,0.059997180448870494,0.0022518849411656463,8,0.029512376018214916,0.0016005758012924785,0.05464980819943679,0.0025324193584991476,1.0,0.0,0.059528162555929076,0.0017161540641782679,0.059528162555929076,0.0017161540641782679,0.0004690178929414161,0.001518654187014195,0.028622942266922302,0.001470001242213313,0.028622942266922302,0.001470001242213313,0.0008894337512926175,0.0006288735554941415,0.059528162555929076,0.0017161540641782679,0.059528162555929076,0.0017161540641782679,0.0004690178929414161,0.001518654187014195,0.028622942266922302,0.001470001242213313,0.028622942266922302,0.001470001242213313,0.0008894337512926175,0.0006288735554941415,0.0682387384424178,0.0028581898103501985,0.0682387384424178,0.0028581898103501985,-0.008241557993547317,0.003575446914275152,0.033095693278550775,0.0017135859017143025,0.033095693278550775,0.0017135859017143025,-0.003583317260335865,0.0008682871495732655,0.23969876967603918,0.0,0.23969876967603918,0.0,-0.1797015892271687,0.0022518849411656467,0.11015221734076833,1.635512977795599e-18,0.11015221734076833,1.635512977795599e-18,-0.08063984132255342,0.0016005758012924782,True
real,S1,qwen_nonthinking,False,True,72,72,72,72,0,0,0,0,0,0,0,valid answers only; no imputation; equal source weights,1.0,0.0,0.3864374589450439,0.018512207715200825,8,0.2597393576881337,0.01652596562818612,0.3864374589450439,0.018512207715200825,1.0,0.0,0.059528162555929076,0.0017161540641782679,0.059528162555929076,0.0017161540641782679,0.3269092963891148,0.01809119875827359,0.028622942266922302,0.001470001242213313,0.028622942266922302,0.001470001242213313,0.23111641542121145,0.01639712228311404,0.059528162555929076,0.0017161540641782679,0.059528162555929076,0.0017161540641782679,0.3269092963891148,0.01809119875827359,0.028622942266922302,0.001470001242213313,0.028622942266922302,0.001470001242213313,0.23111641542121145,0.01639712228311404,0.0682387384424178,0.0028581898103501985,0.0682387384424178,0.0028581898103501985,0.3181987205026261,0.018317327729691434,0.033095693278550775,0.0017135859017143025,0.033095693278550775,0.0017135859017143025,0.22664366440958295,0.01660193906905138,0.23969876967603918,0.0,0.23969876967603918,0.0,0.14673868926900469,0.01851220771520082,0.11015221734076833,1.635512977795599e-18,0.11015221734076833,1.635512977795599e-18,0.14958714034736542,0.01652596562818612,True
real,S2,sol,False,False,72,0,0,0,0,72,0,0,0,0,0,valid answers only; no imputation; equal source weights,,,,,0,,,,,,,0.014004043483857621,0.0032404432522184475,,,,,0.009538771760987599,0.0014155783520519492,,,,,0.059528162555929076,0.0017161540641782679,,,,,0.028622942266922302,0.001470001242213313,,,,,0.04519230735499276,0.0031823147178984676,,,,,0.023400661773609457,0.001784079169465509,,,,,0.23969876967603918,0.0,,,,,0.11015221734076833,1.635512977795599e-18,,,,,False
real,S2,deepseek,False,False,72,0,0,0,0,72,0,0,0,0,0,valid answers only; no imputation; equal source weights,,,,,0,,,,,,,0.014004043483857621,0.0032404432522184475,,,,,0.009538771760987599,0.0014155783520519492,,,,,0.059528162555929076,0.0017161540641782679,,,,,0.028622942266922302,0.001470001242213313,,,,,0.04519230735499276,0.0031823147178984676,,,,,0.023400661773609457,0.001784079169465509,,,,,0.23969876967603918,0.0,,,,,0.11015221734076833,1.635512977795599e-18,,,,,False
real,S2,qwen_thinking,False,True,72,72,72,72,0,0,0,0,0,0,0,valid answers only; no imputation; equal source weights,1.0,0.0,0.05333871739377381,0.005439813866186963,8,0.02765294277654401,0.0036856684182190154,0.039148210723575425,0.005908153923938841,1.0,0.0,0.014004043483857621,0.0032404432522184475,0.014004043483857621,0.0032404432522184475,0.039334673909916185,0.005152847147891786,0.009538771760987599,0.0014155783520519492,0.009538771760987599,0.0014155783520519492,0.018114171015556416,0.0033825811264862854,0.059528162555929076,0.0017161540641782679,0.059528162555929076,0.0017161540641782679,-0.006189445162155262,0.004902617401869018,0.028622942266922302,0.001470001242213313,0.028622942266922302,0.001470001242213313,-0.0009699994903782884,0.0034195303520025404,0.04519230735499276,0.0031823147178984676,0.04519230735499276,0.0031823147178984676,0.008146410038781061,0.006498915428813976,0.023400661773609457,0.001784079169465509,0.023400661773609457,0.001784079169465509,0.004252281002934553,0.003698641015309511,0.23969876967603918,0.0,0.23969876967603918,0.0,-0.18636005228226538,0.005439813866186965,0.11015221734076833,1.635512977795599e-18,0.11015221734076833,1.635512977795599e-18,-0.08249927456422432,0.0036856684182190154,True
