stratum,arm,config_id,mock,valid_fraction,limit_fraction,technical_failure_fraction,fence_fraction,other_answer_error_fraction,replacement_fraction,started_logical_requests,not_started,in_progress,empty_observations,empty_fraction,complete,AE2,AE2_MCSE,ProfileAE,ProfileAE_MCSE,delta_AE2,delta_AE2_MCSE,delta_ProfileAE,delta_ProfileAE_MCSE
dar_a0,B,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.31369699784210225,0.003169619423613537,0.10107339552425447,0.0008085896020010836,0.2768038715264045,0.015633974605294813,0.08523293631002474,0.006175356493647156
dar_a08,R,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,R,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,R,qwen_thinking,False,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,30,0,0,0,0.0,True,0.0323698081978957,0.006239456101541007,0.03639772933057485,0.0035846647235247835,-0.00021322947722123657,0.0002124456877570579,0.00239392102627362,0.001411211510320275
dar_a08,R,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.03258303767511693,0.006247512008558669,0.03400380830430123,0.002827900502461776,0.0,0.0,0.0,0.0
dar_a08,S,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,S,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,S,qwen_thinking,False,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,30,0,0,0,0.0,True,0.07553078420749063,0.012493644912174636,0.07960797010879692,0.012287211283510529,0.029934495591295532,0.009493961161516925,0.03826662705880228,0.010728177396164818
dar_a08,S,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.13190510543729692,0.006498737345916381,0.17081562971992045,0.008089106027967188,0.08630881682110185,0.013731689187050653,0.12947428666992586,0.010604886012819946
dar_a08,H,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,H,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,H,qwen_thinking,False,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,30,0,0,0,0.0,True,0.1129735157326319,0.01774088733582225,0.1929201530356054,0.005912620223110606,-0.09979313007620516,0.01832934825965984,0.001338969137628324,0.005076584595894953
dar_a08,H,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.03334306495694459,0.006669601538120123,0.2121823682823198,0.004731900348879663,-0.17942358085189247,0.008268181506280977,0.020601184384342743,0.00823148426568807
dar_a08,B,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,B,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
dar_a08,B,qwen_thinking,False,1.0,0.0,0.0,0.23333333333333334,0.0,0.0,30,0,0,0,0.0,True,0.3702113571353406,0.0314621019534608,0.3669554873154903,0.01795756357301265,0.17102174130845543,0.031507093697167594,0.19208087703055926,0.019099560414748532
dar_a08,B,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.5234492178951824,0.005187365398191079,0.45580180584888097,0.001581292804827271,0.32425960206829707,0.012037369861000017,0.2809271955639499,0.011640080813187188
ad_memoryless,R,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,R,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,R,qwen_thinking,False,1.0,0.0,0.0,0.3,0.0,0.0,30,0,0,0,0.0,True,0.00861617074068887,0.0016183087708320704,0.0025031874878567537,0.0004266815763984733,-6.705846687439741e-05,6.53455530631108e-05,2.877111922975787e-06,3.707471393904552e-05
ad_memoryless,R,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.008683229207563268,0.0016244395586258373,0.0025003103759337784,0.0004159910662325053,0.0,0.0,0.0,0.0
ad_memoryless,S,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,S,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,S,qwen_thinking,False,1.0,0.0,0.0,0.4,0.0,0.0,30,0,0,0,0.0,True,0.01591828951487279,0.0041266748625046305,0.004412440004927953,0.0010454854997896774,0.010129631571298646,0.0043825337530777305,0.002793956049701383,0.001139154659837224
ad_memoryless,S,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.036818938479705646,0.004236871474076483,0.010041168377479141,0.0011337267953853054,0.031030280536131508,0.004983463410977705,0.008422684422252573,0.0013388968702828861
ad_memoryless,H,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,H,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,H,qwen_thinking,False,1.0,0.0,0.0,0.43333333333333335,0.0,0.0,30,0,0,0,0.0,True,0.15450420595697856,0.051998519978589425,0.05493730398811837,0.01858404927860032,0.14434578380995036,0.05230192952162853,0.05210089458143469,0.01866689777833062
ad_memoryless,H,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.021150267792714943,0.0026671792620573892,0.00572680688022444,0.0006923416397174022,0.01099184564568676,0.006188047328598562,0.0028903974735407455,0.0015689130675564948
ad_memoryless,B,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,B,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memoryless,B,qwen_thinking,False,1.0,0.0,0.0,0.4,0.0,0.0,30,0,0,0,0.0,True,0.05033111285229701,0.03358490803741056,0.02627547274759623,0.020868156772642654,0.03883375228923654,0.03425734999469514,0.023103508392939537,0.0210574605602904
ad_memoryless,B,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.04194532612560399,0.0003599384806215888,0.011027360754423215,9.622659377674687e-05,0.03044796556254351,0.0016698104593176862,0.007855396399766526,0.0004263547239817039
ad_memory,R,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,R,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,R,qwen_thinking,False,1.0,0.0,0.0,0.1,0.0,0.0,30,0,0,0,0.0,True,0.02061332508721678,0.00639372288829193,0.028299191213381154,0.0048410416579782465,-2.8671653454881428e-06,2.8186253004994283e-06,0.001040552015795155,0.001092369572665758
ad_memory,R,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.02061619225256227,0.006394236985430691,0.027258639197585994,0.0048340084094199804,0.0,0.0,0.0,0.0
ad_memory,S,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,S,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,S,qwen_thinking,False,1.0,0.0,0.0,0.26666666666666666,0.0,0.0,30,0,0,0,0.0,True,0.07189130766360954,0.008354280856242544,0.07006966739030435,0.01156608964606243,0.020310295241639912,0.009205226780291835,0.03292886793795354,0.01252851725939218
ad_memory,S,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.1511332999249013,0.004786363765817801,0.16624446131858636,0.006854791945730732,0.09955228750293169,0.006715042510475131,0.12910366186623556,0.007621665810051257
ad_memory,H,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,H,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,H,qwen_thinking,False,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,30,0,0,0,0.0,True,0.12655961628992984,0.0070606822067503724,0.1117083405061412,0.014587208777671397,0.0017729740378989558,0.007367221516044446,0.038016499678275806,0.014265811132272285
ad_memory,H,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.13436456222244714,0.00789070066601855,0.21172751090027175,0.0021354167299433824,0.009577919970416227,0.01070967241495911,0.13803567007240636,0.004266948048679387
ad_memory,B,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,B,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,
ad_memory,B,qwen_thinking,False,1.0,0.0,0.0,0.3,0.0,0.0,30,0,0,0,0.0,True,0.4619324147748244,0.04148424075879374,0.3101305758981895,0.018879872118113823,0.32472743662997317,0.04723085293645152,0.20010586512987022,0.027715526927625404
ad_memory,B,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.572700391614455,0.0038702471151428547,0.36962131427718925,0.0013812273862898723,0.43549541346960363,0.016517003206555088,0.25959660350887,0.012235679454390082
