stratum,arm,config_id,mock,median3_MAE2,median3_MCSE,spread_rho2_sd_valid,spread_rho2_range_valid,observations_with_three_valid
real,R,sol,False,,,,,0
real,R,deepseek,False,,,,,0
real,R,qwen_thinking,False,0.017520703304592124,0.002017966981951681,0.0002683770355815925,0.00046520000000000545,30
real,R,qwen_nonthinking,False,0.49720405822614616,0.015267521810111234,0.07679414489547866,0.14183333333333334,30
real,S,sol,False,,,,,0
real,S,deepseek,False,,,,,0
real,S,qwen_thinking,False,0.06176610555123214,0.019069320932557737,0.0690388829056303,0.12180666666666667,30
real,S,qwen_nonthinking,False,0.5107240582261462,0.015274396151003079,0.08570773673245019,0.16129666666666667,30
real,H,sol,False,,,,,0
real,H,deepseek,False,,,,,0
real,H,qwen_thinking,False,0.1288759176831259,0.009859754570018668,0.08839382200260382,0.15895689999999998,30
real,H,qwen_nonthinking,False,0.4232040582261462,0.015958278938114433,0.08745685240339184,0.1668333333333333,30
real,B,sol,False,,,,,0
real,B,deepseek,False,,,,,0
real,B,qwen_thinking,False,0.18342766528881257,0.009247266919594177,0.129798022454192,0.24204888333333333,29
real,B,qwen_nonthinking,False,0.5708373915594795,0.006085593187557352,0.0798065559683236,0.14713333333333334,30
dar_a0,R,sol,False,,,,,0
dar_a0,R,deepseek,False,,,,,0
dar_a0,R,qwen_thinking,False,0.016194671558715353,0.0031678551012087565,0.0018594845241633711,0.0033577000000000077,10
dar_a0,R,qwen_nonthinking,False,0.47582487829168163,0.0116619037896906,0.06337913924260709,0.118,10
dar_a0,S,sol,False,,,,,0
dar_a0,S,deepseek,False,,,,,0
dar_a0,S,qwen_thinking,False,0.06409597565833633,0.020133872296605283,0.07209635510064835,0.1315428,10
dar_a0,S,qwen_nonthinking,False,0.48482487829168164,0.014662878298615178,0.06449081037867171,0.12099999999999998,10
dar_a0,H,sol,False,,,,,0
dar_a0,H,deepseek,False,,,,,0
dar_a0,H,qwen_thinking,False,0.0216422058695658,0.0070519334625225695,0.013867934006346106,0.024026399999999996,10
dar_a0,H,qwen_nonthinking,False,0.4788248782916816,0.021272047386182644,0.08108786366155261,0.15199999999999997,10
dar_a0,B,sol,False,,,,,0
dar_a0,B,deepseek,False,,,,,0
dar_a0,B,qwen_thinking,False,0.262606373024991,0.04249886054994003,0.26100143191588976,0.4736791,10
dar_a0,B,qwen_nonthinking,False,0.5398248782916817,0.018493242008906927,0.06968329819946599,0.129,10
dar_a08,R,sol,False,,,,,0
dar_a08,R,deepseek,False,,,,,0
dar_a08,R,qwen_thinking,False,0.01906568603581621,0.003213514451295734,8.264342730951584e-06,1.4500000000006173e-05,10
