stratum,arm,method,MAE2,MCSE,ProfileMAE,signed_plugin_error,valid_fraction,replacement_fraction,empty_fraction,sources
real,H,median,0.22884872807441203,2.3129646346357427e-18,0.1116316236469765,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.1567993430755243, ""mcse"": 0.0}, ""snap_collegemsg"": {""mean"": 0.3157949930747082, ""mcse"": 0.0}, ""snap_email_eu"": {""mean"": 0.21560074628952602, ""mcse"": 1.3877787807814457e-17}, ""snap_mathoverflow"": {""mean"": 0.334460623227364, ""mcse"": 0.0}, ""sp_highschool2013"": {""mean"": 0.19543570347008538, ""mcse"": 0.0}, ""sp_hospital"": {""mean"": 0.1550009593092644, ""mcse"": 0.0}}"
real,H,extratrees,0.05993740765769137,0.000977428282528677,0.04595019581446596,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.007044958780191712, ""mcse"": 0.00025661423830068664}, ""snap_collegemsg"": {""mean"": 0.13525873445868636, ""mcse"": 0.00464101457544547}, ""snap_email_eu"": {""mean"": 0.07033042605858245, ""mcse"": 0.0006427713338271019}, ""snap_mathoverflow"": {""mean"": 0.049107014039403, ""mcse"": 0.001501280019703968}, ""sp_highschool2013"": {""mean"": 0.05003269714209064, ""mcse"": 0.001605823227655066}, ""sp_hospital"": {""mean"": 0.04785061546719412, ""mcse"": 0.002746387741945016}}"
real,B,plugin,0.08230360621855588,0.0007393318525797747,0.041687205465567125,-0.08230360621855588,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.06419017990991328, ""mcse"": 0.0007433819218312358}, ""snap_collegemsg"": {""mean"": 0.049385678180033615, ""mcse"": 0.0008685151970007094}, ""snap_email_eu"": {""mean"": 0.0898874262829606, ""mcse"": 0.0012563147940334422}, ""snap_mathoverflow"": {""mean"": 0.04346092290459205, ""mcse"": 0.0002689163415927735}, ""sp_highschool2013"": {""mean"": 0.11973395714545353, ""mcse"": 0.0010215434272367297}, ""sp_hospital"": {""mean"": 0.12716347288838228, ""mcse"": 0.003959405007480962}}"
real,B,corrector,0.055510048504849176,0.0005993832361186532,0.049490040699632566,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.09654552367060433, ""mcse"": 0.0005002567257327857}, ""snap_collegemsg"": {""mean"": 0.003029245484467505, ""mcse"": 0.0010224973659066982}, ""snap_email_eu"": {""mean"": 0.05906371045663901, ""mcse"": 0.0014641038731176292}, ""snap_mathoverflow"": {""mean"": 0.10846980872978164, ""mcse"": 0.0011224057497390097}, ""sp_highschool2013"": {""mean"": 0.0026087541163543728, ""mcse"": 0.000857069216073648}, ""sp_hospital"": {""mean"": 0.06334324857124822, ""mcse"": 0.0027385487726621074}}"
real,B,median,0.22884872807441203,2.3129646346357427e-18,0.1116316236469765,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.1567993430755243, ""mcse"": 0.0}, ""snap_collegemsg"": {""mean"": 0.3157949930747082, ""mcse"": 0.0}, ""snap_email_eu"": {""mean"": 0.21560074628952602, ""mcse"": 1.3877787807814457e-17}, ""snap_mathoverflow"": {""mean"": 0.334460623227364, ""mcse"": 0.0}, ""sp_highschool2013"": {""mean"": 0.19543570347008538, ""mcse"": 0.0}, ""sp_hospital"": {""mean"": 0.1550009593092644, ""mcse"": 0.0}}"
real,B,extratrees,0.0702654439072785,0.0005340223557435663,0.03407024193267398,,1.0,0.0,0.0,"{""copenhagen_bluetooth"": {""mean"": 0.015636121034049332, ""mcse"": 0.00017071849059034866}, ""snap_collegemsg"": {""mean"": 0.015017588454880944, ""mcse"": 0.0011357705687645167}, ""snap_email_eu"": {""mean"": 0.06473847603153553, ""mcse"": 0.0007618958171112402}, ""snap_mathoverflow"": {""mean"": 0.0737490619252387, ""mcse"": 0.0009705169972997377}, ""sp_highschool2013"": {""mean"": 0.09559996469387351, ""mcse"": 0.001664576442700839}, ""sp_hospital"": {""mean"": 0.15685145130409295, ""mcse"": 0.002157348546699324}}"
dar_a0,R,plugin,0.019307614462557986,0.0048943491877491575,0.00854589378089108,0.0004350551585860618,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.02133559356174115, ""mcse"": 0.007461886258273972}, ""dar_a0_r2"": {""mean"": 0.017279635363374825, ""mcse"": 0.006335524394638965}}"
dar_a0,R,corrector,0.019307614462557986,0.0048943491877491575,0.00854589378089108,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.02133559356174115, ""mcse"": 0.007461886258273972}, ""dar_a0_r2"": {""mean"": 0.017279635363374825, ""mcse"": 0.006335524394638965}}"
dar_a0,R,median,0.03568966568008969,0.0,0.035394403363030257,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.036130379748897434, ""mcse"": 0.0}, ""dar_a0_r2"": {""mean"": 0.03524895161128194, ""mcse"": 0.0}}"
dar_a0,R,extratrees,0.021118851790344388,0.003687633596137354,0.0374743690010763,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.01462149926477876, ""mcse"": 0.003412234914712688}, ""dar_a0_r2"": {""mean"": 0.02761620431591002, ""mcse"": 0.006538441637290903}}"
dar_a0,S,plugin,0.18230349692539216,0.01283451804423486,0.06887425049547409,0.18230349692539213,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.17658376407234005, ""mcse"": 0.023015185298281657}, ""dar_a0_r2"": {""mean"": 0.18802322977844424, ""mcse"": 0.011366646796523624}}"
dar_a0,S,corrector,0.02614655172849185,0.007907165530762544,0.011561112286548617,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.02721220942000637, ""mcse"": 0.01413956741568576}, ""dar_a0_r2"": {""mean"": 0.02508089403697733, ""mcse"": 0.00708277489553316}}"
dar_a0,S,median,0.03568966568008969,0.0,0.035394403363030257,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.036130379748897434, ""mcse"": 0.0}, ""dar_a0_r2"": {""mean"": 0.03524895161128194, ""mcse"": 0.0}}"
dar_a0,S,extratrees,0.029245296341115123,0.0036321251761012295,0.041935874583958054,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.028573599967884777, ""mcse"": 0.006414885149430452}, ""dar_a0_r2"": {""mean"": 0.029916992714345468, ""mcse"": 0.003408604068983401}}"
dar_a0,H,plugin,0.18528405350960148,0.005783985796295022,0.06727424557931151,-0.18528405350960148,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.18281271634379062, ""mcse"": 0.006610928300408439}, ""dar_a0_r2"": {""mean"": 0.1877553906754123, ""mcse"": 0.009492818010150042}}"
dar_a0,H,corrector,0.02650259289320921,0.007657596012795489,0.00995418457642107,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.018898620437748613, ""mcse"": 0.010850022189181307}, ""dar_a0_r2"": {""mean"": 0.03410656534866981, ""mcse"": 0.01080889102891683}}"
dar_a0,H,median,0.03568966568008969,0.0,0.035394403363030257,,1.0,0.0,0.0,"{""dar_a0_r1"": {""mean"": 0.036130379748897434, ""mcse"": 0.0}, ""dar_a0_r2"": {""mean"": 0.03524895161128194, ""mcse"": 0.0}}"
